mlbam,fg_id,name,group,pos,proj_pos,act_pos,proj,actual,proj_pt,actual_pt
660271,,Shohei Ohtani,2W,Util,Util/SP,Util/SP,1020.5,1785.8,492.2,639.0
554430,,Zack Wheeler,P,SP,SP,SP,755.2,1274.5,181.2,213.3
665489,,Vladimir Guerrero Jr.,H,3B,3B,3B,939.1,1270.6,619.0,698.0
669203,,Corbin Burnes,P,SP,SP,SP,707.3,1177.9,152.4,167.0
621111,,Walker Buehler,P,SP,SP,SP,854.9,1165.6,172.2,207.7
665742,,Juan Soto,H,OF,OF,OF,1203.9,1157.7,651.1,654.0
547180,,Bryce Harper,H,OF,OF,OF,1037.8,1145.4,662.7,599.0
543760,,Marcus Semien,H,SS,SS,SS,849.4,1097.0,682.2,724.0
592332,,Kevin Gausman,P,SP,SP,SP,794.5,1076.8,169.7,192.0
518692,,Freddie Freeman,H,1B,1B,1B,1083.5,1069.1,662.1,695.0
453286,,Max Scherzer,P,SP,SP,SP,903.7,1068.8,179.0,179.3
607208,,Trea Turner,H,SS,SS,SS,948.8,1063.7,688.0,646.0
621566,,Matt Olson,H,1B,1B,1B,868.8,1055.7,629.2,673.0
645261,,Sandy Alcantara,P,SP,SP,SP,687.0,1041.0,181.4,205.7
605540,,Brandon Woodruff,P,SP,SP,SP,914.1,1039.7,184.9,179.3
656775,,Cedric Mullins,H,OF,OF,OF,368.5,1031.4,369.2,675.0
502671,,Paul Goldschmidt,H,1B,1B,1B,899.7,1031.2,661.8,679.0
450203,,Charlie Morton,P,SP,SP,SP,767.1,1030.5,168.2,185.7
592450,,Aaron Judge,H,OF,OF,OF,905.5,1013.6,601.4,633.0
663586,,Austin Riley,H,OF,OF,OF,678.6,1013.2,535.3,662.0
668804,,Bryan Reynolds,H,OF,OF,OF,690.4,1013.0,589.0,646.0
543037,,Gerrit Cole,P,SP,SP,SP,1021.8,1011.1,201.3,181.3
608070,,José Ramírez,H,2B/3B,2B/3B,2B/3B,986.3,1008.0,653.4,636.0
646240,,Rafael Devers,H,3B,3B,3B,957.6,1005.7,647.0,664.0
425794,,Adam Wainwright,P,SP,SP,SP,535.4,1002.8,152.7,206.3
628711,,Julio Urías,P,SP,SP,SP,549.6,1002.6,137.7,185.7
665487,,Fernando Tatis Jr.,H,SS,SS,SS,1086.0,991.0,676.8,546.0
666182,,Bo Bichette,H,SS,SS,SS,897.1,977.6,673.4,690.0
521692,,Salvador Perez,H,C,C,C,655.5,972.1,533.8,665.0
592206,,Nick Castellanos,H,OF,OF,OF,836.4,969.8,651.0,585.0
621244,,José Berríos,P,SP,SP,SP,709.4,964.8,177.7,192.0
592662,,Robbie Ray,P,SP,SP,SP,622.2,962.8,162.8,193.3
543135,,Nathan Eovaldi,P,SP,SP,SP,586.8,955.6,145.5,182.3
514888,,Jose Altuve,H,2B,2B,2B,892.3,935.2,672.9,678.0
593423,,Frankie Montas,P,SP,SP,SP,563.7,933.4,144.8,187.0
624413,,Pete Alonso,H,1B,1B,1B,922.8,927.1,639.3,637.0
502110,,J.D. Martinez,H,OF,OF,OF,971.2,918.9,647.2,634.0
663656,,Kyle Tucker,H,OF,OF,OF,822.9,917.8,621.5,567.0
571970,,Max Muncy,H,1B/2B/3B,1B/2B/3B,1B/2B/3B,753.2,905.6,566.4,592.0
664040,,Brandon Lowe,H,2B/OF,2B/OF,2B/OF,690.7,902.2,571.7,615.0
621043,,Carlos Correa,H,SS,SS,SS,835.7,898.7,622.2,640.0
645277,,Ozzie Albies,H,2B,2B,2B,859.8,898.5,640.6,686.0
571745,,Mitch Haniger,H,OF,OF,OF,727.9,894.8,600.1,691.0
547989,,José Abreu,H,1B,1B,1B,889.8,894.1,658.3,659.0
605397,,Joe Musgrove,P,SP,SP,SP,727.8,892.1,169.5,181.3
670541,,Yordan Alvarez,H,OF,OF,OF,832.7,890.7,511.4,598.0
605400,,Aaron Nola,P,SP,SP,SP,895.8,890.1,190.3,180.7
592518,,Manny Machado,H,3B/SS,3B/SS,3B/SS,963.6,889.1,661.5,640.0
606192,,Teoscar Hernández,H,OF,OF,OF,751.5,888.3,614.2,595.0
458015,,Joey Votto,H,1B,1B,1B,846.1,874.1,647.8,533.0
593871,,Jorge Polanco,H,SS,SS,SS,692.8,874.0,586.0,644.0
593428,,Xander Bogaerts,H,SS,SS,SS,902.2,872.8,645.2,603.0
641933,,Tyler O'Neill,H,OF,OF,OF,600.2,867.5,529.0,537.0
642547,,Freddy Peralta,P,SP,SP,SP,593.5,866.5,138.2,144.3
573186,,Marcus Stroman,P,SP,SP,SP,671.2,859.9,164.0,179.0
608337,,Lucas Giolito,P,SP,SP,SP,744.6,853.0,172.2,178.7
608331,,Max Fried,P,SP,SP,SP,723.8,852.0,170.7,165.7
571448,,Nolan Arenado,H,3B,3B,3B,880.1,850.7,652.5,653.0
519317,,Giancarlo Stanton,H,OF,OF,OF,841.2,850.5,553.9,579.0
543068,,C.J. Cron,H,1B,1B,1B,660.6,848.9,481.4,547.0
543063,,Brandon Crawford,H,SS,SS,SS,514.1,848.6,517.1,549.0
664034,,Ty France,H,2B/3B,2B/3B,2B/3B,607.6,845.3,522.4,650.0
657277,,Logan Webb,P,SP,SP,SP,510.6,842.2,131.0,148.3
656302,,Dylan Cease,P,SP,SP,SP,450.5,839.5,133.0,165.7
457759,,Justin Turner,H,3B,3B,3B,749.6,838.1,552.7,612.0
621121,,Lance McCullers Jr.,P,SP,SP,SP,650.2,836.2,147.9,162.3
493329,,Yuli Gurriel,H,1B/2B/3B,1B/2B/3B,1B/2B/3B,724.8,835.4,608.5,605.0
458681,,Lance Lynn,P,SP,SP,SP,766.2,831.6,191.5,157.0
543257,,Robbie Grossman,H,OF,OF,OF,643.9,829.8,541.8,671.0
