mlbam,fg_id,name,group,pos,proj_pos,act_pos,proj,actual,proj_pt,actual_pt
660271,,Shohei Ohtani,2W,Util,Util/SP,Util/SP,1770.8,2011.3,649.6,666.0
592450,,Aaron Judge,H,OF,OF,OF,1040.3,1458.2,665.0,696.0
645261,,Sandy Alcantara,P,SP,SP,SP,850.4,1279.9,199.9,228.7
605400,,Aaron Nola,P,SP,SP,SP,843.9,1202.5,192.0,205.0
502671,,Paul Goldschmidt,H,1B,1B,1B,947.8,1149.0,675.5,651.0
607074,,Carlos Rodón,P,SP,SP,SP,840.0,1138.0,166.1,178.0
669203,,Corbin Burnes,P,SP,SP,SP,938.1,1131.5,174.1,202.0
518692,,Freddie Freeman,H,1B,1B,1B,1054.9,1130.8,675.4,708.0
434378,,Justin Verlander,P,SP,SP,SP,844.1,1110.8,175.4,175.0
669456,,Shane Bieber,P,SP,SP,SP,978.7,1093.4,193.0,200.0
664285,,Framber Valdez,P,SP,SP,SP,843.5,1077.0,190.8,201.3
668678,,Zac Gallen,P,SP,SP,SP,677.4,1069.5,168.9,184.0
608331,,Max Fried,P,SP,SP,SP,764.0,1050.3,184.6,185.3
656302,,Dylan Cease,P,SP,SP,SP,756.3,1048.2,172.6,184.0
666201,,Alek Manoah,P,SP,SP,SP,615.1,1046.1,146.7,196.7
543037,,Gerrit Cole,P,SP,SP,SP,1086.0,1036.6,198.6,200.7
663586,,Austin Riley,H,1B/3B/OF,1B/3B/OF,1B/3B/OF,907.4,1033.3,638.2,693.0
506433,,Yu Darvish,P,SP,SP,SP,718.5,1032.1,168.9,194.7
670541,,Yordan Alvarez,H,OF,OF,OF,955.8,1030.8,606.7,561.0
608070,,José Ramírez,H,3B,3B,3B,1020.3,1011.9,663.0,685.0
624413,,Pete Alonso,H,1B,1B,1B,1014.1,1008.2,649.2,685.0
592518,,Manny Machado,H,3B/SS,3B/SS,3B/SS,964.6,1005.3,670.9,644.0
657277,,Logan Webb,P,SP,SP,SP,817.7,993.6,181.6,192.3
514888,,Jose Altuve,H,2B,2B,2B,906.5,993.5,681.5,604.0
663474,,Triston McKenzie,P,SP,SP,SP,433.4,982.6,121.5,191.3
527048,,Martín Pérez,P,SP,SP,SP,453.0,967.8,142.7,196.3
663556,,Shane McClanahan,P,SP,SP,SP,731.7,960.6,159.0,166.3
605141,,Mookie Betts,H,OF,OF,OF,1010.2,958.7,692.4,639.0
518876,,Merrill Kelly,P,SP,SP,SP,515.1,955.0,171.4,200.3
607208,,Trea Turner,H,2B/SS,2B/SS,2B/SS,947.8,954.6,671.8,708.0
665742,,Juan Soto,H,OF,OF,OF,1278.3,947.7,672.5,664.0
571448,,Nolan Arenado,H,3B,3B,3B,851.3,943.4,649.1,620.0
665489,,Vladimir Guerrero Jr.,H,1B/3B,1B/3B,1B/3B,1190.9,943.1,656.2,706.0
592332,,Kevin Gausman,P,SP,SP,SP,826.0,942.2,188.2,174.7
675911,,Spencer Strider,P,SP,RP,SP,241.1,932.6,54.5,131.7
656941,,Kyle Schwarber,H,1B/OF,1B/OF,1B/OF,899.6,925.2,631.0,669.0
542881,,Tyler Anderson,P,SP,SP,SP,277.1,919.9,107.9,178.7
571945,,Miles Mikolas,P,SP,SP,SP,480.6,918.8,148.5,202.3
646240,,Rafael Devers,H,3B,3B,3B,984.6,915.6,647.8,614.0
663993,,Nathaniel Lowe,H,1B,1B,1B,779.9,909.9,605.4,645.0
545361,,Mike Trout,H,OF,OF,OF,1102.2,906.9,655.0,499.0
547989,,José Abreu,H,1B,1B,1B,858.2,902.8,655.3,679.0
641482,,Nestor Cortes,P,SP,SP,SP,420.2,900.1,119.3,158.3
621566,,Matt Olson,H,1B,1B,1B,1058.9,897.0,660.4,699.0
666182,,Bo Bichette,H,SS,SS,SS,941.3,893.7,668.2,697.0
596019,,Francisco Lindor,H,SS,SS,SS,854.6,888.0,667.3,706.0
669302,,Logan Gilbert,P,SP,SP,SP,573.0,881.2,140.7,185.7
664299,,Cristian Javier,P,SP,SP,SP,531.3,877.6,134.7,148.7
628711,,Julio Urías,P,SP,SP,SP,694.6,875.9,179.9,175.0
453286,,Max Scherzer,P,SP,SP,SP,978.5,875.8,189.0,145.3
605397,,Joe Musgrove,P,SP,SP,SP,763.3,868.4,182.4,181.0
608324,,Alex Bregman,H,3B/SS,3B/SS,3B/SS,927.1,863.9,643.2,656.0
593428,,Xander Bogaerts,H,SS,SS,SS,880.0,862.4,649.4,631.0
572233,,Christian Walker,H,1B,1B,1B,618.6,858.1,527.7,667.0
657140,,Kyle Wright,P,SP,SP,SP,214.6,857.2,63.3,180.3
621020,,Dansby Swanson,H,SS,SS,SS,667.7,855.3,601.1,696.0
500779,,Jose Quintana,P,SP,SP,SP,516.4,851.1,143.2,165.7
554430,,Zack Wheeler,P,SP,SP,SP,876.7,850.3,192.7,153.0
607043,,Brandon Nimmo,H,OF,OF,OF,790.5,848.8,611.3,673.0
656555,,Rhys Hoskins,H,1B,1B,1B,850.7,847.1,607.6,672.0
605135,,Chris Bassitt,P,SP,SP,SP,738.3,845.2,182.8,181.7
605540,,Brandon Woodruff,P,SP,SP,SP,864.3,835.1,187.2,153.3
656756,,Jordan Montgomery,P,SP,SP,SP,671.9,832.0,164.2,178.3
641154,,Pablo López,P,SP,SP,SP,729.7,830.5,166.2,180.0
425794,,Adam Wainwright,P,SP,SP,SP,666.0,825.3,194.0,191.7
663656,,Kyle Tucker,H,OF,OF,OF,919.5,825.2,605.0,609.0
622491,,Luis Castillo,P,SP,SP,SP,695.7,820.8,172.4,150.3
543760,,Marcus Semien,H,2B/SS,2B/SS,2B/SS,872.8,814.7,681.1,724.0
643446,,Jeff McNeil,H,2B/3B/OF,2B/3B/OF,2B/3B/OF,656.6,805.4,542.5,589.0
608369,,Corey Seager,H,SS,SS,SS,893.7,805.2,610.5,663.0
621043,,Carlos Correa,H,SS,SS,SS,890.3,800.5,621.0,590.0
668804,,Bryan Reynolds,H,OF,OF,OF,925.1,799.8,669.1,614.0
668227,,Randy Arozarena,H,OF,OF,OF,820.6,798.6,638.5,645.0
592662,,Robbie Ray,P,SP,SP,SP,931.7,798.2,191.5,189.0
666969,,Adolis García,H,OF,OF,OF,582.4,790.2,583.9,657.0
553993,,Eugenio Suárez,H,3B/SS,3B/SS,3B/SS,610.8,789.2,565.1,629.0
605137,,Josh Bell,H,1B/OF,1B/OF,1B/OF,878.1,787.4,632.8,647.0
664023,,Ian Happ,H,2B/3B/OF,2B/3B/OF,2B/3B/OF,728.4,785.9,564.3,641.0
