mlbam,fg_id,name,group,pos,proj_pos,act_pos,proj,actual,proj_pt,actual_pt
453286,,Max Scherzer,P,SP,SP,SP,1221.1,1261.4,211.5,228.3
545361,,Mike Trout,H,OF,OF,OF,1152.1,1232.1,646.2,681.0
518516,,Madison Bumgarner,P,SP,SP,SP,1142.3,1208.1,209.2,226.7
518692,,Freddie Freeman,H,1B,1B,1B,867.3,1191.9,619.6,693.0
458015,,Joey Votto,H,1B,1B,1B,950.4,1191.6,623.2,677.0
434378,,Justin Verlander,P,SP,SP,SP,799.9,1184.1,194.8,227.7
514888,,Jose Altuve,H,2B,2B,2B,845.7,1175.5,684.2,717.0
518626,,Josh Donaldson,H,3B,3B,3B,907.3,1175.0,655.1,700.0
456501,,Johnny Cueto,P,SP,SP,SP,1013.4,1171.0,206.8,219.7
120074,,David Ortiz,H,1B,1B,1B,775.6,1161.3,544.9,626.0
605141,,Mookie Betts,H,2B/OF,2B/OF,2B/OF,892.1,1159.3,658.2,730.0
592178,,Kris Bryant,H,3B/OF,3B/OF,3B/OF,909.1,1148.0,631.8,699.0
408234,,Miguel Cabrera,H,1B/3B,1B/3B,1B/3B,951.5,1147.6,593.4,679.0
446372,,Corey Kluber,P,SP,SP,SP,1098.4,1140.4,211.3,215.0
519242,,Chris Sale,P,SP,SP,SP,1205.2,1131.2,210.3,226.7
571448,,Nolan Arenado,H,3B,3B,3B,892.4,1127.7,628.6,696.0
605228,,José Fernández,P,SP,SP,SP,1058.9,1125.0,181.4,182.3
502671,,Paul Goldschmidt,H,1B,1B,1B,1042.6,1120.4,644.6,705.0
519144,,Rick Porcello,P,SP,SP,SP,672.3,1108.5,157.8,223.0
592789,,Noah Syndergaard,P,SP,SP,SP,1000.3,1092.0,185.6,183.7
519203,,Anthony Rizzo,H,1B,1B,1B,971.5,1079.0,643.5,676.0
429664,,Robinson Canó,H,2B,2B,2B,789.7,1072.9,643.7,715.0
572821,,Brian Dozier,H,2B,2B,2B,720.3,1069.4,673.2,691.0
443558,,Nelson Cruz,H,OF,OF,OF,743.3,1062.4,597.5,667.0
452657,,Jon Lester,P,SP,SP,SP,1040.8,1061.0,203.5,202.7
429665,,Edwin Encarnación,H,1B,1B,1B,787.0,1057.0,539.7,702.0
477132,,Clayton Kershaw,P,SP,SP,SP,1383.4,1057.0,217.1,149.0
453568,,Charlie Blackmon,H,OF,OF,OF,796.5,1046.9,664.6,641.0
453562,,Jake Arrieta,P,SP,SP,SP,1141.6,1038.7,207.9,197.3
543294,,Kyle Hendricks,P,SP,SP,SP,603.2,1036.3,138.7,190.0
516416,,Jean Segura,H,SS,SS,SS,475.0,1034.3,507.3,694.0
502517,,Daniel Murphy,H,1B/2B/3B,1B/2B/3B,1B/2B/3B,641.2,1029.3,533.6,582.0
456034,,David Price,P,SP,SP,SP,1123.8,1027.8,214.9,230.0
592518,,Manny Machado,H,3B,3B,3B,889.0,1026.9,656.2,696.0
608369,,Corey Seager,H,SS,SS,SS,620.4,1014.0,572.9,687.0
467793,,Carlos Santana,H,1B/3B/C,1B/3B/C,1B/3B/C,761.5,997.1,618.3,688.0
543699,,Tanner Roark,P,SP,SP,SP,492.9,985.1,132.1,210.0
518934,,DJ LeMahieu,H,2B,2B,2B,645.9,973.3,612.7,635.0
572122,,Kyle Seager,H,3B,3B,3B,757.8,970.0,631.9,676.0
500779,,Jose Quintana,P,SP,SP,SP,877.4,969.4,199.7,208.0
543807,,George Springer,H,OF,OF,OF,754.7,968.1,573.6,744.0
542340,,Jonathan Villar,H,3B/SS,3B/SS,3B/SS,301.9,968.1,320.0,679.0
