mlbam,fg_id,name,group,pos,proj_pos,act_pos,proj,actual,proj_pt,actual_pt
594798,,Jacob deGrom,P,SP,SP,SP,1009.8,1472.6,203.4,217.0
453286,,Max Scherzer,P,SP,SP,SP,1079.8,1371.0,207.5,220.7
434378,,Justin Verlander,P,SP,SP,SP,923.8,1278.6,203.8,214.0
605141,,Mookie Betts,H,OF,OF,OF,990.9,1260.8,652.7,614.0
545361,,Mike Trout,H,OF,OF,OF,1205.5,1247.2,634.0,608.0
502110,,J.D. Martinez,H,OF,OF,OF,845.0,1234.3,538.1,649.0
605400,,Aaron Nola,P,SP,SP,SP,818.6,1227.8,179.8,212.3
543037,,Gerrit Cole,P,SP,SP,SP,707.1,1216.0,175.0,200.3
571578,,Patrick Corbin,P,SP,SP,SP,537.0,1207.3,138.7,200.0
592885,,Christian Yelich,H,OF,OF,OF,944.4,1205.7,646.9,651.0
608070,,José Ramírez,H,2B/3B/OF,2B/3B/OF,2B/3B/OF,890.8,1185.0,634.5,698.0
446372,,Corey Kluber,P,SP,SP,SP,1109.4,1151.1,212.9,215.0
608324,,Alex Bregman,H,3B/SS,3B/SS,3B/SS,823.9,1134.8,626.5,705.0
592518,,Manny Machado,H,3B/SS,3B/SS,3B/SS,985.4,1124.2,644.5,709.0
596019,,Francisco Lindor,H,SS,SS,SS,925.9,1107.7,658.4,745.0
502671,,Paul Goldschmidt,H,1B,1B,1B,1030.0,1100.5,637.2,690.0
519242,,Chris Sale,P,SP,SP,SP,1056.7,1098.7,192.4,158.0
605483,,Blake Snell,P,SP,SP,SP,716.5,1095.9,165.8,180.7
571448,,Nolan Arenado,H,3B,3B,3B,1043.1,1095.0,637.0,673.0
545333,,Trevor Bauer,P,SP,SP,SP,683.7,1087.4,170.9,175.3
518692,,Freddie Freeman,H,1B/3B,1B/3B,1B/3B,978.0,1077.8,604.7,707.0
596115,,Trevor Story,H,SS,SS,SS,698.0,1076.7,551.1,656.0
547180,,Bryce Harper,H,OF,OF,OF,1060.4,1059.7,593.3,695.0
572761,,Matt Carpenter,H,1B/2B/3B,1B/2B/3B,1B/2B/3B,766.9,1037.0,568.0,677.0
471911,,Carlos Carrasco,P,SP,SP,SP,811.8,1027.7,168.6,192.0
622663,,Luis Severino,P,SP,SP,SP,894.7,1019.4,188.3,191.3
453568,,Charlie Blackmon,H,OF,OF,OF,963.6,1008.2,663.3,696.0
519317,,Giancarlo Stanton,H,OF,OF,OF,1103.9,1006.4,582.8,705.0
605182,,Mike Clevinger,P,SP,SP,SP,382.8,996.3,106.8,200.0
592314,,Mike Foltynewicz,P,SP,SP,SP,548.6,989.1,159.3,183.0
595879,,Javier Báez,H,1B/2B/3B/SS,1B/2B/3B/SS,1B/2B/3B/SS,618.4,983.2,509.7,645.0
571745,,Mitch Haniger,H,OF,OF,OF,620.9,983.0,536.7,683.0
425844,,Zack Greinke,P,SP,SP,SP,909.2,972.7,202.8,207.7
501981,,Khris Davis,H,OF,OF,OF,798.9,970.3,599.0,654.0
592206,,Nick Castellanos,H,3B/OF,3B/OF,3B/OF,766.3,960.1,596.3,678.0
593160,,Whit Merrifield,H,2B/OF,2B/OF,2B/OF,686.1,956.3,637.3,707.0
608566,,Germán Márquez,P,SP,SP,SP,489.4,954.8,137.1,196.0
554430,,Zack Wheeler,P,SP,SP,SP,418.6,953.1,104.3,182.3
607536,,Kyle Freeland,P,SP,SP,SP,377.2,933.0,127.0,202.3
543685,,Anthony Rendon,H,3B,3B,3B,815.8,929.4,578.4,597.0
656555,,Rhys Hoskins,H,1B/OF,1B/OF,1B/OF,897.7,928.1,597.5,660.0
519203,,Anthony Rizzo,H,1B/2B,1B/2B,1B/2B,1031.3,925.0,632.9,665.0
553993,,Eugenio Suárez,H,3B,3B,3B,724.7,920.3,602.2,606.0
643217,,Andrew Benintendi,H,OF,OF,OF,831.7,915.8,625.2,661.0
607208,,Trea Turner,H,2B/OF/SS,2B/OF/SS,2B/OF/SS,844.0,913.6,623.0,740.0
444482,,David Peralta,H,OF,OF,OF,646.2,905.0,529.5,614.0
592791,,Jameson Taillon,P,SP,SP,SP,817.2,904.0,189.3,191.0
455976,,Nick Markakis,H,OF,OF,OF,614.3,898.8,566.0,705.0
571697,,Scooter Gennett,H,2B/3B/OF,2B/3B/OF,2B/3B/OF,535.8,889.9,489.8,638.0
543294,,Kyle Hendricks,P,SP,SP,SP,666.2,886.6,169.8,199.0
621244,,José Berríos,P,SP,SP,SP,608.7,884.4,169.1,192.3
656305,,Matt Chapman,H,3B,3B,3B,640.6,883.1,565.6,616.0
425783,,Shin-Soo Choo,H,OF,OF,OF,720.0,873.5,580.5,665.0
468504,,Jhoulys Chacín,P,SP,SP,SP,469.5,872.5,138.8,192.7
593428,,Xander Bogaerts,H,SS,SS,SS,739.4,872.2,586.5,580.0
572971,,Dallas Keuchel,P,SP,SP,SP,855.4,870.5,201.9,204.7
609280,,Miguel Andujar,H,Util,Util,Util,299.9,868.5,271.9,606.0
476704,,Jed Lowrie,H,2B,2B,2B,641.1,866.6,574.5,680.0
488726,,Michael Brantley,H,OF,OF,OF,626.7,864.6,469.9,631.0
458015,,Joey Votto,H,1B,1B,1B,1056.9,858.0,639.3,623.0
457705,,Andrew McCutchen,H,OF,OF,OF,881.8,854.5,635.6,682.0
641355,,Cody Bellinger,H,1B/OF,1B/OF,1B/OF,837.6,850.9,587.2,632.0
456715,,Lorenzo Cain,H,OF,OF,OF,728.4,842.9,592.8,620.0
572020,,James Paxton,P,SP,SP,SP,821.1,842.2,175.6,160.3
443558,,Nelson Cruz,H,OF,OF,OF,886.8,840.4,599.2,591.0
477132,,Clayton Kershaw,P,SP,SP,SP,1077.0,840.4,190.3,161.3
621242,,Edwin Díaz,P,RP,RP,RP,519.0,838.6,65.0,73.3
450203,,Charlie Morton,P,SP,SP,SP,570.9,838.4,129.6,167.0
514888,,Jose Altuve,H,2B,2B,2B,924.7,834.2,653.2,599.0
500871,,Eduardo Escobar,H,2B/3B/SS,2B/3B/SS,2B/3B/SS,406.8,832.5,370.8,631.0
621566,,Matt Olson,H,1B/OF,1B/OF,1B/OF,737.5,824.1,575.7,660.0
502043,,Kyle Gibson,P,SP,SP,SP,524.5,821.2,158.9,196.7
592789,,Noah Syndergaard,P,SP,SP,SP,1023.3,818.6,182.5,154.3
519144,,Rick Porcello,P,SP,SP,SP,674.2,811.6,181.9,191.3
572039,,Stephen Piscotty,H,OF,OF,OF,638.0,810.1,541.2,605.0
467793,,Carlos Santana,H,1B,1B,1B,847.9,809.0,598.5,679.0
645277,,Ozzie Albies,H,2B,2B,2B,681.0,807.5,607.9,684.0
457708,,Justin Upton,H,OF,OF,OF,792.9,805.7,614.3,613.0
624424,,Michael Conforto,H,OF,OF,OF,666.3,805.1,483.9,638.0
543305,,Aaron Hicks,H,OF,OF,OF,547.0,803.8,465.9,581.0
457918,,J.A. Happ,P,SP,SP,SP,687.6,798.6,183.7,177.7
607043,,Brandon Nimmo,H,OF,OF,OF,307.4,798.3,305.3,535.0
621111,,Walker Buehler,P,SP,SP,SP,293.0,794.7,56.2,137.3
592450,,Aaron Judge,H,OF,OF,OF,919.9,791.6,614.0,498.0
543768,,Travis Shaw,H,1B/3B,1B/3B,1B/3B,702.1,791.4,578.0,587.0
502054,,Tommy Pham,H,OF,OF,OF,733.7,779.3,575.2,570.0
456034,,David Price,P,SP,SP,SP,802.1,776.3,179.9,176.0
595014,,Blake Treinen,P,RP,RP,RP,425.6,774.3,65.0,80.3
592866,,Trevor Williams,P,SP,SP,SP,391.0,773.8,118.5,170.7
606299,,José Peraza,H,2B/OF/SS,2B/OF/SS,2B/OF/SS,484.7,772.4,488.8,683.0
516782,,Starling Marte,H,OF,OF,OF,750.9,770.8,598.2,606.0
519058,,Mike Moustakas,H,3B,3B,3B,717.5,770.8,538.0,635.0
500874,,José A. Martínez,H,1B/OF,1B/OF,1B/OF,438.9,770.2,360.0,590.0
514917,,César Hernández,H,2B,2B,2B,671.4,769.7,616.8,708.0
592696,,Eddie Rosario,H,OF,OF,OF,702.1,769.1,572.2,592.0
544369,,Didi Gregorius,H,SS,SS,SS,640.5,768.2,565.3,569.0
475253,,Justin Smoak,H,1B,1B,1B,774.1,767.0,593.2,594.0
605119,,Brian Anderson,H,3B,3B,3B,244.4,763.0,238.7,670.0
595777,,Jurickson Profar,H,1B/2B/3B/OF/SS,1B/2B/3B/OF/SS,1B/2B/3B/OF/SS,246.9,761.5,229.9,594.0
429665,,Edwin Encarnación,H,1B,1B,1B,871.1,760.4,601.7,579.0
502706,,Derek Holland,P,SP,SP,SP,336.0,758.8,106.2,171.3
571760,,Andrew Heaney,P,SP,SP,SP,325.2,756.3,90.4,180.0
643327,,Zack Godley,P,SP,SP,SP,594.7,753.7,141.3,178.3
608336,,Joey Gallo,H,1B/3B/OF,1B/3B/OF,1B/3B/OF,801.2,753.6,569.0,577.0
594835,,Marco Gonzales,P,SP,SP,SP,276.6,753.0,87.9,166.7
543807,,George Springer,H,OF,OF,OF,888.0,751.8,610.1,620.0
570256,,Gregory Polanco,H,OF,OF,OF,651.7,746.6,539.3,535.0
656427,,Jack Flaherty,P,SP,SP,SP,320.8,744.6,89.4,151.0
543068,,C.J. Cron,H,1B,1B,1B,495.8,737.4,432.3,560.0
623352,,Josh Hader,P,RP,RP,RP,387.0,734.6,65.0,81.3
542303,,Marcell Ozuna,H,OF,OF,OF,895.2,733.5,603.9,628.0
621035,,Chris Taylor,H,2B/3B/OF/SS,2B/3B/OF/SS,2B/3B/OF/SS,669.3,724.8,609.1,604.0
570632,,José Ureña,P,SP,SP,SP,501.4,721.9,168.9,174.0
516416,,Jean Segura,H,2B/SS,2B/SS,2B/SS,639.4,721.2,592.6,632.0
430935,,Cole Hamels,P,SP,SP,SP,677.8,720.6,201.3,190.7
543760,,Marcus Semien,H,SS,SS,SS,692.0,719.3,597.2,703.0
543333,,Eric Hosmer,H,1B,1B,1B,839.0,716.6,624.1,677.0
452678,,Asdrúbal Cabrera,H,2B/3B/SS,2B/3B/SS,2B/3B/SS,578.3,713.1,507.9,592.0
656794,,Sean Newcomb,P,SP,SP,SP,603.7,710.0,153.1,164.0
622072,,Alex Wood,P,SP,SP,SP,591.3,708.3,131.0,151.7
527054,,Julio Teheran,P,SP,SP,SP,569.2,707.9,178.9,175.7
592663,,J.T. Realmuto,H,C,C,C,599.7,707.8,521.3,531.0
625643,,Reynaldo López,P,SP,SP,SP,332.7,706.6,119.9,188.7
547989,,José Abreu,H,1B,1B,1B,910.2,704.9,617.3,553.0
601713,,Nick Pivetta,P,SP,SP,SP,441.7,702.6,124.0,164.0
592743,,Andrelton Simmons,H,SS,SS,SS,592.5,693.9,566.6,600.0
516770,,Starlin Castro,H,2B,2B,2B,613.5,692.2,570.6,647.0
606466,,Ketel Marte,H,SS,SS,SS,613.4,691.0,532.6,580.0
435622,,Ian Desmond,H,1B/OF,1B/OF,1B/OF,692.8,690.1,535.7,619.0
572816,,Corey Dickerson,H,OF,OF,OF,575.1,687.0,461.9,533.0
452657,,Jon Lester,P,SP,SP,SP,832.2,684.7,195.1,181.7
621563,,Joey Wendle,H,2B,2B,2B,207.7,683.5,253.3,545.0
518735,,Yasmani Grandal,H,C,C,C,335.1,683.3,280.8,518.0
434671,,Aníbal Sánchez,P,SP,SP,SP,281.0,683.2,69.7,136.7
656941,,Kyle Schwarber,H,OF,OF,OF,674.8,681.5,498.6,510.0
571510,,Matthew Boyd,P,SP,SP,SP,372.6,680.8,124.2,170.3
543699,,Tanner Roark,P,SP,SP,SP,626.7,680.7,170.6,180.3
660162,,Yoán Moncada,H,2B,2B,2B,621.3,680.4,583.4,650.0
605137,,Josh Bell,H,1B/OF,1B/OF,1B/OF,795.6,678.9,609.7,583.0
457759,,Justin Turner,H,3B,3B,3B,765.2,678.6,533.7,426.0
605480,,Mallex Smith,H,OF,OF,OF,245.1,676.7,260.0,544.0
453562,,Jake Arrieta,P,SP,SP,SP,766.2,674.4,186.6,172.7
622666,,Johan Camargo,H,3B/SS,3B/SS,3B/SS,434.2,674.3,430.3,524.0
542255,,Ender Inciarte,H,OF,OF,OF,698.8,673.3,643.9,660.0
592332,,Kevin Gausman,P,SP,SP,SP,646.3,672.9,182.7,183.7
430945,,Adam Jones,H,OF,OF,OF,730.7,672.8,592.8,613.0
547888,,Masahiro Tanaka,P,SP,SP,SP,714.9,672.3,176.1,156.0
461829,,Gio Gonzalez,P,SP,SP,SP,707.6,672.1,183.1,171.0
450314,,Ben Zobrist,H,2B/OF,2B/OF,2B/OF,570.2,671.8,482.3,520.0
502190,,Mike Leake,P,SP,SP,SP,588.5,670.8,186.4,185.7
493603,,Adam Ottavino,P,RP,RP,RP,281.4,670.6,55.0,77.7
461314,,Matt Kemp,H,OF,OF,OF,306.5,669.3,248.9,506.0
622491,,Luis Castillo,P,SP,SP,SP,611.5,668.3,143.7,169.7
543606,,Jake Odorizzi,P,SP,SP,SP,414.5,667.5,143.8,164.3
592351,,Jon Gray,P,SP,SP,SP,807.6,667.2,190.3,172.3
500779,,Jose Quintana,P,SP,SP,SP,916.0,664.4,196.1,174.3
641820,,Trey Mancini,H,1B/OF,1B/OF,1B/OF,690.0,661.2,566.1,636.0
628317,,Kenta Maeda,P,SP,SP,SP,496.1,660.6,126.1,125.3
640455,,Sean Manaea,P,SP,SP,SP,571.7,660.0,160.6,160.7
621121,,Lance McCullers Jr.,P,SP,SP,SP,637.3,659.1,136.5,128.3
493329,,Yuli Gurriel,H,1B/3B,1B/3B,1B/3B,625.3,653.9,482.5,573.0
596146,,Max Kepler,H,OF,OF,OF,603.2,653.8,486.3,611.0
546318,,Odúbel Herrera,H,OF,OF,OF,714.1,651.9,622.7,597.0
592826,,Vince Velasquez,P,SP,SP,SP,398.8,650.7,114.9,146.7
518934,,DJ LeMahieu,H,2B,2B,2B,809.0,649.8,640.8,581.0
448306,,James Shields,P,SP,SP,SP,372.4,649.3,163.9,204.7
542881,,Tyler Anderson,P,SP,SP,SP,517.1,646.4,141.0,176.0
572821,,Brian Dozier,H,2B,2B,2B,877.4,645.6,651.9,632.0
453281,,Wade LeBlanc,P,SP,RP,SP,148.7,642.0,35.0,162.0
600869,,Jeimer Candelario,H,3B,3B,3B,579.6,640.6,530.4,619.0
458681,,Lance Lynn,P,SP,SP,SP,435.3,639.3,147.1,156.7
471865,,Carlos González,H,OF,OF,OF,648.5,637.7,467.7,504.0
475174,,Yonder Alonso,H,1B,1B,1B,763.7,636.7,593.3,574.0
518618,,Derek Dietrich,H,1B/2B/3B/OF,1B/2B/3B/OF,1B/2B/3B/OF,436.5,631.2,377.5,551.0
570560,,Yolmer Sánchez,H,2B/3B,2B/3B,2B/3B,446.1,623.6,473.7,662.0
501985,,Mike Minor,P,SP,SP,SP,414.2,621.5,120.0,157.0
543401,,Jason Kipnis,H,2B/OF,2B/OF,2B/OF,610.5,620.8,532.9,601.0
606192,,Teoscar Hernández,H,OF,OF,OF,206.7,620.7,195.1,523.0
502042,,Chris Archer,P,SP,SP,SP,964.3,620.0,196.1,148.3
502026,,Jeremy Jeffress,P,RP,RP,RP,269.4,619.4,55.0,76.7
543063,,Brandon Crawford,H,SS,SS,SS,637.9,616.8,577.0,594.0
608577,,Nomar Mazara,H,OF,OF,OF,790.7,616.7,617.8,536.0
458731,,Brett Gardner,H,OF,OF,OF,658.8,615.5,568.8,609.0
593372,,Carlos Martinez,P,SP,SP,SP,909.1,614.6,202.1,118.7
592178,,Kris Bryant,H,1B/3B/OF,1B/3B/OF,1B/3B/OF,1029.5,612.7,645.0,457.0
520471,,Freddy Galvis,H,SS,SS,SS,354.1,612.4,385.4,656.0
641313,,Tim Anderson,H,SS,SS,SS,558.1,609.9,571.1,606.0
624577,,Yasiel Puig,H,OF,OF,OF,755.6,608.1,520.7,444.0
448179,,Rich Hill,P,SP,SP,SP,658.2,607.9,141.3,132.7
544931,,Stephen Strasburg,P,SP,SP,SP,946.2,607.8,188.4,130.0
592626,,Joc Pederson,H,OF,OF,OF,514.5,604.1,381.4,443.0
607625,,Seth Lugo,P,SP,SP,SP,261.0,603.6,70.7,101.3
572041,,AJ Pollock,H,OF,OF,OF,742.0,603.5,559.4,460.0
282332,,CC Sabathia,P,SP,SP,SP,432.9,602.5,138.4,153.0
622110,,Matt Duffy,H,3B/SS,3B/SS,3B/SS,351.0,600.9,345.2,560.0
543272,,Brad Hand,P,RP,RP,RP,489.1,600.2,65.0,72.0
593958,,Eduardo Rodriguez,P,SP,SP,SP,417.9,598.3,110.0,129.7
518886,,Craig Kimbrel,P,RP,RP,RP,592.8,597.6,65.0,62.3
571771,,Enrique Hernández,H,2B/3B/OF/SS,2B/3B/OF/SS,2B/3B/OF/SS,302.4,597.3,293.6,462.0
545341,,Randal Grichuk,H,OF,OF,OF,581.0,597.0,480.9,462.0
596001,,Jakob Junis,P,SP,SP,SP,502.6,597.0,148.6,177.0
596059,,Rougned Odor,H,2B,2B,2B,700.8,596.5,569.2,535.0
553878,,Felipe Vázquez,P,RP,RP,RP,524.9,593.0,65.0,70.0
475115,,Tyson Ross,P,SP,SP,SP,365.8,592.2,107.8,149.7
503556,,Marwin Gonzalez,H,1B/2B/3B/OF/SS,1B/2B/3B/OF/SS,1B/2B/3B/OF/SS,520.0,592.0,454.4,552.0
571666,,Mike Fiers,P,SP,SP,SP,394.4,590.6,138.1,172.0
575929,,Willson Contreras,H,C/OF,C/OF,C/OF,634.0,590.4,490.5,544.0
598265,,Jackie Bradley Jr.,H,OF,OF,OF,656.3,588.8,534.6,535.0
489334,,Craig Stammen,P,RP,RP,RP,293.6,586.7,55.0,79.0
621237,,José Alvarado,P,RP,RP,RP,304.5,586.1,55.0,64.0
452655,,Denard Span,H,OF,OF,OF,374.1,585.4,345.5,501.0
