mlbam,fg_id,name,group,pos,proj_pos,act_pos,proj,actual,proj_pt,actual_pt
477132,,Clayton Kershaw,P,SP,SP,SP,1318.6,1574.4,218.1,232.7
453562,,Jake Arrieta,P,SP,SP,SP,854.8,1491.6,176.7,229.0
425844,,Zack Greinke,P,SP,SP,SP,1010.9,1355.7,199.2,222.7
547180,,Bryce Harper,H,OF,OF,OF,784.8,1340.1,560.2,654.0
453286,,Max Scherzer,P,SP,SP,SP,1157.3,1337.4,206.7,228.7
572971,,Dallas Keuchel,P,SP,SP,SP,872.4,1299.7,205.5,232.0
502671,,Paul Goldschmidt,H,1B,1B,1B,935.5,1269.9,612.9,695.0
458015,,Joey Votto,H,1B,1B,1B,834.5,1248.8,574.6,695.0
456034,,David Price,P,SP,SP,SP,1080.8,1227.4,217.2,220.3
518516,,Madison Bumgarner,P,SP,SP,SP,1099.2,1216.8,206.3,218.3
545361,,Mike Trout,H,OF,OF,OF,1072.3,1207.9,661.0,682.0
446372,,Corey Kluber,P,SP,SP,SP,1094.1,1202.8,206.6,222.0
502042,,Chris Archer,P,SP,SP,SP,821.8,1177.1,188.3,212.0
518626,,Josh Donaldson,H,3B,3B,3B,809.4,1174.5,618.2,711.0
543037,,Gerrit Cole,P,SP,SP,SP,846.3,1170.1,176.4,208.0
519242,,Chris Sale,P,SP,SP,SP,1148.8,1163.2,210.6,208.7
594798,,Jacob deGrom,P,SP,SP,SP,760.6,1119.2,163.6,191.0
452657,,Jon Lester,P,SP,SP,SP,1033.5,1096.4,208.3,205.0
519203,,Anthony Rizzo,H,1B,1B,1B,913.4,1085.0,636.1,701.0
443558,,Nelson Cruz,H,OF,OF,OF,670.7,1082.0,566.3,655.0
448801,,Chris Davis,H,1B/3B,1B/3B,1B/3B,694.9,1070.1,544.2,670.0
543243,,Sonny Gray,P,SP,SP,SP,921.9,1053.5,205.5,208.0
430832,,José Bautista,H,1B/OF,1B/OF,1B/OF,844.9,1050.4,561.0,666.0
475115,,Tyson Ross,P,SP,SP,SP,820.0,1040.5,166.0,196.0
592518,,Manny Machado,H,3B,3B,3B,636.2,1039.9,556.9,713.0
457705,,Andrew McCutchen,H,OF,OF,OF,1001.0,1032.6,659.1,685.0
471911,,Carlos Carrasco,P,SP,SP,SP,801.8,1025.3,164.5,183.7
518774,,Matt Harvey,P,SP,SP,SP,964.5,1024.1,176.7,189.3
571448,,Nolan Arenado,H,3B,3B,3B,715.2,1021.3,572.8,665.0
572041,,AJ Pollock,H,OF,OF,OF,526.7,1021.0,522.5,673.0
430935,,Cole Hamels,P,SP,SP,SP,1021.1,1020.7,210.7,212.3
429665,,Edwin Encarnación,H,1B/3B,1B/3B,1B/3B,793.6,1004.2,548.0,624.0
456501,,Johnny Cueto,P,SP,SP,SP,976.9,996.1,203.5,212.0
493316,,Yoenis Cespedes,H,OF,OF,OF,725.9,995.7,594.9,676.0
571946,,Shelby Miller,P,SP,SP,SP,689.5,988.8,170.1,205.3
407793,,John Lackey,P,SP,SP,SP,867.8,985.3,190.3,218.0
502110,,J.D. Martinez,H,OF,OF,OF,674.2,983.2,547.6,657.0
434538,,Francisco Liriano,P,SP,SP,SP,875.7,978.8,174.4,186.7
572761,,Matt Carpenter,H,2B/3B,2B/3B,2B/3B,772.6,967.7,656.5,665.0
120074,,David Ortiz,H,1B,1B,1B,745.5,961.7,525.5,614.0
500779,,Jose Quintana,P,SP,SP,SP,805.4,961.3,186.2,206.3
425902,,Prince Fielder,H,1B,1B,1B,789.2,956.6,567.3,693.0
547989,,José Abreu,H,1B,1B,1B,974.0,943.5,609.3,668.0
572070,,Garrett Richards,P,SP,SP,SP,844.7,926.7,175.4,207.3
514888,,Jose Altuve,H,2B,2B,2B,782.0,923.6,679.1,689.0
433587,,Félix Hernández,P,SP,SP,SP,1179.1,922.4,212.2,201.7
434158,,Curtis Granderson,H,OF,OF,OF,582.3,909.6,563.3,682.0
453568,,Charlie Blackmon,H,OF,OF,OF,664.5,894.9,597.5,682.0
425783,,Shin-Soo Choo,H,OF,OF,OF,742.2,893.5,608.0,653.0
593372,,Carlos Martinez,P,SP,SP,SP,543.0,891.8,125.4,179.7
543521,,Collin McHugh,P,SP,SP,SP,832.0,891.2,193.5,203.7
471865,,Carlos González,H,OF,OF,OF,676.4,890.7,481.9,608.0
517593,,Danny Salazar,P,SP,SP,SP,564.9,890.5,117.9,185.0
434778,,Kendrys Morales,H,1B,1B,1B,566.9,890.1,515.6,639.0
543333,,Eric Hosmer,H,1B,1B,1B,737.4,888.1,615.6,667.0
605141,,Mookie Betts,H,2B/OF,2B/OF,2B/OF,711.0,881.1,582.1,654.0
453943,,Todd Frazier,H,1B/3B,1B/3B,1B/3B,674.6,880.5,593.7,678.0
408234,,Miguel Cabrera,H,1B/3B,1B/3B,1B/3B,996.9,878.2,609.9,511.0
457763,,Buster Posey,H,1B/C,1B/C,1B/C,796.3,874.8,579.8,623.0
488726,,Michael Brantley,H,OF,OF,OF,756.6,872.6,625.6,596.0
543294,,Kyle Hendricks,P,SP,SP,SP,645.9,872.3,160.2,180.0
408236,,Adrián González,H,1B,1B,1B,801.0,868.3,630.2,643.0
121347,,Alex Rodriguez,H,3B,3B,3B,324.9,867.9,339.5,620.0
456715,,Lorenzo Cain,H,OF,OF,OF,533.5,862.0,543.3,604.0
594809,,Adam Eaton,H,OF,OF,OF,591.9,861.9,577.9,689.0
450172,,Edinson Volquez,P,SP,SP,SP,574.1,861.7,159.1,200.3
519455,,Jordan Zimmermann,P,SP,SP,SP,898.3,853.7,189.6,201.7
461829,,Gio Gonzalez,P,SP,SP,SP,766.4,849.9,161.7,175.7
543401,,Jason Kipnis,H,2B,2B,2B,619.1,840.2,590.2,641.0
460075,,Ryan Braun,H,OF,OF,OF,754.9,839.2,568.8,568.0
405395,,Albert Pujols,H,1B,1B,1B,730.9,830.1,585.0,661.0
572122,,Kyle Seager,H,3B,3B,3B,725.3,829.9,622.5,686.0
543829,,Dee Strange-Gordon,H,2B/SS,2B/SS,2B/SS,516.7,821.0,591.6,653.0
572821,,Brian Dozier,H,2B,2B,2B,660.9,815.5,651.3,704.0
451594,,Dexter Fowler,H,OF,OF,OF,580.0,813.3,542.2,690.0
502043,,Kyle Gibson,P,SP,SP,SP,541.3,809.5,150.4,194.7
285079,,R.A. Dickey,P,SP,SP,SP,758.0,807.6,205.8,214.3
458681,,Lance Lynn,P,SP,SP,SP,851.8,805.4,187.9,175.3
429664,,Robinson Canó,H,2B,2B,2B,830.4,805.1,635.7,674.0
608379,,Michael Wacha,P,SP,SP,SP,689.3,801.0,147.8,181.3
519058,,Mike Moustakas,H,3B,3B,3B,527.0,800.0,504.2,614.0
518792,,Jason Heyward,H,OF,OF,OF,750.3,799.0,600.0,610.0
543606,,Jake Odorizzi,P,SP,SP,SP,735.3,797.3,177.4,169.3
435079,,Ian Kinsler,H,2B,2B,2B,707.8,797.0,653.3,675.0
516782,,Starling Marte,H,OF,OF,OF,671.9,794.6,577.1,633.0
