mlbam,fg_id,name,group,pos,proj_pos,act_pos,proj,actual,proj_pt,actual_pt
543037,,Gerrit Cole,P,SP,SP,SP,995.9,1344.4,196.2,212.3
434378,,Justin Verlander,P,SP,SP,SP,1060.5,1307.2,202.3,223.0
641355,,Cody Bellinger,H,1B/OF,1B/OF,1B/OF,868.0,1260.0,626.6,661.0
608324,,Alex Bregman,H,3B/SS,3B/SS,3B/SS,941.2,1259.2,647.7,690.0
592885,,Christian Yelich,H,OF,OF,OF,994.9,1242.8,640.5,580.0
594798,,Jacob deGrom,P,SP,SP,SP,1179.2,1232.5,207.6,204.0
545361,,Mike Trout,H,OF,OF,OF,1127.6,1203.2,593.6,600.0
543685,,Anthony Rendon,H,3B,3B,3B,846.5,1176.4,594.6,646.0
593428,,Xander Bogaerts,H,SS,SS,SS,817.1,1147.0,616.1,698.0
518692,,Freddie Freeman,H,1B/3B,1B/3B,1B/3B,976.7,1137.8,645.3,692.0
544931,,Stephen Strasburg,P,SP,SP,SP,834.8,1136.8,177.3,209.0
571448,,Nolan Arenado,H,3B,3B,3B,1017.8,1132.8,653.0,662.0
450203,,Charlie Morton,P,SP,SP,SP,729.2,1128.6,151.7,194.7
543760,,Marcus Semien,H,SS,SS,SS,682.6,1128.6,623.4,747.0
605141,,Mookie Betts,H,OF,OF,OF,1067.0,1127.7,660.6,706.0
606466,,Ketel Marte,H,2B/SS,2B/SS,2B/SS,703.0,1119.1,580.0,628.0
660670,,Ronald Acuña Jr.,H,OF,OF,OF,894.8,1114.7,644.0,715.0
665742,,Juan Soto,H,OF,OF,OF,938.9,1108.7,602.5,659.0
646240,,Rafael Devers,H,3B,3B,3B,687.8,1107.6,534.2,702.0
425844,,Zack Greinke,P,SP,SP,SP,810.9,1102.8,193.5,208.7
669456,,Shane Bieber,P,SP,SP,SP,598.1,1101.2,139.2,214.3
624585,,Jorge Soler,H,OF,OF,OF,695.0,1089.1,576.5,679.0
502110,,J.D. Martinez,H,OF,OF,OF,976.9,1082.3,590.4,657.0
467793,,Carlos Santana,H,1B/3B,1B/3B,1B/3B,836.7,1081.5,629.2,686.0
553993,,Eugenio Suárez,H,3B,3B,3B,816.5,1077.5,625.1,662.0
656427,,Jack Flaherty,P,SP,SP,SP,778.1,1070.4,167.6,196.3
458681,,Lance Lynn,P,SP,SP,SP,563.4,1067.4,156.7,208.3
596115,,Trevor Story,H,SS,SS,SS,868.7,1064.8,606.6,656.0
641820,,Trey Mancini,H,1B/OF,1B/OF,1B/OF,721.9,1046.5,619.5,679.0
453286,,Max Scherzer,P,SP,SP,SP,1154.0,1045.5,207.9,172.3
453568,,Charlie Blackmon,H,OF,OF,OF,939.5,1038.5,677.5,634.0
547180,,Bryce Harper,H,OF,OF,OF,969.5,1035.6,609.1,682.0
571578,,Patrick Corbin,P,SP,SP,SP,850.0,1017.2,182.3,202.0
518626,,Josh Donaldson,H,3B,3B,3B,774.1,1015.7,555.0,659.0
645277,,Ozzie Albies,H,2B,2B,2B,745.9,1005.6,617.2,702.0
621111,,Walker Buehler,P,SP,SP,SP,851.5,1003.5,166.3,182.3
518934,,DJ LeMahieu,H,2B,2B,2B,503.9,1000.6,477.6,655.0
605137,,Josh Bell,H,1B,1B,1B,796.7,997.0,623.4,613.0
592178,,Kris Bryant,H,3B/OF,3B/OF,3B/OF,937.0,987.0,625.2,634.0
443558,,Nelson Cruz,H,Util,Util,Util,913.5,982.6,596.6,521.0
519203,,Anthony Rizzo,H,1B/2B,1B/2B,1B/2B,989.4,980.9,642.6,613.0
622491,,Luis Castillo,P,SP,SP,SP,733.4,972.9,173.2,190.7
543807,,George Springer,H,OF,OF,OF,814.6,971.5,615.4,556.0
547943,,Hyun Jin Ryu,P,SP,SP,SP,553.2,968.6,125.7,182.7
593871,,Jorge Polanco,H,SS,SS,SS,724.2,964.5,636.6,704.0
