mlbam,fg_id,name,group,pos,proj_pos,act_pos,proj,actual,proj_pt,actual_pt
594798,,Jacob deGrom,P,SP,SP,SP,886.6,1472.6,175.5,217.0
453286,,Max Scherzer,P,SP,SP,SP,1058.0,1371.0,183.2,220.7
434378,,Justin Verlander,P,SP,SP,SP,914.7,1278.6,185.8,214.0
605141,,Mookie Betts,H,OF,OF,OF,892.8,1260.8,629.0,614.0
545361,,Mike Trout,H,OF,OF,OF,935.7,1247.2,521.6,608.0
502110,,J.D. Martinez,H,OF,OF,OF,798.9,1234.3,496.2,649.0
605400,,Aaron Nola,P,SP,SP,SP,727.6,1227.8,155.1,212.3
543037,,Gerrit Cole,P,SP,SP,SP,782.0,1216.0,173.1,200.3
571578,,Patrick Corbin,P,SP,SP,SP,611.9,1207.3,170.4,200.0
592885,,Christian Yelich,H,OF,OF,OF,819.1,1205.7,613.4,651.0
608070,,José Ramírez,H,2B/3B/OF,2B/3B/OF,2B/3B/OF,835.6,1185.0,584.3,698.0
446372,,Corey Kluber,P,SP,SP,SP,1042.5,1151.1,183.3,215.0
608324,,Alex Bregman,H,3B/SS,3B/SS,3B/SS,709.8,1134.8,534.7,705.0
592518,,Manny Machado,H,3B/SS,3B/SS,3B/SS,843.4,1124.2,614.6,709.0
596019,,Francisco Lindor,H,SS,SS,SS,855.0,1107.7,629.9,745.0
502671,,Paul Goldschmidt,H,1B,1B,1B,980.9,1100.5,603.0,690.0
519242,,Chris Sale,P,SP,SP,SP,1054.5,1098.7,189.8,158.0
605483,,Blake Snell,P,SP,SP,SP,561.6,1095.9,133.6,180.7
571448,,Nolan Arenado,H,3B,3B,3B,964.8,1095.0,609.6,673.0
545333,,Trevor Bauer,P,SP,SP,SP,683.0,1087.4,167.2,175.3
518692,,Freddie Freeman,H,1B/3B,1B/3B,1B/3B,838.8,1077.8,526.3,707.0
596115,,Trevor Story,H,SS,SS,SS,685.6,1076.7,519.0,656.0
547180,,Bryce Harper,H,OF,OF,OF,844.0,1059.7,508.7,695.0
572761,,Matt Carpenter,H,1B/2B/3B,1B/2B/3B,1B/2B/3B,773.4,1037.0,567.6,677.0
471911,,Carlos Carrasco,P,SP,SP,SP,893.8,1027.7,174.6,192.0
622663,,Luis Severino,P,SP,SP,SP,784.1,1019.4,163.8,191.3
453568,,Charlie Blackmon,H,OF,OF,OF,971.4,1008.2,626.6,696.0
519317,,Giancarlo Stanton,H,OF,OF,OF,936.5,1006.4,593.0,705.0
605182,,Mike Clevinger,P,SP,SP,SP,552.0,996.3,126.1,200.0
592314,,Mike Foltynewicz,P,SP,SP,SP,502.9,989.1,149.3,183.0
595879,,Javier Báez,H,1B/2B/3B/SS,1B/2B/3B/SS,1B/2B/3B/SS,606.1,983.2,499.0,645.0
571745,,Mitch Haniger,H,OF,OF,OF,528.0,983.0,417.3,683.0
425844,,Zack Greinke,P,SP,SP,SP,895.5,972.7,177.0,207.7
501981,,Khris Davis,H,OF,OF,OF,801.0,970.3,587.0,654.0
592206,,Nick Castellanos,H,3B/OF,3B/OF,3B/OF,717.1,960.1,577.2,678.0
593160,,Whit Merrifield,H,2B/OF,2B/OF,2B/OF,654.3,956.3,548.2,707.0
608566,,Germán Márquez,P,SP,SP,SP,483.9,954.8,143.1,196.0
554430,,Zack Wheeler,P,SP,SP,SP,316.2,953.1,103.2,182.3
607536,,Kyle Freeland,P,SP,SP,SP,455.8,933.0,138.0,202.3
543685,,Anthony Rendon,H,3B,3B,3B,770.6,929.4,567.2,597.0
656555,,Rhys Hoskins,H,1B/OF,1B/OF,1B/OF,455.2,928.1,306.0,660.0
519203,,Anthony Rizzo,H,1B/2B,1B/2B,1B/2B,927.6,925.0,613.1,665.0
553993,,Eugenio Suárez,H,3B,3B,3B,708.0,920.3,578.7,606.0
643217,,Andrew Benintendi,H,OF,OF,OF,683.6,915.8,540.8,661.0
607208,,Trea Turner,H,2B/OF/SS,2B/OF/SS,2B/OF/SS,656.8,913.6,455.9,740.0
444482,,David Peralta,H,OF,OF,OF,644.6,905.0,506.8,614.0
592791,,Jameson Taillon,P,SP,SP,SP,579.7,904.0,137.2,191.0
455976,,Nick Markakis,H,OF,OF,OF,655.9,898.8,603.4,705.0
571697,,Scooter Gennett,H,2B/3B/OF,2B/3B/OF,2B/3B/OF,608.0,889.9,502.7,638.0
543294,,Kyle Hendricks,P,SP,SP,SP,725.0,886.6,148.8,199.0
621244,,José Berríos,P,SP,SP,SP,502.4,884.4,138.7,192.3
656305,,Matt Chapman,H,3B,3B,3B,434.1,883.1,363.0,616.0
425783,,Shin-Soo Choo,H,OF,OF,OF,659.7,873.5,539.0,665.0
468504,,Jhoulys Chacín,P,SP,SP,SP,661.5,872.5,164.6,192.7
593428,,Xander Bogaerts,H,SS,SS,SS,726.8,872.2,589.4,580.0
572971,,Dallas Keuchel,P,SP,SP,SP,721.7,870.5,149.6,204.7
609280,,Miguel Andujar,H,Util,Util,Util,249.7,868.5,204.0,606.0
476704,,Jed Lowrie,H,2B,2B,2B,616.9,866.6,559.4,680.0
488726,,Michael Brantley,H,OF,OF,OF,505.1,864.6,391.8,631.0
458015,,Joey Votto,H,1B,1B,1B,1055.9,858.0,621.2,623.0
542583,,Jesús Aguilar,H,1B,1B,1B,443.0,857.5,356.1,566.0
457705,,Andrew McCutchen,H,OF,OF,OF,780.2,854.5,592.5,682.0
641355,,Cody Bellinger,H,1B/OF,1B/OF,1B/OF,735.9,850.9,474.0,632.0
456715,,Lorenzo Cain,H,OF,OF,OF,720.1,842.9,565.9,620.0
572020,,James Paxton,P,SP,SP,SP,716.6,842.2,140.1,160.3
443558,,Nelson Cruz,H,OF,OF,OF,888.5,840.4,589.2,591.0
477132,,Clayton Kershaw,P,SP,SP,SP,1015.0,840.4,162.4,161.3
621242,,Edwin Díaz,P,RP,RP,RP,444.4,838.6,60.2,73.3
450203,,Charlie Morton,P,SP,SP,SP,615.7,838.4,135.1,167.0
571970,,Max Muncy,H,2B/OF,2B/OF,2B/OF,207.8,834.8,213.3,481.0
514888,,Jose Altuve,H,2B,2B,2B,937.4,834.2,602.7,599.0
500871,,Eduardo Escobar,H,2B/3B/SS,2B/3B/SS,2B/3B/SS,513.1,832.5,487.2,631.0
621566,,Matt Olson,H,1B/OF,1B/OF,1B/OF,452.3,824.1,310.8,660.0
502043,,Kyle Gibson,P,SP,SP,SP,508.1,821.2,153.7,196.7
592789,,Noah Syndergaard,P,SP,SP,SP,524.2,818.6,93.5,154.3
519144,,Rick Porcello,P,SP,SP,SP,715.7,811.6,184.0,191.3
