mlbam,fg_id,name,group,pos,proj_pos,act_pos,proj,actual,proj_pt,actual_pt
453286,,Max Scherzer,P,SP,SP,SP,1116.1,1261.4,196.4,228.3
545361,,Mike Trout,H,OF,OF,OF,1042.7,1232.1,611.5,681.0
518516,,Madison Bumgarner,P,SP,SP,SP,1026.0,1208.1,190.9,226.7
518692,,Freddie Freeman,H,1B,1B,1B,711.4,1191.9,511.3,693.0
458015,,Joey Votto,H,1B,1B,1B,885.7,1191.6,574.7,677.0
434378,,Justin Verlander,P,SP,SP,SP,669.9,1184.1,147.3,227.7
514888,,Jose Altuve,H,2B,2B,2B,784.8,1175.5,615.2,717.0
518626,,Josh Donaldson,H,3B,3B,3B,894.5,1175.0,625.0,700.0
456501,,Johnny Cueto,P,SP,SP,SP,957.5,1171.0,190.4,219.7
120074,,David Ortiz,H,1B,1B,1B,818.5,1161.3,567.2,626.0
605141,,Mookie Betts,H,2B/OF,2B/OF,2B/OF,722.6,1159.3,548.3,730.0
592178,,Kris Bryant,H,3B/OF,3B/OF,3B/OF,720.8,1148.0,525.0,699.0
408234,,Miguel Cabrera,H,1B/3B,1B/3B,1B/3B,840.5,1147.6,524.0,679.0
446372,,Corey Kluber,P,SP,SP,SP,1054.2,1140.4,194.6,215.0
519242,,Chris Sale,P,SP,SP,SP,1003.6,1131.2,181.7,226.7
571448,,Nolan Arenado,H,3B,3B,3B,779.2,1127.7,579.2,696.0
605228,,José Fernández,P,SP,SP,SP,575.0,1125.0,97.5,182.3
502671,,Paul Goldschmidt,H,1B,1B,1B,981.7,1120.4,595.4,705.0
519144,,Rick Porcello,P,SP,SP,SP,661.0,1108.5,166.5,223.0
592789,,Noah Syndergaard,P,SP,SP,SP,677.0,1092.0,135.0,183.7
519203,,Anthony Rizzo,H,1B,1B,1B,866.3,1079.0,612.1,676.0
429664,,Robinson Canó,H,2B,2B,2B,777.4,1072.9,603.5,715.0
572821,,Brian Dozier,H,2B,2B,2B,708.3,1069.4,622.7,691.0
443558,,Nelson Cruz,H,OF,OF,OF,849.6,1062.4,595.3,667.0
452657,,Jon Lester,P,SP,SP,SP,948.8,1061.0,184.5,202.7
429665,,Edwin Encarnación,H,1B,1B,1B,841.6,1057.0,566.2,702.0
477132,,Clayton Kershaw,P,SP,SP,SP,1291.2,1057.0,196.2,149.0
453568,,Charlie Blackmon,H,OF,OF,OF,753.5,1046.9,605.8,641.0
453562,,Jake Arrieta,P,SP,SP,SP,1152.6,1038.7,190.2,197.3
543294,,Kyle Hendricks,P,SP,SP,SP,757.0,1036.3,158.0,190.0
516416,,Jean Segura,H,SS,SS,SS,509.5,1034.3,547.7,694.0
502517,,Daniel Murphy,H,1B/2B/3B,1B/2B/3B,1B/2B/3B,595.1,1029.3,533.2,582.0
456034,,David Price,P,SP,SP,SP,1045.2,1027.8,195.0,230.0
592518,,Manny Machado,H,3B,3B,3B,767.1,1026.9,591.9,696.0
608369,,Corey Seager,H,SS,SS,SS,341.3,1014.0,256.5,687.0
467793,,Carlos Santana,H,1B/3B/C,1B/3B/C,1B/3B/C,729.5,997.1,599.0,688.0
543699,,Tanner Roark,P,SP,SP,SP,601.2,985.1,135.4,210.0
518934,,DJ LeMahieu,H,2B,2B,2B,581.0,973.3,563.8,635.0
572122,,Kyle Seager,H,3B,3B,3B,728.8,970.0,608.4,676.0
500779,,Jose Quintana,P,SP,SP,SP,860.8,969.4,183.2,208.0
543807,,George Springer,H,OF,OF,OF,595.8,968.1,460.0,744.0
542340,,Jonathan Villar,H,3B/SS,3B/SS,3B/SS,289.9,968.1,292.9,679.0
444432,,Mark Trumbo,H,1B/OF,1B/OF,1B/OF,562.4,957.8,508.7,667.0
547888,,Masahiro Tanaka,P,SP,SP,SP,717.8,954.5,150.6,199.7
134181,,Adrian Beltré,H,3B,3B,3B,744.5,954.5,570.9,640.0
592885,,Christian Yelich,H,OF,OF,OF,648.1,943.8,528.5,659.0
446334,,Evan Longoria,H,3B,3B,3B,709.5,942.5,605.0,685.0
592717,,Aaron Sanchez,P,SP,SP,SP,542.7,935.7,109.5,192.0
435079,,Ian Kinsler,H,2B,2B,2B,675.1,932.7,610.1,679.0
474832,,Brandon Belt,H,1B/OF,1B/OF,1B/OF,648.5,932.5,501.5,655.0
593428,,Xander Bogaerts,H,3B/SS,3B/SS,3B/SS,643.6,930.4,586.4,719.0
456030,,Dustin Pedroia,H,2B,2B,2B,537.5,928.8,473.4,698.0
593372,,Carlos Martinez,P,SP,SP,SP,797.0,926.6,158.8,195.3
547989,,José Abreu,H,1B,1B,1B,868.7,914.7,596.2,695.0
434670,,Hanley Ramirez,H,OF/SS,OF/SS,OF/SS,594.2,908.8,466.2,620.0
543401,,Jason Kipnis,H,2B,2B,2B,677.1,906.8,576.0,688.0
407793,,John Lackey,P,SP,SP,SP,833.1,905.2,188.8,188.3
502042,,Chris Archer,P,SP,SP,SP,931.6,901.1,185.5,201.3
471865,,Carlos González,H,OF,OF,OF,734.4,897.8,532.1,632.0
527054,,Julio Teheran,P,SP,SP,SP,778.4,896.4,182.4,188.0
460075,,Ryan Braun,H,OF,OF,OF,705.6,894.8,542.0,564.0
571976,,Wil Myers,H,1B/OF,1B/OF,1B/OF,399.9,891.5,362.6,676.0
502188,,Jeff Samardzija,P,SP,SP,SP,815.5,884.5,189.0,203.3
598265,,Jackie Bradley Jr.,H,OF,OF,OF,353.6,878.2,369.8,636.0
