mlbam,fg_id,name,group,pos,proj_pos,act_pos,proj,actual,proj_pt,actual_pt
477132,,Clayton Kershaw,P,SP,SP,SP,1147.6,1574.4,182.8,232.7
453562,,Jake Arrieta,P,SP,SP,SP,750.6,1491.6,145.9,229.0
425844,,Zack Greinke,P,SP,SP,SP,908.7,1355.7,178.9,222.7
547180,,Bryce Harper,H,OF,OF,OF,588.6,1340.1,447.2,654.0
453286,,Max Scherzer,P,SP,SP,SP,1039.6,1337.4,191.6,228.7
572971,,Dallas Keuchel,P,SP,SP,SP,696.5,1299.7,175.4,232.0
502671,,Paul Goldschmidt,H,1B,1B,1B,784.8,1269.9,510.5,695.0
458015,,Joey Votto,H,1B,1B,1B,605.7,1248.8,408.6,695.0
456034,,David Price,P,SP,SP,SP,1065.4,1227.4,202.8,220.3
518516,,Madison Bumgarner,P,SP,SP,SP,970.4,1216.8,188.8,218.3
545361,,Mike Trout,H,OF,OF,OF,1072.8,1207.9,624.1,682.0
446372,,Corey Kluber,P,SP,SP,SP,1002.0,1202.8,192.6,222.0
502042,,Chris Archer,P,SP,SP,SP,785.0,1177.1,170.2,212.0
518626,,Josh Donaldson,H,3B,3B,3B,789.6,1174.5,614.3,711.0
543037,,Gerrit Cole,P,SP,SP,SP,692.7,1170.1,140.7,208.0
519242,,Chris Sale,P,SP,SP,SP,905.4,1163.2,168.4,208.7
594798,,Jacob deGrom,P,SP,SP,SP,718.9,1119.2,130.2,191.0
452657,,Jon Lester,P,SP,SP,SP,899.8,1096.4,191.2,205.0
519203,,Anthony Rizzo,H,1B,1B,1B,767.4,1085.0,577.0,701.0
443558,,Nelson Cruz,H,OF,OF,OF,758.0,1082.0,584.6,655.0
448801,,Chris Davis,H,1B/3B,1B/3B,1B/3B,719.2,1070.1,529.8,670.0
543243,,Sonny Gray,P,SP,SP,SP,871.2,1053.5,175.9,208.0
430832,,José Bautista,H,1B/OF,1B/OF,1B/OF,848.4,1050.4,589.3,666.0
475115,,Tyson Ross,P,SP,SP,SP,813.9,1040.5,170.3,196.0
592518,,Manny Machado,H,3B,3B,3B,513.1,1039.9,448.0,713.0
457705,,Andrew McCutchen,H,OF,OF,OF,938.6,1032.6,591.4,685.0
471911,,Carlos Carrasco,P,SP,SP,SP,699.7,1025.3,131.7,183.7
518774,,Matt Harvey,P,SP,SP,SP,469.9,1024.1,77.8,189.3
571448,,Nolan Arenado,H,3B,3B,3B,577.3,1021.3,484.9,665.0
572041,,AJ Pollock,H,OF,OF,OF,468.1,1021.0,391.7,673.0
430935,,Cole Hamels,P,SP,SP,SP,928.7,1020.7,184.3,212.3
429665,,Edwin Encarnación,H,1B/3B,1B/3B,1B/3B,798.3,1004.2,533.1,624.0
456501,,Johnny Cueto,P,SP,SP,SP,969.4,996.1,187.9,212.0
493316,,Yoenis Cespedes,H,OF,OF,OF,684.6,995.7,579.9,676.0
571946,,Shelby Miller,P,SP,SP,SP,700.3,988.8,168.8,205.3
407793,,John Lackey,P,SP,SP,SP,759.5,985.3,177.9,218.0
502110,,J.D. Martinez,H,OF,OF,OF,569.3,983.2,471.0,657.0
434538,,Francisco Liriano,P,SP,SP,SP,759.2,978.8,157.3,186.7
572761,,Matt Carpenter,H,2B/3B,2B/3B,2B/3B,778.9,967.7,626.2,665.0
120074,,David Ortiz,H,1B,1B,1B,832.8,961.7,561.0,614.0
500779,,Jose Quintana,P,SP,SP,SP,814.2,961.3,180.2,206.3
425902,,Prince Fielder,H,1B,1B,1B,477.2,956.6,360.2,693.0
547989,,José Abreu,H,1B,1B,1B,785.9,943.5,511.0,668.0
572070,,Garrett Richards,P,SP,SP,SP,798.0,926.7,158.8,207.3
514888,,Jose Altuve,H,2B,2B,2B,756.7,923.6,620.7,689.0
433587,,Félix Hernández,P,SP,SP,SP,1131.5,922.4,198.4,201.7
434158,,Curtis Granderson,H,OF,OF,OF,616.3,909.6,551.5,682.0
453568,,Charlie Blackmon,H,OF,OF,OF,659.3,894.9,549.8,682.0
425783,,Shin-Soo Choo,H,OF,OF,OF,667.2,893.5,535.7,653.0
593372,,Carlos Martinez,P,SP,SP,SP,364.3,891.8,69.5,179.7
543521,,Collin McHugh,P,SP,SP,SP,649.0,891.2,139.9,203.7
471865,,Carlos González,H,OF,OF,OF,537.1,890.7,384.1,608.0
517593,,Danny Salazar,P,SP,SP,SP,540.2,890.5,120.2,185.0
434778,,Kendrys Morales,H,1B,1B,1B,495.6,890.1,466.2,639.0
543333,,Eric Hosmer,H,1B,1B,1B,607.7,888.1,541.5,667.0
605141,,Mookie Betts,H,2B/OF,2B/OF,2B/OF,372.5,881.1,306.5,654.0
453943,,Todd Frazier,H,1B/3B,1B/3B,1B/3B,704.5,880.5,590.0,678.0
408234,,Miguel Cabrera,H,1B/3B,1B/3B,1B/3B,999.7,878.2,607.7,511.0
457763,,Buster Posey,H,1B/C,1B/C,1B/C,785.3,874.8,562.0,623.0
488726,,Michael Brantley,H,OF,OF,OF,766.5,872.6,599.1,596.0
543294,,Kyle Hendricks,P,SP,SP,SP,477.8,872.3,100.2,180.0
408236,,Adrián González,H,1B,1B,1B,740.3,868.3,594.1,643.0
121347,,Alex Rodriguez,H,3B,3B,3B,249.1,867.9,218.1,620.0
456715,,Lorenzo Cain,H,OF,OF,OF,533.5,862.0,495.2,604.0
594809,,Adam Eaton,H,OF,OF,OF,546.6,861.9,496.7,689.0
450172,,Edinson Volquez,P,SP,SP,SP,692.6,861.7,173.4,200.3
519455,,Jordan Zimmermann,P,SP,SP,SP,907.4,853.7,181.2,201.7
461829,,Gio Gonzalez,P,SP,SP,SP,833.3,849.9,158.9,175.7
543401,,Jason Kipnis,H,2B,2B,2B,601.8,840.2,543.3,641.0
460075,,Ryan Braun,H,OF,OF,OF,712.5,839.2,515.3,568.0
405395,,Albert Pujols,H,1B,1B,1B,729.2,830.1,591.8,661.0
572122,,Kyle Seager,H,3B,3B,3B,706.8,829.9,596.5,686.0
543829,,Dee Strange-Gordon,H,2B/SS,2B/SS,2B/SS,540.2,821.0,535.6,653.0
572821,,Brian Dozier,H,2B,2B,2B,669.4,815.5,615.8,704.0
451594,,Dexter Fowler,H,OF,OF,OF,619.0,813.3,501.7,690.0
502043,,Kyle Gibson,P,SP,SP,SP,590.2,809.5,154.8,194.7
285079,,R.A. Dickey,P,SP,SP,SP,815.9,807.6,190.3,214.3
458681,,Lance Lynn,P,SP,SP,SP,864.8,805.4,182.0,175.3
429664,,Robinson Canó,H,2B,2B,2B,855.2,805.1,600.6,674.0
