mlbam,fg_id,name,group,pos,proj_pos,act_pos,proj,actual,proj_pt,actual_pt
519242,,Chris Sale,P,SP,SP,SP,1039.9,1324.9,194.2,214.3
458015,,Joey Votto,H,1B,1B,1B,974.4,1318.8,608.0,707.0
453568,,Charlie Blackmon,H,OF,OF,OF,807.1,1301.5,588.7,725.0
592450,,Aaron Judge,H,OF,OF,OF,247.1,1297.8,247.5,678.0
446372,,Corey Kluber,P,SP,SP,SP,1038.2,1289.2,189.7,203.7
519317,,Giancarlo Stanton,H,OF,OF,OF,687.2,1265.4,466.8,692.0
453286,,Max Scherzer,P,SP,SP,SP,1098.1,1224.7,197.0,200.7
514888,,Jose Altuve,H,2B,2B,2B,914.9,1158.9,627.4,662.0
502671,,Paul Goldschmidt,H,1B,1B,1B,995.1,1151.9,622.0,665.0
571448,,Nolan Arenado,H,3B,3B,3B,922.7,1151.7,614.5,680.0
608070,,José Ramírez,H,2B/3B/OF/SS,2B/3B/OF/SS,2B/3B/OF/SS,632.2,1109.1,544.5,645.0
592178,,Kris Bryant,H,1B/3B/OF,1B/3B/OF,1B/3B/OF,929.1,1093.1,614.5,665.0
542303,,Marcell Ozuna,H,OF,OF,OF,629.0,1088.3,553.4,679.0
622663,,Luis Severino,P,SP,SP,SP,373.4,1071.4,101.7,193.3
519203,,Anthony Rizzo,H,1B,1B,1B,927.4,1065.1,608.1,691.0
547989,,José Abreu,H,1B,1B,1B,853.4,1062.2,614.3,675.0
471911,,Carlos Carrasco,P,SP,SP,SP,796.0,1055.9,151.5,200.0
544931,,Stephen Strasburg,P,SP,SP,SP,787.1,1043.0,146.6,175.3
425844,,Zack Greinke,P,SP,SP,SP,821.2,1037.6,161.6,202.3
443558,,Nelson Cruz,H,OF,OF,OF,882.7,1032.9,599.0,645.0
545361,,Mike Trout,H,OF,OF,OF,1041.9,1020.2,608.7,507.0
596019,,Francisco Lindor,H,SS,SS,SS,761.7,1018.5,585.8,723.0
572821,,Brian Dozier,H,2B,2B,2B,795.5,1016.4,615.9,705.0
543333,,Eric Hosmer,H,1B,1B,1B,717.1,1009.4,600.2,671.0
429665,,Edwin Encarnación,H,1B,1B,1B,897.3,998.5,613.4,669.0
457708,,Justin Upton,H,OF,OF,OF,718.6,994.4,575.0,635.0
543685,,Anthony Rendon,H,2B/3B,2B/3B,2B/3B,687.8,989.1,559.0,605.0
502110,,J.D. Martinez,H,OF,OF,OF,767.6,983.7,524.2,489.0
477132,,Clayton Kershaw,P,SP,SP,SP,1069.7,972.5,157.8,175.0
594798,,Jacob deGrom,P,SP,SP,SP,820.9,972.5,153.1,201.3
434378,,Justin Verlander,P,SP,SP,SP,905.3,960.3,187.2,206.0
502517,,Daniel Murphy,H,1B/2B/3B,1B/2B/3B,1B/2B/3B,730.6,959.0,544.8,593.0
502042,,Chris Archer,P,SP,SP,SP,890.0,956.5,181.9,201.0
475253,,Justin Smoak,H,1B,1B,1B,418.7,954.8,403.3,637.0
501981,,Khris Davis,H,OF,OF,OF,701.3,953.7,549.0,652.0
605141,,Mookie Betts,H,OF,OF,OF,916.7,950.0,630.4,712.0
475582,,Ryan Zimmerman,H,1B,1B,1B,486.2,943.4,472.5,576.0
570731,,Jonathan Schoop,H,2B,2B,2B,605.6,939.4,555.6,675.0
543807,,George Springer,H,OF,OF,OF,801.5,938.6,617.1,629.0
461829,,Gio Gonzalez,P,SP,SP,SP,781.5,936.3,166.2,201.0
502188,,Jeff Samardzija,P,SP,SP,SP,795.7,933.3,183.1,207.7
457705,,Andrew McCutchen,H,OF,OF,OF,826.8,919.9,606.0,650.0
592885,,Christian Yelich,H,OF,OF,OF,762.4,917.8,582.0,695.0
593372,,Carlos Martinez,P,SP,SP,SP,851.6,916.5,175.6,205.0
570267,,Domingo Santana,H,OF,OF,OF,422.6,913.0,359.2,607.0
518692,,Freddie Freeman,H,1B,1B,1B,887.0,909.3,594.6,514.0
462101,,Elvis Andrus,H,SS,SS,SS,576.4,907.5,550.1,689.0
457759,,Justin Turner,H,1B/3B,1B/3B,1B/3B,746.0,900.9,554.9,543.0
547180,,Bryce Harper,H,OF,OF,OF,894.3,896.0,578.9,492.0
543768,,Travis Shaw,H,1B/3B,1B/3B,1B/3B,557.9,891.9,489.8,606.0
467793,,Carlos Santana,H,1B,1B,1B,778.0,887.1,610.6,667.0
519076,,Jimmy Nelson,P,SP,SP,SP,582.7,883.1,167.4,175.3
571875,,Jake Lamb,H,3B,3B,3B,655.8,882.8,536.0,635.0
489149,,Logan Morrison,H,1B,1B,1B,474.2,882.1,450.1,601.0
502054,,Tommy Pham,H,OF,OF,OF,360.1,879.9,308.8,530.0
500779,,Jose Quintana,P,SP,SP,SP,878.5,872.2,184.6,188.7
