playerid,name,mlb,pos,vpos,age,pts,par,base_value,league_value,salary,surplus,arb,keeper_salary,keeper_surplus,keeper_npv,cut_gain,owner
31623,Jacob Misiorowski,MIL,SP,SP,24,590.1,35.7,5,,4.0,1.0,0,6.0,-1.0,0.0,-3.0,Knowznothin
30115,Robert Suarez,ATL,RP,RP,35,405.0,42.6,5,,5.0,0.0,0,7.0,-2.0,0.0,-3.0,Seiya Prayer For My Team
23550,Aaron Ashby,MIL,RP,RP,28,395.5,35.0,5,,1.0,4.0,1,4.0,1.0,0.0,-5.0,Rock the Casasbah
19249,Seranthony Domínguez,SEA,RP,RP,31,400.0,38.6,5,,,,,,,,,FA
22581,Alejandro Kirk,TOR,C,C,27,551.5,30.8,4,,1.0,3.0,1,4.0,0.0,0.0,-4.0,Bloom's Onions
33266,Jacob Wilson,ATH,SS,SS,24,593.5,32.5,4,,4.0,0.0,0,6.0,-2.0,0.0,-2.0,Chin Music Choir
12161,Xander Bogaerts,SDP,SS,SS,33,591.5,30.5,4,,2.0,2.0,0,4.0,0.0,0.0,-3.0,Sweet Spot
18882,Brandon Lowe,PIT,2B,2B,31,570.5,34.2,4,,10.0,-6.0,0,12.0,-8.0,0.0,1.0,Barreled Souls
29622,Sal Frelick,MIL,OF,OF,26,504.4,32.6,4,,2.0,2.0,0,4.0,0.0,0.0,-3.0,Sweet Spot
29911,Andrew Abbott,CIN,SP,SP,27,586.2,31.9,4,,3.0,1.0,0,5.0,-1.0,0.0,-3.0,Sweet Spot
33829,Shota Imanaga,CHC,SP,SP,32,587.7,33.3,4,,17.0,-13.0,0,19.0,-15.0,0.0,4.0,Seiya Prayer For My Team
14078,Michael Wacha,KCR,SP,SP,34,582.6,28.4,4,,4.0,0.0,0,6.0,-2.0,0.0,-2.0,The Northsiders
22543,Taj Bradley,MIN,SP,SP,25,580.0,25.8,4,,3.0,1.0,0,5.0,-1.0,0.0,-3.0,Providence Grays
37124,Tatsuya Imai,HOU,SP,SP,28,579.2,25.1,4,,,,,,,,,FA
31838,Kodai Senga,NYM,SP,SP,33,580.0,25.8,4,,3.0,1.0,0,5.0,-1.0,0.0,-3.0,Sweet Spot
16944,Grant Holmes,ATL,SP,SP,30,583.7,29.4,4,,3.0,1.0,0,5.0,-1.0,0.0,-3.0,Chin Music Choir
17780,José Alvarado,PHI,RP,RP,31,389.0,29.9,4,,,,,,,,,FA
27691,Louis Varland,TOR,RP,RP,28,388.1,29.1,4,,3.0,1.0,0,5.0,-1.0,0.0,-3.0,Bloom's Onions
7048,Fernando Cruz,NYY,RP,RP,36,389.7,30.4,4,,,,,,,,,FA
17586,Tanner Scott,LAD,RP,RP,31,383.9,25.8,4,,2.0,2.0,0,4.0,0.0,0.0,-3.0,Knowznothin
20039,Adrian Morejon,SDP,RP,RP,27,393.1,33.1,4,,3.0,1.0,0,5.0,-1.0,0.0,-3.0,Chin Music Choir
25756,Matt Brash,SEA,RP,RP,28,391.4,31.8,4,,3.0,1.0,0,5.0,-1.0,0.0,-3.0,Iron 
20348,Riley O'Brien,STL,RP,RP,31,390.8,31.3,4,,1.0,3.0,1,4.0,0.0,0.0,-4.0,Barreled Souls
27494,Clayton Beeter,WSN,RP,RP,27,394.3,34.1,4,,1.0,3.0,1,4.0,0.0,0.0,-4.0,Sweet Spot
3096,Kenley Jansen,DET,RP,RP,38,392.8,32.9,4,,,,,,,,,FA
14162,Carlos Correa,HOU,SS/3B,SS,31,581.3,20.3,3,,5.0,-2.0,0,7.0,-4.0,0.0,-1.0,Providence Grays
34985,JJ Wetherholt,STL,2B/SS,2B,23,556.7,20.4,3,,5.0,-2.0,0,7.0,-4.0,0.0,-1.0,Seiya Prayer For My Team
20437,Royce Lewis,MIN,1B/2B/3B,2B,27,551.5,15.2,3,,4.0,-1.0,0,6.0,-3.0,0.0,-1.0,Iron 
9777,Nolan Arenado,ARI,3B,3B,35,581.7,20.7,3,,1.0,2.0,0,3.0,0.0,0.0,-3.0,The Northsiders
13152,Jorge Polanco,NYM,2B/SS,2B,32,558.8,22.5,3,,,,,,,,,FA
22275,Jake Burger,TEX,1B,1B,30,591.6,21.6,3,,1.0,2.0,0,3.0,0.0,0.0,-3.0,Knowznothin
14221,Jorge Soler,,OF,OF,34,492.3,20.5,3,,,,,,,,,FA
16432,Foster Griffin,CLE,SP,SP,30,572.7,18.7,3,,5.0,-2.0,0,7.0,-4.0,0.0,-1.0,Knowznothin
23920,Brayan Bello,BOS,SP,SP,27,577.6,23.5,3,,4.0,-1.0,0,6.0,-3.0,0.0,-1.0,Peel A Section
12447,Seth Lugo,KCR,SP,SP,36,570.3,16.4,3,,3.0,0.0,0,5.0,-2.0,0.0,-2.0,Providence Grays
23793,Braxton Ashcraft,PIT,SP,SP,26,574.3,20.3,3,,4.0,-1.0,0,6.0,-3.0,0.0,-1.0,Barreled Souls
24728,Mike Burrows,HOU,SP,SP,26,578.1,24.0,3,,,,,,,,,FA
13774,Zach Eflin,BAL,SP,SP,32,571.0,17.1,3,,,,,,,,,FA
16358,Tyler Mahle,ATL,SP,SP,31,572.4,18.4,3,,2.0,1.0,0,4.0,-1.0,0.0,-2.0,Twin Pines 🌲🌲
22294,Matthew Liberatore,STL,SP,SP,26,573.5,19.5,3,,3.0,0.0,0,5.0,-2.0,0.0,-2.0,Sweet Spot
23590,Ben Brown,CHC,RP,RP,26,381.6,24.0,3,,5.0,-2.0,0,7.0,-4.0,0.0,-1.0,Bloom's Onions
13799,Matt Strahm,,RP,RP,34,372.9,17.1,3,,,,,,,,,FA
21992,Camilo Doval,PIT,RP,RP,28,379.6,22.4,3,,1.0,2.0,0,3.0,0.0,0.0,-3.0,Sweet Spot
19677,Gregory Soto,PIT,RP,RP,31,372.2,16.5,3,,3.0,0.0,0,5.0,-2.0,0.0,-2.0,Peel A Section
21461,Cole Sands,MIN,RP,RP,28,374.4,18.3,3,,,,,,,,,FA
25890,Bryan King,HOU,RP,RP,29,371.2,15.7,3,,,,,,,,,FA
26231,Tyler Holton,DET,RP,RP,30,373.4,17.5,3,,,,,,,,,FA
13449,Taylor Rogers,MIN,RP,RP,35,379.7,22.5,3,,,,,,,,,FA
16918,Luke Weaver,PIT,RP,RP,32,377.7,20.9,3,,3.0,0.0,0,5.0,-2.0,0.0,-2.0,Chin Music Choir
19574,JoJo Romero,MIL,RP,RP,29,377.4,20.6,3,,,,,,,,,FA
24614,Victor Vodnik,MIA,RP,RP,26,382.1,24.4,3,,,,,,,,,FA
14542,Carlos Estévez,KCR,RP,RP,33,382.1,24.4,3,,,,,,,,,FA
11609,Willson Contreras,BOS,1B,1B,34,575.4,5.4,2,,12.0,-10.0,0,14.0,-12.0,0.0,4.0,The Northsiders
17901,Andrew Benintendi,CHW,OF,OF,31,485.0,13.2,2,,,,,,,,,FA
31431,Jordan Beck,COL,OF,OF,25,485.1,13.3,2,,,,,,,,,FA
13125,Gerrit Cole,NYY,SP,SP,35,567.8,13.9,2,,4.0,-2.0,0,6.0,-4.0,0.0,0.0,The Northsiders
15873,Sean Manaea,NYM,SP,SP,34,561.9,8.2,2,,1.0,1.0,0,3.0,-1.0,0.0,-2.0,Bloom's Onions
19804,Bryan Baker,TBR,RP,RP,31,361.4,7.9,2,,1.0,1.0,0,3.0,-1.0,0.0,-2.0,Bloom's Onions
19360,Lucas Erceg,KCR,RP,RP,31,363.4,9.5,2,,,,,,,,,FA
19996,Dylan Lee,ATL,RP,RP,31,364.5,10.4,2,,1.0,1.0,0,3.0,-1.0,0.0,-2.0,Peel A Section
27517,Jared Koenig,MIL,RP,RP,32,367.1,12.5,2,,,,,,,,,FA
20539,Edwin Uceta,TBR,RP,RP,28,363.7,9.8,2,,,,,,,,,FA
10078,Caleb Thielbar,CHC,RP,RP,39,364.2,10.2,2,,,,,,,,,FA
12857,Shawn Armstrong,CLE,RP,RP,35,368.7,13.7,2,,,,,,,,,FA
20997,Eduard Bazardo,SEA,RP,RP,30,369.2,14.1,2,,2.0,0.0,0,4.0,-2.0,0.0,-1.0,Providence Grays
26252,Erik Miller,BOS,RP,RP,28,358.8,5.9,2,,2.0,0.0,0,4.0,-2.0,0.0,-1.0,The Northsiders
15541,Tyler Rogers,TOR,RP,RP,35,365.2,11.0,2,,2.0,0.0,0,4.0,-2.0,0.0,-1.0,Knowznothin
29629,Matt Svanson,STL,RP,RP,27,359.7,6.6,2,,,,,,,,,FA
22664,Gabriel Moreno,ARI,C,C,26,485.0,-25.9,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Rock the Casasbah
27478,Patrick Bailey,CLE,C,C,27,332.2,-156.1,1,,,,,,,,,FA
27562,Austin Wells,NYY,C,C,26,420.5,-80.9,1,,,,,,,,,FA
33572,Kevin McGonigle,DET,SS/3B,SS,21,526.8,-34.2,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Iron 
18314,Dansby Swanson,CHC,SS,SS,32,548.0,-13.0,1,,,,,,,,,FA
31580,Chase Meidroth,CHW,2B/SS,2B,24,527.3,-9.0,1,,3.0,-2.0,0,5.0,-4.0,0.0,0.0,Peel A Section
26121,Francisco Alvarez,NYM,C,C,24,441.4,-63.0,1,,4.0,-3.0,0,6.0,-5.0,0.0,1.0,Rock the Casasbah
22266,Xavier Edwards,MIA,2B/SS,2B,26,536.3,0.0,1,,6.0,-5.0,0,8.0,-7.0,0.0,2.0,Twin Pines 🌲🌲
27815,Jordan Westburg,BAL,2B/3B,2B,27,513.0,-23.3,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Chin Music Choir
27464,Dillon Dingler,DET,C,C,27,350.2,-140.8,1,,6.0,-5.0,0,8.0,-7.0,0.0,2.0,Knowznothin
29712,Colson Montgomery,CHW,SS/3B,SS,24,561.0,0.0,1,,7.0,-6.0,0,9.0,-8.0,0.0,2.0,Knowznothin
19608,Otto Lopez,MIA,2B/SS,2B,27,524.8,-11.5,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Chin Music Choir
19950,Andrés Giménez,TOR,2B/SS,2B,27,539.5,3.2,1,,,,,,,,,FA
29646,Caleb Durbin,BOS,2B/3B,2B,26,518.4,-17.9,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Seiya Prayer For My Team
21865,Bo Naylor,MIL,C,C,26,428.0,-74.5,1,,,,,,,,,FA
31781,Jackson Holliday,BAL,2B/SS,2B,22,496.1,-40.2,1,,16.0,-15.0,0,18.0,-17.0,0.0,7.0,Seiya Prayer For My Team
24618,Ryan Jeffers,MIN,C,C,29,515.4,0.0,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Twin Pines 🌲🌲
15491,J.P. Crawford,SEA,SS/3B,SS,31,509.7,-51.3,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Barreled Souls
21840,Freddy Fermin,SDP,C,C,31,382.4,-113.3,1,,,,,,,,,FA
25493,Joey Ortiz,MIL,3B/SS,SS,27,481.3,-79.7,1,,,,,,,,,FA
27647,Anthony Volpe,NYY,SS,SS,25,433.2,-127.8,1,,,,,,,,,FA
20178,Miguel Vargas,CHW,1B/3B,3B,26,543.4,-17.6,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Peel A Section
13301,Max Muncy,LAD,3B,3B,35,432.0,-129.0,1,,8.0,-7.0,0,10.0,-9.0,0.0,3.0,Knowznothin
27790,Evan Carter,TEX,OF,OF,23,422.8,-49.0,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Rock the Casasbah
19722,Carlos Narváez,BAL,C,C,27,339.8,-149.6,1,,,,,,,,,FA
26396,Josh Smith,TOR,3B/SS,SS,28,488.6,-72.4,1,,,,,,,,,FA
23690,Brayan Rocchio,CLE,2B/SS,2B,25,396.3,-140.0,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Barreled Souls
20352,Ernie Clement,TOR,1B/2B/SS/3B,2B,30,483.3,-53.0,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Bloom's Onions
26299,Josh Jung,TEX,3B,3B,28,471.1,-89.9,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Sweet Spot
35376,Konnor Griffin,PIT,SS,SS,20,391.1,-169.9,1,,9.0,-8.0,0,11.0,-10.0,0.0,3.0,Seiya Prayer For My Team
20308,Jake Meyers,HOU,OF,OF,30,415.8,-56.0,1,,,,,,,,,FA
20391,Luis García Jr.,NYY,1B/2B,2B,26,498.5,-37.8,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Twin Pines 🌲🌲
31595,Brooks Lee,MIN,2B/SS/3B,2B,25,446.8,-89.5,1,,6.0,-5.0,0,8.0,-7.0,0.0,2.0,Chin Music Choir
29695,Matt McLain,CIN,2B/SS,2B,26,511.2,-25.1,1,,12.0,-11.0,0,14.0,-13.0,0.0,5.0,Barreled Souls
13620,Carson Kelly,CHC,C,C,31,334.1,-154.5,1,,,,,,,,,FA
29591,Colton Cowser,BAL,OF,OF,26,449.3,-22.5,1,,,,,,,,,FA
29478,Carter Jensen,KCR,C,C,22,351.1,-140.0,1,,7.0,-6.0,0,9.0,-8.0,0.0,2.0,The Northsiders
21523,Jonathan India,KCR,2B,2B,29,513.9,-22.4,1,,,,,,,,,FA
31680,Cole Young,SEA,2B/SS,2B,22,341.2,-195.1,1,,8.0,-7.0,0,10.0,-9.0,0.0,3.0,Iron 
12564,Trevor Story,BOS,SS,SS,33,522.7,-38.3,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Providence Grays
21837,Jonathan Aranda,TBR,1B,1B,28,570.0,0.0,1,,6.0,-5.0,0,8.0,-7.0,0.0,2.0,Seiya Prayer For My Team
11739,J.T. Realmuto,PHI,C,C,35,409.0,-90.7,1,,,,,,,,,FA
27506,Ha-Seong Kim,ATL,SS,SS,30,377.2,-183.8,1,,,,,,,,,FA
31505,Sal Stewart,CIN,1B/2B/3B,2B,22,522.0,-14.3,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Twin Pines 🌲🌲
33549,Kyle Teel,CHW,C,C,24,347.1,-143.4,1,,4.0,-3.0,0,6.0,-5.0,0.0,1.0,Chin Music Choir
27490,Nick Gonzales,PIT,2B/SS/3B,2B,27,382.7,-153.6,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Chin Music Choir
31791,Justin Crawford,PHI,OF,OF,22,381.6,-90.2,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Knowznothin
26477,Spencer Horwitz,PIT,1B,1B,28,478.6,-91.4,1,,4.0,-3.0,0,6.0,-5.0,0.0,1.0,Bloom's Onions
29794,Kyle Manzardo,CLE,1B,1B,25,508.5,-61.5,1,,,,,,,,,FA
25782,Pedro Pagés,STL,C,C,27,249.0,-227.0,1,,,,,,,,,FA
35041,Jac Caglianone,KCR,1B/OF,OF,23,471.8,0.0,1,,6.0,-5.0,0,8.0,-7.0,0.0,2.0,Seiya Prayer For My Team
20202,Brandon Marsh,PHI,OF,OF,28,456.0,-15.8,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Bloom's Onions
26546,Agustín Ramírez,MIA,C,C,24,502.5,-11.0,1,,4.0,-3.0,0,6.0,-5.0,0.0,1.0,Seiya Prayer For My Team
18030,Harrison Bader,SFG,OF,OF,32,403.1,-68.7,1,,,,,,,,,FA
29931,Jacob Young,WSN,OF,OF,26,317.2,-154.6,1,,,,,,,,,FA
15112,Ryan McMahon,NYY,3B,3B,31,389.8,-171.2,1,,,,,,,,,FA
15905,Luis Torrens,NYM,C,C,30,200.5,-268.3,1,,,,,,,,,FA
28824,Samuel Basallo,BAL,C/1B,C,21,409.3,-90.4,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Seiya Prayer For My Team
25807,Jared Triolo,PIT,3B/SS,SS,28,425.2,-135.8,1,,,,,,,,,FA
26151,Kyle Stowers,MIA,1B/OF,OF,28,460.8,-11.0,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Providence Grays
19352,Sean Murphy,ATL,C,C,31,327.2,-160.3,1,,,,,,,,,FA
22184,Mark Vientos,NYM,3B,3B,26,507.0,-54.0,1,,,,,,,,,FA
23800,Parker Meadows,DET,OF,OF,26,398.4,-73.4,1,,,,,,,,,FA
13145,Josh Bell,MIN,1B,1B,33,573.8,3.8,1,,,,,,,,,FA
18577,Ke'Bryan Hayes,CIN,3B,3B,29,408.0,-153.0,1,,,,,,,,,FA
29592,Connor Norby,COL,3B,3B,26,449.7,-111.3,1,,,,,,,,,FA
31349,Victor Scott II,STL,OF,OF,25,374.3,-97.5,1,,,,,,,,,FA
19470,Tommy Edman,LAD,2B/3B/OF,OF,31,335.8,-136.0,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Chin Music Choir
19858,Luis Rengifo,SDP,2B/3B/OF,OF,29,367.0,-104.8,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Providence Grays
16535,Danny Jansen,TEX,C,C,31,323.9,-163.2,1,,,,,,,,,FA
19913,Jesús Sánchez,TOR,OF,OF,28,424.7,-47.1,1,,,,,,,,,FA
17128,Ramón Laureano,SDP,OF,OF,31,471.8,0.0,1,,,,,,,,,FA
13419,Christian Walker,HOU,1B,1B,35,564.8,-5.2,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Sweet Spot
16725,Jose Trevino,CIN,C,C,33,200.0,-268.7,1,,,,,,,,,FA
21614,Kyle Isbel,KCR,OF,OF,29,372.4,-99.4,1,,,,,,,,,FA
19452,Jake Rogers,CHW,C,C,31,176.0,-289.2,1,,,,,,,,,FA
26123,Brett Baty,NYM,3B,3B,26,405.8,-155.2,1,,,,,,,,,FA
17929,Cedric Mullins,TBR,OF,OF,31,414.3,-57.5,1,,,,,,,,,FA
26548,Luisangel Acuña,CHW,2B/SS,2B,24,333.7,-202.6,1,,,,,,,,,FA
27555,Garrett Mitchell,MIL,OF,OF,27,325.9,-145.9,1,,4.0,-3.0,0,6.0,-5.0,0.0,1.0,The Northsiders
29976,Jordan Lawlar,ARI,2B/SS/3B/OF,OF,23,376.9,-94.9,1,,8.0,-7.0,0,10.0,-9.0,0.0,3.0,Seiya Prayer For My Team
22263,Nolan Gorman,STL,2B/3B,2B,26,467.1,-69.2,1,,,,,,,,,FA
29668,Marcelo Mayer,SFG,2B/SS/3B,2B,23,379.9,-156.4,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Seiya Prayer For My Team
25477,Isaac Collins,KCR,OF,OF,28,388.7,-83.1,1,,,,,,,,,FA
31695,Dylan Beavers,BAL,OF,OF,24,315.9,-155.9,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Knowznothin
21538,Nick Fortes,TBR,C,C,29,248.4,-227.5,1,,,,,,,,,FA
15711,Tyler O'Neill,BAL,OF,OF,31,440.8,-31.0,1,,,,,,,,,FA
19955,Gavin Lux,TBR,2B/3B/OF,OF,28,322.9,-148.9,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Providence Grays
14968,Victor Caratini,MIN,C,C,32,340.8,-148.8,1,,,,,,,,,FA
25979,Nasim Nuñez,WSN,2B/SS,2B,25,310.5,-225.8,1,,,,,,,,,FA
33541,Dylan Crews,WSN,OF,OF,24,390.6,-81.2,1,,8.0,-7.0,0,10.0,-9.0,0.0,3.0,Seiya Prayer For My Team
23565,Davis Schneider,TOR,2B/OF,OF,27,332.9,-138.9,1,,,,,,,,,FA
11899,Joc Pederson,TEX,OF,OF,34,409.2,-62.6,1,,,,,,,,,FA
17232,Yoán Moncada,LAA,3B,3B,31,363.4,-197.6,1,,,,,,,,,FA
17988,Tyler Stephenson,CIN,C,C,29,415.9,-84.8,1,,,,,,,,,FA
23401,José Caballero,NYY,2B/SS/3B/OF,OF,29,295.5,-176.3,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Sweet Spot
31912,Chandler Simpson,TBR,OF,OF,25,371.8,-100.0,1,,7.0,-6.0,0,9.0,-8.0,0.0,2.0,Iron 
35108,Cam Smith,HOU,OF,OF,23,410.3,-61.5,1,,13.0,-12.0,0,15.0,-14.0,0.0,5.0,Seiya Prayer For My Team
29993,Brady House,WSN,3B,3B,23,401.7,-159.3,1,,,,,,,,,FA
27462,Austin Martin,MIN,OF,OF,27,305.1,-166.7,1,,,,,,,,,FA
22563,Gabriel Arias,CHC,SS,SS,26,322.0,-239.0,1,,,,,,,,,FA
29617,Henry Davis,PIT,C,C,26,218.4,-253.0,1,,,,,,,,,FA
14854,Mike Yastrzemski,ATL,OF,OF,35,420.8,-51.0,1,,,,,,,,,FA
21693,Miguel Amaya,CHC,C,C,27,264.2,-214.0,1,,,,,,,,,FA
18123,Nathan Lukes,TOR,OF,OF,31,279.6,-192.2,1,,,,,,,,,FA
21524,Joey Bart,CHW,C,C,29,246.6,-229.0,1,,,,,,,,,FA
5517,Kyle Higashioka,TEX,C,C,36,193.9,-273.9,1,,,,,,,,,FA
23792,Alek Thomas,LAD,OF,OF,26,319.5,-152.3,1,,,,,,,,,FA
21501,Trevor Larnach,MIN,OF,OF,29,433.9,-37.9,1,,3.0,-2.0,0,5.0,-4.0,0.0,0.0,Rock the Casasbah
24729,Logan O'Hoppe,TEX,C,C,26,382.9,-112.9,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Sweet Spot
31394,Brooks Baldwin,CHW,OF,OF,25,289.5,-182.3,1,,,,,,,,,FA
20084,J.C. Escarra,NYY,C,C,31,134.5,-324.5,1,,,,,,,,,FA
18795,Ramón Urías,STL,3B,3B,32,276.5,-284.5,1,,,,,,,,,FA
27475,Jordan Walker,STL,OF,OF,24,456.5,-15.3,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Iron 
29779,Max Muncy,ATH,3B,3B,23,301.4,-259.6,1,,,,,,,,,FA
19238,Lourdes Gurriel Jr.,ARI,OF,OF,32,443.7,-28.1,1,,,,,,,,,FA
26368,JJ Bleday,CIN,OF,OF,28,305.7,-166.1,1,,6.0,-5.0,0,8.0,-7.0,0.0,2.0,Peel A Section
15518,Amed Rosario,NYY,SS,SS,30,222.2,-338.8,1,,,,,,,,,FA
21897,Christopher Morel,NYM,OF,OF,27,346.8,-125.0,1,,,,,,,,,FA
31382,Dalton Rushing,LAD,C,C,25,179.1,-286.5,1,,3.0,-2.0,0,5.0,-4.0,0.0,0.0,Knowznothin
23372,Hunter Feduccia,LAD,C,C,29,181.4,-284.6,1,,,,,,,,,FA
19953,Josh Lowe,LAA,OF,OF,28,466.1,-5.7,1,,,,,,,,,FA
26517,Noelvi Marte,CIN,3B/OF,OF,24,415.0,-56.8,1,,,,,,,,,FA
22217,Luis Campusano,SDP,C,C,27,223.9,-248.4,1,,,,,,,,,FA
16939,Lane Thomas,ATL,OF,OF,30,436.3,-35.5,1,,,,,,,,,FA
21562,Romy Gonzalez,BOS,1B/2B,2B,29,228.4,-307.9,1,,,,,,,,,FA
27534,Edouard Julien,COL,2B,2B,27,324.0,-212.3,1,,,,,,,,,FA
26323,Spencer Steer,CIN,1B/2B/OF,OF,28,429.5,-42.3,1,,8.0,-7.0,0,10.0,-9.0,0.0,3.0,The Northsiders
33575,Colt Emerson,SEA,SS/3B,SS,20,198.7,-362.3,1,,3.0,-2.0,0,5.0,-4.0,0.0,0.0,Iron 
31363,Graham Pauley,MIA,3B,3B,25,273.6,-287.4,1,,,,,,,,,FA
27883,Thomas Saggese,STL,2B/SS,2B,24,230.4,-305.9,1,,,,,,,,,FA
19392,Zach McKinstry,DET,3B/OF,OF,31,310.8,-161.0,1,,,,,,,,,FA
37122,Sung-Mun Song,SDP,2B/SS,2B,29,255.3,-281.0,1,,,,,,,,,FA
4949,Giancarlo Stanton,NYY,OF,OF,36,420.8,-51.0,1,,4.0,-3.0,0,6.0,-5.0,0.0,1.0,Sweet Spot
30038,Carson Williams,TBR,SS,SS,23,303.3,-257.7,1,,,,,,,,,FA
26197,Andrew Vaughn,MIL,1B/3B,3B,28,539.1,-21.9,1,,3.0,-2.0,0,5.0,-4.0,0.0,0.0,Barreled Souls
34979,Christian Moore,LAA,2B/3B,2B,23,237.0,-299.3,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Providence Grays
15674,Reese McGuire,,C,C,31,123.0,-334.3,1,,,,,,,,,FA
27496,Owen Caissie,MIA,OF,OF,23,338.8,-133.0,1,,6.0,-5.0,0,8.0,-7.0,0.0,2.0,Seiya Prayer For My Team
19610,Keibert Ruiz,WSN,C,C,27,316.3,-169.6,1,,,,,,,,,FA
25643,Drew Millas,WSN,C,C,28,143.0,-317.3,1,,,,,,,,,FA
29958,Harry Ford,WSN,C,C,23,183.9,-282.4,1,,,,,,,,,FA
29844,Liam Hicks,TBR,C/1B,C,27,269.3,-209.7,1,,3.0,-2.0,0,5.0,-4.0,0.0,0.0,Twin Pines 🌲🌲
29858,Denzel Clarke,ATH,OF,OF,26,318.5,-153.3,1,,,,,,,,,FA
33322,Matt Shaw,CHC,2B/3B/OF,OF,24,249.0,-222.8,1,,4.0,-3.0,0,6.0,-5.0,0.0,1.0,Knowznothin
28253,Javier Sanoja,MIA,3B/OF,OF,23,224.0,-247.8,1,,,,,,,,,FA
26438,Dominic Canzone,SEA,OF,OF,28,362.1,-109.7,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Bloom's Onions
21746,José Fermín,STL,2B/3B/OF,OF,27,179.8,-292.0,1,,,,,,,,,FA
18363,Victor Robles,SEA,OF,OF,29,251.4,-220.4,1,,,,,,,,,FA
22541,George Valera,CLE,OF,OF,25,329.6,-142.2,1,,,,,,,,,FA
19260,Jake Fraley,TBR,OF,OF,31,357.3,-114.5,1,,,,,,,,,FA
12976,Austin Hedges,CLE,C,C,33,75.1,-375.1,1,,,,,,,,,FA
21622,Jake McCarthy,COL,OF,OF,28,361.1,-110.7,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,Chin Music Choir
29780,Joe Mack,MIA,C,C,23,176.7,-288.6,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Providence Grays
22857,Wenceel Pérez,DET,OF,OF,26,278.4,-193.4,1,,,,,,,,,FA
18848,Yohel Pozo,BAL,C,C,29,174.2,-290.7,1,,,,,,,,,FA
33704,CJ Kayfus,CLE,1B/OF,OF,24,273.8,-198.0,1,,,,,,,,,FA
27531,David Hamilton,MIL,2B/SS,2B,28,182.4,-353.9,1,,,,,,,,,FA
35177,Carson Benge,NYM,OF,OF,23,295.5,-176.3,1,,2.0,-1.0,0,4.0,-3.0,0.0,0.0,Chin Music Choir
21646,Rafael Marchán,PHI,C,C,27,136.1,-323.2,1,,,,,,,,,FA
28022,Edgar Quero,CHW,C,C,23,398.5,-99.6,1,,,,,,,,,FA
12979,Javier Báez,DET,SS,SS,33,259.4,-301.6,1,,,,,,,,,FA
19901,Gavin Sheets,SDP,1B/OF,OF,30,417.3,-54.5,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Barreled Souls
21009,Leo Rivas,SEA,2B/SS,2B,28,134.3,-402.0,1,,,,,,,,,FA
26224,Darell Hernaiz,ATH,3B/SS,SS,24,144.1,-416.9,1,,,,,,,,,FA
19354,Luke Raley,SEA,OF,OF,31,307.2,-164.6,1,,,,,,,,,FA
31357,Nathan Church,STL,OF,OF,25,197.9,-273.9,1,,,,,,,,,FA
23789,Blaze Alexander,BAL,2B/SS/3B/OF,OF,27,200.5,-271.3,1,,1.0,0.0,0,3.0,-2.0,0.0,-1.0,The Northsiders
27577,Casey Schmitt,SFG,1B/2B/3B/OF,OF,27,210.3,-261.5,1,,5.0,-4.0,0,7.0,-6.0,0.0,1.0,Peel A Section
25629,Cody Freeman,TEX,2B/3B,2B,25,156.6,-379.7,1,,,,,,,,,FA
