playerid,name,mlb,pos,vpos,age,pts,par,base_value,league_value,salary,surplus,arb,keeper_salary,keeper_surplus,keeper_npv,cut_gain,owner
11493,Manny Machado,SDP,3B,3B,33,751.9,190.9,20,,30.0,-10.0,0,32.0,-12.0,0.0,-5.0,Bloom's Onions
24610,Steven Kwan,CLE,OF,OF,28,662.1,190.3,20,,12.0,8.0,2,16.0,4.0,1.5,-14.0,The Northsiders
31812,Roman Anthony,BOS,OF,OF,22,660.4,188.6,20,,9.0,11.0,3,14.0,6.0,3.5,-16.0,Seiya Prayer For My Team
30116,Seiya Suzuki,CHC,OF,OF,31,659.7,187.9,20,,17.0,3.0,1,20.0,0.0,0.0,-12.0,Barreled Souls
13066,Teoscar Hernández,LAD,OF,OF,33,663.3,191.5,20,,11.0,9.0,2,15.0,5.0,0.0,-15.0,Barreled Souls
17277,Ranger Suarez,BOS,SP,SP,30,750.4,192.0,20,,9.0,11.0,2,13.0,7.0,1.3,-16.0,The Northsiders
16162,Brandon Woodruff,MIL,SP,SP,33,748.4,190.0,20,,6.0,14.0,3,11.0,9.0,2.2,-17.0,Rock the Casasbah
18684,Sandy Alcantara,MIA,SP,SP,30,743.2,185.0,20,,9.0,11.0,2,13.0,7.0,1.0,-16.0,The Northsiders
19291,Zac Gallen,ARI,SP,SP,30,748.1,189.7,20,,,,,,,,,FA
13624,Corey Seager,TEX,SS,SS,32,737.7,176.7,19,,25.0,-6.0,0,27.0,-8.0,0.0,-7.0,Rock the Casasbah
37120,Munetaka Murakami,CHW,1B/3B,3B,26,742.4,181.4,19,,13.0,6.0,1,16.0,3.0,1.1,-13.0,Twin Pines 🌲🌲
33825,Yoshinobu Yamamoto,LAD,SP,SP,27,739.1,181.0,19,,47.0,-28.0,0,49.0,-30.0,0.0,4.0,Rock the Casasbah
14710,Edwin Díaz,LAD,RP,RP,32,570.5,174.0,19,,13.0,6.0,1,16.0,3.0,0.0,-13.0,The Northsiders
14161,Byron Buxton,MIN,OF,OF,32,637.7,165.9,18,,10.0,8.0,1,13.0,5.0,0.0,-13.0,Twin Pines 🌲🌲
