playerid,PlayerName,Team,G,GS,IP,SV,HLD,FPTS,SPTS,xMLBAMID
sa3023511,Nick Sando,CIN,0.4846,0.1096,1,0,0,6.800000000000001,7,805311
sa3024273,Yhoiker Fajardo,STL,0.1952,0.1712,1,0,0,6.800000000000001,7,823369
sa3020180,Ike Buxton,,0.3808,0.1318,1,0,0,3.8000000000000003,4,702034
sa3015487,Rayner Castillo,DET,0.1895,0.1725,1,0,0,6.800000000000001,7,698982
sa3023416,Noah Hall,NYM,0.2059,0.1689,1,0,0,3.8000000000000003,4,801801
19457,Bryan Garcia,,0.1754,0.1754,1,0,0,6.800000000000001,7,650530
sa3024980,Garrett Edwards,TBR,0.1754,0.1754,1,0,0,6.800000000000001,7,801435
sa3015440,Roque Gutierrez,LAD,0.4146,0.1246,1,0,0,6.800000000000001,7,692262
sa3005435,Luis Angel Rodriguez,,0.3313,0.1423,1,0,0,6.800000000000001,7,678296
sa1170503,Chris Kachmar,,0.1754,0.1754,1,0,0,6.800000000000001,7,690148
sa3018025,Jorge Marcheco,ATH,0.3486,0.1386,1,0,0,6.800000000000001,7,703420
sa3022856,Jason Savacool,,0.1994,0.1704,1,0,0,3.8000000000000003,4,691013
sa3023157,Jack Mahoney,COL,0.1754,0.1754,1,0,0,6.800000000000001,7,694968
sa3067134,Lucas Elissalt,DET,0.2389,0.1619,1,0,0,6.800000000000001,7,827640
sa3020315,Cedric De Grandpre,ATL,0.1754,0.1754,1,0,0,3.8000000000000003,4,678142
sa3003037,Jairo Solis,,0.22,0.166,1,0,0,6.800000000000001,7,672810
3284,Aníbal Sánchez,,0.1754,0.1754,1,0,0,6.800000000000001,7,434671
sa3025537,Kyle Robinson,LAA,0.2167,0.1667,1,0,0,6.800000000000001,7,701836
sa3025644,Sebastian Gongora,BAL,0.1911,0.1721,1,0,0,3.8000000000000003,4,807792
sa3034093,Garrett Horn,MIN,0.1754,0.1754,1,0,0,3.8000000000000003,4,701718
19979,Zach Plesac,,0.1754,0.1754,1,0,0,6.800000000000001,7,668676
sa3017500,Aaron Brown,,0.2266,0.1646,1,0,0,6.800000000000001,7,676345
sa3023137,Corey Avant,ATH,0.2381,0.1621,1,0,0,6.800000000000001,7,813895
sa3014684,Alex Santos II,HOU,0.2406,0.1616,1,0,0,3.8000000000000003,4,691012
sa3025349,Owen Hackman,ATL,0.2381,0.1621,1,0,0,6.800000000000001,7,813706
sa3022950,Christian Oppor,CHW,0.1754,0.1754,1,0,0,3.8000000000000003,4,803291
31097,Yunior Marte,SFG,0.1952,0.1712,1,0,0,6.800000000000001,7,805074
sa3020110,Brett Gillis,HOU,0.3131,0.1461,1,0,0,6.800000000000001,7,702094
sa3019265,Wellington Aracena,ARI,0.2818,0.1528,1,0,0,3.8000000000000003,4,800286
sa1170012,Edgar Barclay,NYY,0.2191,0.1661,1,0,0,6.800000000000001,7,687607
sa3015222,D.J. McCarty,TEX,0.2299,0.1639,1,0,0,3.8000000000000003,4,695769
7608,Tommy Milone,,0.1754,0.1754,1,0,0,6.800000000000001,7,543548
sa3020757,Kevin Miranda,,0.4063,0.1263,1,0,0,6.800000000000001,7,806656
sa3021570,Juan Valera,BOS,0.1754,0.1754,1,0,0,6.800000000000001,7,813536
sa3019268,Leonel Sequera,STL,0.1754,0.1754,1,0,0,6.800000000000001,7,800320
sa3023631,Keyner Martinez,SFG,0.3032,0.1482,1,0,0,3.8000000000000003,4,815212
sa3023450,Charlee Soto,MIN,0.1754,0.1754,1,0,0,3.8000000000000003,4,805792
sa3019625,Erian Rodriguez,CHC,0.1754,0.1754,1,0,0,6.800000000000001,7,701477
19268,Justin Dunn,,0.1754,0.1754,1,0,0,6.800000000000001,7,643290
sa3017260,Ryan Costeiu,LAA,0.2373,0.1623,1,0,0,6.800000000000001,7,695065
sa3040812,Xavier Rivas,NYY,0.1845,0.1735,1,0,0,3.8000000000000003,4,814392
sa3067145,Boston Bateman,BAL,0.1754,0.1754,1,0,0,3.8000000000000003,4,815348
sa3022956,Nick Payero,,0.2414,0.1614,1,0,0,6.800000000000001,7,809579
sa3023366,Brett Wichrowski,MIL,0.1754,0.1754,1,0,0,6.800000000000001,7,814489
sa3007624,Tommy Parsons,,0.2307,0.1637,1,0,0,6.800000000000001,7,682418
sa3019518,Hung-Leng Chang,PIT,0.182,0.174,1,0,0,6.800000000000001,7,800213
sa3010560,Ben Anderson,TEX,0.2043,0.1693,1,0,0,6.800000000000001,7,670391
sa3017879,Kevin Abel,CIN,0.182,0.174,1,0,0,6.800000000000001,7,674265
sa3015220,Victor Lizarraga,SDP,0.1886,0.1726,1,0,0,6.800000000000001,7,694205
sa3023507,Zach Fruit,BAL,0.1886,0.1726,1,0,0,6.800000000000001,7,688396
sa3019119,Aldrin Batista,CHW,0.45,0.117,1,0,0,6.800000000000001,7,702881
sa3067147,Michael Caldon,,0.4113,0.1253,1,0,0,6.800000000000001,7,828511
sa3067433,David Shields,KCR,0.1754,0.1754,1,0,0,3.8000000000000003,4,815789
sa3020804,Nate Peterson,CIN,0.4855,0.1095,1,0,0,6.800000000000001,7,685396
sa3019153,Franklin Gómez,CLE,0.2628,0.1568,1,0,0,3.8000000000000003,4,800338
33026,Yunior Tur,ATH,0.1977,0.1707,1,0,0,6.800000000000001,7,814305
5524,Madison Bumgarner,,0.1754,0.1754,1,0,0,6.800000000000001,7,518516
sa3067525,Chung-Hsiang Huang,ARI,0.1853,0.1733,1,0,0,6.800000000000001,7,829473
sa3042647,Travis Smith,MIL,0.1754,0.1754,1,0,0,6.800000000000001,7,695605
sa3036393,Christian Little,SEA,0.1754,0.1754,1,0,0,6.800000000000001,7,691733
sa3011866,Matthew Thompson,,0.1985,0.1705,1,0,0,3.8000000000000003,4,683010
sa3022230,Ashton Izzi,ARI,0.1754,0.1754,1,0,0,6.800000000000001,7,802416
sa3018181,Orlando Ortiz-Mayr,MIA,0.2068,0.1688,1,0,0,6.800000000000001,7,689508
sa3020259,Devereaux Harrison,TOR,0.3964,0.1284,1,0,0,6.800000000000001,7,687288
sa3019633,Jogly García,CLE,0.2323,0.1633,1,0,0,3.8000000000000003,4,805702
sa3025588,Herick Hernandez,ATL,0.1829,0.1739,1,0,0,3.8000000000000003,4,803349
sa3016526,Felix Arronde,KCR,0.1886,0.1726,1,0,0,6.800000000000001,7,702373
