Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Clayton Kershaw","LAD",16.59280014038086,7.45959997177124,27.939199447631836,2.092035541620109,32,32,0,0,,217.11399841308594,854.7789916992188,161.5780029296875,57.68920135498047,50.46780014038086,15.275199890136719,43.42279815673828,,5.099599838256836,265.1520080566406,10.991313733577917,1.7999999367479285,6.106285622118407,0.6332009912583528,0.31019949089944737,0.050800029690034755,0.2593994612094126,0.20040518637787738,0.9442081237727781,0.27823245904905947,0.8022829373923643,,,2.2761675825617873,7.012690556410283,,,,,,,,,1383.3926441192625,6.37173399334293,1271.7292156219482,5.857426167438213,,,,,,,,,,,,,,,,,,,"Clayton Kershaw","2036",477132
"Max Scherzer","WSN",14.945599555969238,8.82289981842041,24.817399978637695,2.719858952797512,32,32,0,0,,211.50799560546875,850.7949829101562,167.7100067138672,70.03009796142578,63.91910171508789,21.09670066833496,44.66669845581055,,5.851799964904785,251.4949951171875,10.70151012294007,1.900638720307086,5.630480958112348,0.8976980065055534,0.29559999784783086,0.05249995516314339,0.2431000426846875,0.20956508152412168,1.0041072185556021,0.2778425855436138,0.7785253569158697,,,2.7687026447585916,5.905621050402216,,,,,,,,,1221.0582267761229,5.773106701147099,1134.7173643112183,5.3648911052414086,,,,,,,,,,,,,,,,,,,"Max Scherzer","3137",453286
"Chris Sale","CHW",14.745499610900879,8.956199645996094,24.367799758911133,2.7909753271466404,32,32,0,0,,210.281005859375,845.52197265625,165.1060028076172,71.79119873046875,65.20989990234375,20.84119987487793,47.94110107421875,,10.437100410461426,254.9250030517578,10.910757336780792,2.0518729587802778,5.317462414079777,0.8920006736097646,0.3015001517357355,0.0567000061791527,0.24480014555658283,0.20975329902169784,1.0131542932808242,0.28211015087709296,0.7682403198672785,,,2.830286263832112,5.880246538081592,,,,,,,,,1205.172479248047,5.731247453010585,1115.184832572937,5.303307486167888,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"David Price","BOS",15.552300453186035,8.402000427246094,24.355199813842773,3.0097911035311737,32,32,0,0,,214.94000244140625,871.968994140625,187.59300231933594,79.04170227050781,71.88050079345703,22.031400680541992,43.162498474121094,,5.175099849700928,218.51600646972656,9.149734976688,1.807306605818927,5.0626357183827535,0.9225021116249907,0.25060066119103985,0.0495000381483291,0.20110062304271076,0.22776329711581503,1.0735809908458624,0.2839412586468372,0.7589046567489003,,,3.1074887483381026,5.022445919662496,,,,,,,,,1123.8472016334533,5.228655386936733,1080.3110213279724,5.0261050016618976,,,,,,,,,,,,,,,,,,,"David Price","3184",456034
"Jake Arrieta","CHC",14.794300079345703,8.762900352478027,23.412500381469727,2.951090313591643,32,32,0,0,,207.8719940185547,850.1920166015625,173.60000610351562,76.11979675292969,68.16100311279297,15.625,56.28269958496094,,6.6732001304626465,217.9040069580078,9.434344784545718,2.43680876135452,3.8715983519780033,0.6764980567196935,0.25629975664677085,0.06619998598662154,0.19009977066014933,0.22051834561424738,1.1058858927766728,0.2853042759808884,0.7392173690230035,,,2.922813481226353,4.980879466434321,,,,,,,,,1141.645554637909,5.492060438579358,1083.1752848625183,5.210780268773647,,,,,,,,,,,,,,,,,,,"Jake Arrieta","4153",453562
"Stephen Strasburg","WSN",12.910699844360352,8.8725004196167,20.08970069885254,2.9285590341301626,30.780000686645508,30.780000686645508,0,0,,184.5330047607422,749.2210083007812,153.34300231933594,66.31390380859375,60.046199798583984,16.359899520874023,41.5817985534668,,6.317399978637695,209.1820068359375,10.20217529088841,2.028017630051709,5.030614694719533,0.7979011444525617,0.2791993343998165,0.05550004350221507,0.2236992908976014,0.21864855788516604,1.0563140242881435,0.28791275507044833,0.7476467452750641,,,2.797677015838705,4.96458883077668,,,,,,,,,1040.2920831680296,5.637431008706703,984.6527481079102,5.335916734161295,,,,,,,,,,,,,,,,,,,"Stephen Strasburg","10131",544931
"Corey Kluber","CLE",13.750800132751465,10.043600082397461,23.368900299072266,3.123910687296373,32,32,0,0,,211.34500122070312,860.875,183.39500427246094,80.79820251464844,73.35810089111328,20.671899795532227,46.487300872802734,,7.61269998550415,213.92799377441406,9.10999518724894,1.979633799894388,4.601858782030773,0.8803004428077529,0.24850064617327028,0.054000059094296775,0.1945005870789735,0.22731865076083183,1.0877111065674196,0.28439389077287347,0.7419273506517766,,,3.148634145323531,4.822720131686481,,,,,,,,,1098.4176154136658,5.197272748677937,1053.5462937355042,4.984959604676469,,,,,,,,,,,,,,,,,,,"Corey Kluber","2429",446372
"José Fernández","MIA",12.272600173950195,8.752900123596191,20.513999938964844,2.7996703490829713,29.15999984741211,29.15999984741211,0,0,,181.38999938964844,737.958984375,143.04299926757812,62.579498291015625,56.42580032348633,13.396699905395508,50.9192008972168,,5.441699981689453,211.20399475097656,10.479276471441821,2.5264502432161313,4.147826184022476,0.6647020208074397,0.28620018079982,0.06900004197434065,0.21720013882547937,0.20986414535362746,1.0693103303238887,0.2836915538868696,0.7498720749048833,,,2.6971408674734967,4.70180312328395,,,,,,,,,1058.920075416565,5.837808473342966,986.118185043335,5.4364528825265035,,,,,,,,,,,,,,,,,,,"Jose Fernandez","11530",605228
"Madison Bumgarner","SFG",14.037300109863281,9.623000144958496,24.369699478149414,2.7418620762382298,32,32,0,0,,209.22999572753906,848.8040161132812,173.31900024414062,70.90049743652344,63.7421989440918,18.368099212646484,46.514400482177734,,6.70550012588501,215.08700561523438,9.251938489058238,2.000810652812622,4.62409497672976,0.7901013061678313,0.25340008003276093,0.05479992978257767,0.19860015025018327,0.21785125779450504,1.0506782259489558,0.27565006980299056,0.7672284685249314,,,2.981947139620129,4.666382740087242,,,,,,,,,1142.2592568397522,5.45934751309373,1077.8789982795715,5.1516466103798715,,,,,,,,,,,,,,,,,,,"Madison Bumgarner","5524",518516
"Matt Harvey","NYM",13.065299987792969,10.227800369262695,22.01889991760254,3.1015293516509916,32,32,0,0,,202.55799865722656,827.4409790039062,175.81199645996094,76.904296875,69.80439758300781,19.364500045776367,43.606201171875,,6.218200206756592,205.78500366210938,9.143381378353233,1.9374984604335375,4.719168332297563,0.8603980171965901,0.248700522313795,0.05270007442025559,0.1960004478935394,0.2260908544373689,1.0832364018521954,0.28317976545617335,0.7410714929511881,,,3.0824562848695325,4.579487695141828,,,,,,,,,1065.7314518928529,5.261364443555294,1023.148295879364,5.051137465130467,,,,,,,,,,,,,,,,,,,"Matt Harvey","11713",518774
