Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Clayton Kershaw","LAD",14.613100051879883,7.0914998054504395,22.133800506591797,2.7474021696149995,29.15999984741211,29.15999984741211,0,0,,190.32000732421875,759.4569702148438,158.6320037841797,64.51529693603516,58.0984001159668,19.177200317382812,35.238800048828125,,4.357800006866455,217.88800048828125,10.303656625306306,1.6663996859729786,6.183184449707934,0.9068663104999899,0.28689973103629907,0.046399995563750476,0.2404997354725486,0.22036496292900357,1.0186569796770768,0.2888487961748704,0.7744784917436334,0.4847389266625187,,2.8020144626101198,5.8152524845986795,,,,,,,,,1077.0314812660215,5.659055484541095,1019.282633304596,5.355625231603748,,,,,,,,,,,,,,,,,,,"Clayton Kershaw","2036",477132
"Corey Kluber","CLE",15.641500473022461,8.389100074768066,23.011499404907227,3.2959017387579417,32,32,0,0,,212.8699951171875,864.27197265625,182.6300048828125,84.9384994506836,77.95539855957031,25.312400817871094,49.26350021362305,,7.475100040435791,245.27999877929688,10.370273122796876,2.082827604137098,4.978939736634234,1.0701912556319964,0.28379955215423025,0.05699999742235862,0.22679955473187163,0.2261578420462527,1.089366798588854,0.2929886375463237,0.7480295738783014,0.4440864723200646,,3.1985896356610315,5.700528300926725,,,,,,,,,1109.4016179084776,5.211639232188354,1055.6329617500305,4.959050058552836,,,,,,,,,,,,,,,,,,,"Corey Kluber","2429",446372
"Noah Syndergaard","NYM",12.538399696350098,9.19789981842041,19.179500579833984,3.0996734876012413,30.780000686645508,30.780000686645508,0,0,,182.4980010986328,740.3579711914062,152.19000244140625,69.16419982910156,62.85380172729492,17.625999450683594,46.34640121459961,,5.24399995803833,220.03399658203125,10.851110463220941,2.2856009842319382,4.747596163145418,0.8692368908217086,0.29719946991040824,0.06259998948889223,0.23459948042151602,0.2209598840974165,1.0878826204167844,0.2982969268320972,0.744117108789542,0.49673980714655025,,2.849916889310868,5.427788426514783,,,,,,,,,1023.2881981849671,5.607120034328053,968.648802280426,5.307722804902999,,,,,,,,,,,,,,,,,,,"Noah Syndergaard","11762",592789
"Chris Sale","BOS",14.907600402832031,6.9293999671936035,21.182199478149414,3.150378904366,29.15999984741211,29.15999984741211,0,0,,192.41799926757812,775.2529907226562,155.88400268554688,73.03089904785156,67.35440063476562,23.232900619506836,42.79399871826172,,9.48289966583252,240.32899475097656,11.240949188703272,2.0016110235548608,5.615950879776506,1.08667643552821,0.3100007321828615,0.05520004337986631,0.2548006888029952,0.2156143257535936,1.0325333501026859,0.28873966660472405,0.7562180853876685,0.4040729655992898,,3.0443468298297676,5.4099071440956195,,,,,,,,,1056.6574043273927,5.491468617018493,983.8895826339722,5.1132928643841,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Max Scherzer","WSN",14.882599830627441,8.80620002746582,21.815000534057617,3.3856224447353043,32,32,0,0,,207.45399475097656,849.5230102539062,170.22000122070312,83.8678970336914,78.04010009765625,27.24530029296875,55.89860153198242,,7.703499794006348,256.5559997558594,11.130197808793291,2.425055320779614,4.589667589609924,1.181985928644377,0.30200005963249854,0.06579998523556813,0.23620007439693042,0.21658668103499362,1.0899698654832537,0.2847423171680251,0.7567525880080499,0.35691658944089627,,3.3113277844967914,5.325643128514344,,,,,,,,,1079.7760599136352,5.204894035469289,1005.3867654800415,4.846311909717076,,,,,,,,,,,,,,,,,,,"Max Scherzer","3137",453286
"Stephen Strasburg","WSN",13.539999961853027,8.578900337219238,19.00320053100586,3.4375063562094255,30.780000686645508,30.780000686645508,0,0,,188.447998046875,778.7100219726562,165.29800415039062,78.36180114746094,71.97679901123047,22.36829948425293,51.93989944458008,,6.138599872589111,215.39100646972656,10.286758566388947,2.480573419967793,4.146927675505975,1.0682771769652915,0.27659976164694833,0.06669992420670798,0.2098998374402403,0.22937936928053976,1.1527737404826897,0.29599902359777136,0.7469578106662661,0.44734165868499515,,3.3393416950959636,4.764876166386065,,,,,,,,,946.1568060874938,5.020784597839795,907.9986119270325,4.818297999117904,,,,,,,,,,,,,,,,,,,"Stephen Strasburg","10131",544931
"Jacob deGrom","NYM",12.806900024414062,10.55840015411377,20.936899185180664,3.4455195214195573,32,32,0,0,,203.35000610351562,839.9420166015625,179.4499969482422,84.89990234375,77.84960174560547,23.877199172973633,56.86410140991211,,4.938899993896484,225.3560028076172,9.973956057990451,2.5167292713465086,3.9630627622708707,1.0567729830672843,0.26829947586074593,0.06770003200933612,0.20059944385140982,0.2306143162640898,1.1621051943212544,0.2941408354522888,0.7463017726683233,0.4567613586853701,,3.3794276779422283,4.6850257684243815,,,,,,,,,1009.8335046768188,4.96598708810838,971.6494426727295,4.778212016271639,,,,,,,,,,,,,,,,,,,"Jacob deGrom","10954",594798
"Zack Greinke","ARI",12.834199905395508,10.5,19.850299835205078,3.7281174814996074,32,32,0,0,,202.78500366210938,845.9970092773438,193.6020050048828,91.42829895019531,84.00070190429688,25.169300079345703,52.02880096435547,,4.242700099945068,195.17100524902344,8.662075673840484,2.3091412097683337,3.7512108991851183,1.1170633756111303,0.23069940331791458,0.061499982143907124,0.16919942117400746,0.24515100878906276,1.211286838441568,0.2958150371175913,0.7329232961424297,0.45719717920777464,,3.678750189654779,4.235885581421903,,,,,,,,,909.1889304161072,4.483511669980507,908.251624584198,4.478889504559088,,,,,,,,,,,,,,,,,,,"Zack Greinke","1943",425844
"Luis Severino","NYY",13.788700103759766,8.331000328063965,18.54050064086914,3.565830748314757,30.780000686645508,30.780000686645508,0,0,,188.2740020751953,779.2780151367188,164.13800048828125,81.24169921875,74.59480285644531,24.660999298095703,57.51070022583008,,6.915299892425537,212.43099975585938,10.154768989502562,2.7491650271806853,3.693764793711365,1.1788616125247948,0.27259975981561585,0.07379997781117979,0.19879978200443604,0.22961116012807478,1.1772666341133302,0.29193946025099565,0.7503448272993969,0.46916151382268473,,3.6304027456028884,4.2011369001240055,,,,,,,,,894.722521877289,4.752236166520447,852.3610186576843,4.5272369486109785,,,,,,,,,,,,,,,,,,,"Luis Severino","15890",622663
"Chris Archer","TBR",12.247599601745605,10.679200172424316,19.611099243164062,3.486711075008118,32,32,0,0,,196.08900451660156,809.948974609375,168.54600524902344,82.68679809570312,75.96730041503906,23.63290023803711,61.3130989074707,,5.651000022888184,221.52099609375,10.167265470894659,2.814119493989871,3.6129473153535017,1.0846916310614776,0.2734999401667073,0.07569995250261413,0.19779998766409318,0.226849846835696,1.1722182216343164,0.2910889659799813,0.747929204129166,0.44364315682136546,,3.4895196375002815,4.19194001588145,,,,,,,,,964.3040422439575,4.917685438921774,915.3670148849487,4.668120056713586,,,,,,,,,,,,,,,,,,,"Chris Archer","6345",502042
