Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","WSN",150,672.4535522460938,522.2432861328125,162.76840209960938,93.27950286865234,29.23889923095703,2.3059000968933105,37.94409942626953,120.69239807128906,106.14199829101562,137.31500244140625,21.51849937438965,96.77169799804688,4.707200050354004,4.9019999504089355,3.286099910736084,,11.697199821472168,4.9654998779296875,0.3116716029130827,0.2041999807760015,0.14390837504659643,1.4189582830734009,0.4554773054507372,0.5944574254371038,0.4347262286694408,1.049934730887841,0.28278582252402107,4.380309007278368,0.3180808432615919,-0.2759999930858612,-0.4743869022057303,148.33598566680743,66.93159013754243,173.1091718198544,-0.7503868952915915,,61.836219012782756,-8.83899998664856,7.576446149966106,,,,,,,,1278.2586260318756,8.521724173545836,1278.2586260318756,8.521724173545836,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Mike Trout","LAA",149.0399932861328,655.0040283203125,525.5463256835938,142.89089965820312,75.8207015991211,25.86280059814453,2.6493000984191895,38.55799865722656,104.61969757080078,105.04429626464844,111.6781997680664,13.100099563598633,151.1470947265625,11.135100364685059,4.953199863433838,1.6913000345230103,,7.013700008392334,2.400700092315674,0.2718902077230598,0.17050001975476878,0.2307575040632391,0.7388709652018217,0.4067028678252053,0.5512857450629466,0.4006657764767309,0.9579886128881518,0.2793955373398868,4.102822133878029,0.3061461431124606,0.7400000095367432,-0.238922966386091,126.0282241122607,46.73619447459832,155.31643236441732,0.5010770431506522,,44.861960853152645,-3.6809998750686646,6.377822395519964,,,,,,,,1102.235002231598,7.395565297131247,1102.235002231598,7.395565297131247,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Ronald Acuña Jr.","ATL",134.4600067138672,616.4078979492188,514.0388793945312,146.81089782714844,76.82740020751953,28.51810073852539,1.7479000091552734,39.71760177612305,114.12699890136719,91.52559661865234,82.84519958496094,3.6984000205993652,141.41209411621094,9.862500190734863,3.9068000316619873,5.754499912261963,,28.132999420166016,8.83549976348877,0.285602711608258,0.13439996447252844,0.2294131768698733,0.5858423927792176,0.3922333123185037,0.5796793214698196,0.4073562802426098,0.9719126337883233,0.2940766098615616,5.826260495310516,0.3179578799301832,1.5959999561309814,1.3540902450149623,122.01418055405763,47.3944359420795,154.32905562448784,2.950090201145944,,45.583257119082816,-4.046000123023987,6.238757343507244,,,,,,,,1080.9495262145995,8.039189887256777,1080.9495262145995,8.039189887256777,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"José Ramírez","CLE",150,663.0438232421875,570.341796875,152.59280395507812,78.5447006225586,35.09510040283203,3.819000005722046,35.13399887084961,98.64340209960938,102.78710174560547,79.63159942626953,7.293499946594238,97.3572998046875,6.63040018081665,5.026800155639648,1.4133000373840332,,22.92060089111328,7.158899784088135,0.26754624120336284,0.12010005467946694,0.14683388396354333,0.8179314708401093,0.361009307574312,0.5272766235554306,0.3727897164590226,0.8882859311297426,0.25973038235206775,5.6653598653502835,0.2652174891792469,1.0609999895095825,1.0431351569651137,112.28267694777385,32.01738359009921,140.39398319266812,2.1041351464746962,,34.89561154472054,3.1579999923706055,6.091824133209988,,,,,,,,1020.2718069791794,6.801812046527862,1020.2718069791794,6.801812046527862,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Vladimir Guerrero Jr.","TOR",150,656.2295532226562,566.26171875,173.3227996826172,94.4657974243164,30.939899444580078,1.7640000581741333,46.153099060058594,110.23999786376953,124.10269927978516,77.63200378417969,5.249800205230713,101.53070068359375,5.906099796295166,4.982600212097168,1.4471999406814575,,3.4486000537872314,1.5204999446868896,0.30608249497285517,0.11830007259340762,0.15471826921690734,0.7646160546661545,0.39228435953683793,0.6114663613365323,0.41747221121842076,1.0037507208733703,0.30538386636367715,3.3528503139239367,0.30023974108165824,-0.9120000004768372,-0.5391154779170355,135.38907855641625,55.94869203440383,164.63699421698382,-1.4511154783938727,,50.48135632642305,-12.850999534130096,6.025991240945194,,,,,,,,1190.874850356579,7.9391656690438595,1190.874850356579,7.9391656690438595,,,,,,,,,,,,,,,,,,,"Vladimir Guerrero Jr.","19611",665489
"Aaron Judge","NYY",150,665.0213623046875,567.9982299804688,155.10589599609375,87.24479675292969,25.778799057006836,0.8137000203132629,41.26860046386719,104.55660247802734,109.31990051269531,84.2582015991211,1.9951000213623047,171.98989868164062,5.320199966430664,4.9496002197265625,2.4951999187469482,,5.355400085449219,2.3280999660491943,0.2730746115202282,0.12669999247410219,0.25862311864027215,0.48990203636950796,0.3693201654967223,0.539293752365892,0.3838226538210701,0.9086139178626144,0.26621914084566384,3.188367243127985,0.31648782908970585,0.35199999809265137,-0.5034991965689182,118.68815013896015,38.18346422921909,147.8053344951973,-0.1514991984762668,,38.77219162318575,-2.7440004348754883,5.895512648466085,,,,,,,,1040.3080242931842,6.935386828621228,1040.3080242931842,6.935386828621228,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Mookie Betts","LAD",150,692.3510131835938,588.6873168945312,160.5511016845703,92.39849853515625,34.95330047607422,2.9651999473571777,30.234100341796875,114.09619903564453,86.6552963256836,84.60530090332031,2.769399881362915,108.14189910888672,8.308199882507324,4.371200084686279,6.3790998458862305,,16.6382999420166,4.638299942016602,0.27272729864729617,0.12220001024377089,0.15619519152810174,0.7823544953481194,0.3694969997409035,0.4962517321379675,0.3696456811685129,0.865748731878871,0.22352443349067136,5.475694610047965,0.2866109786915115,1.3849999904632568,0.757957303683624,115.44466500241525,31.631566634457258,133.48516570593145,2.142957294146881,,31.656818353627386,0.7209997177124023,5.575764399298775,,,,,,,,1010.2316392421722,6.734877594947815,1010.2316392421722,6.734877594947815,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Carlos Correa","MIN",147.4199981689453,620.9828491210938,537.7014770507812,148.85890197753906,87.00129699707031,32.73820114135742,1.2733999490737915,27.846099853515625,84.93109893798828,88.37129974365234,70.97830200195312,2.4839000701904297,115.87470245361328,5.588799953460693,4.596099853515625,2.1180999279022217,,1.0694999694824219,0.45399999618530273,0.2768430222546713,0.11429993936613879,0.18659887727594443,0.6125435535022583,0.3642573435412595,0.4978269727084807,0.36732497741703585,0.8620843162497402,0.22098395045380942,2.464444637540887,0.303612277073415,0.6579999923706055,-0.5277878633399621,102.35217642657152,27.178607489510316,135.90894020298947,0.1302121290306434,,27.431570139023854,5.596999883651733,5.443556630942228,,,,,,,,890.3230314850807,6.039364011283995,890.3230314850807,6.039364011283995,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Wander Franco","TBR",149.0399932861328,651.159912109375,585.8712768554688,168.79949951171875,105.54109954833984,33.77000045776367,9.309100151062012,20.17930030822754,87.0708999633789,86.32389831542969,52.0276985168457,0,80.67449951171875,5.860400199890137,4.816100120544434,2.584399938583374,,8.858599662780762,4.017300128936768,0.28811704239489566,0.07990003307836714,0.12389352908777944,0.6449088476748241,0.3495161422598158,0.48086604221675056,0.35464293883860726,0.8303821844765664,0.1927489998218549,5.688204057588417,0.3034095785478157,0.6380000114440918,-0.47216712043734055,100.49352906486317,21.66685194924546,130.53159397664933,0.16583289100675125,,24.50687629783725,6.076000094413757,5.301900744805288,,,,,,,,879.3334106445312,5.899982892218416,879.3334106445312,5.899982892218416,,,,,,,,,,,,,,,,,,,"Wander Franco","23667",677551
"Manny Machado","SDP",150,670.8556518554688,590.5604858398438,162.4040985107422,96.41629791259766,29.53380012512207,2.0201001167297363,34.43389892578125,99.75640106201172,99.76920318603516,67.5551986694336,8.721099853515625,113.5647964477539,4.696000099182129,4.853700160980225,3.1902999877929688,,10.361300468444824,4.150300025939941,0.27499994057303917,0.1007000514679839,0.169283505525598,0.5948603861630019,0.35145643705999496,0.5067724668211526,0.36083816611060116,0.8582289038811476,0.23177252624811345,4.345487140769616,0.28602094086090585,-0.6240000128746033,-0.21547693596841477,106.9718420381194,25.760881601851292,130.50627964243756,-0.839476948843018,,25.213993037072676,3.7239999771118164,5.158524486620035,,,,,,,,964.5629338741302,6.4304195591608675,964.5629338741302,6.4304195591608675,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Trea Turner","LAD",150,671.8204956054688,606.3956298828125,176.8302001953125,113.58200073242188,34.20240020751953,3.275599956512451,25.770200729370117,98.7936019897461,95.8563003540039,51.93170166015625,2.015500068664551,116.24600219726562,6.04640007019043,4.888700008392334,2.5580999851226807,,26.370500564575195,7.222499847412109,0.2916086321886676,0.07729996628541905,0.17303134238633275,0.44673967860012825,0.35084638077882796,0.48630694121504114,0.35676382341024715,0.8371533219938692,0.19469830902637353,5.820178030058784,0.3219055179457091,1.7059999704360962,1.6652683896430422,104.86097033411548,23.533209976147802,125.11304878394515,3.3712683600791387,,24.8495697972976,3.6630001068115234,5.119110786928314,,,,,,,,947.7665151119232,6.318443434079488,947.7665151119232,6.318443434079488,,,,,,,,,,,,,,,,,,,"Trea Turner","16252",607208
