Name,Team,W,L,QS,ERA,G,GS,SV,HLD,BS,IP,TBF,H,R,ER,HR,BB,IBB,HBP,SO,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,GB%,HR/FB,FIP,WAR,RA9-WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/IP,SPTS,SPTS/IP,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Spencer Strider","ATL",14.520400047302246,7.0528998374938965,19.265300750732422,3.185040315715475,30.780000686645508,30.780000686645508,0,0,,184.80160522460938,752.1430053710938,138.49139404296875,70.4927978515625,65.40006256103516,21.1700496673584,62.1338005065918,,7.874199867248535,257.0939025878906,12.520698185920784,3.025970493490383,4.137746290935727,1.030999956816681,0.3418151877395245,0.08260902522910002,0.2592061625104245,0.2030263701882978,1.085624739599632,0.29049208547896604,0.7610654702006664,0.37129455729736693,,3.098368785441146,4.872272760758574,,,,,,,,,1051.2264472961426,5.6884053903020675,952.961184501648,5.156671574055924,,,,,,,,,,,,,,,,,,,"Spencer Strider","27498",675911
"Zack Wheeler","PHI",13.089300155639648,9.756099700927734,19.585500717163086,3.5565394586294055,32,32,0,0,,197.4420928955078,813.18798828125,179.69410705566406,84.79650115966797,78.02339935302734,23.934370040893555,47.65439987182617,,9.353300094604492,198.57479858398438,9.051632106643462,2.172229804479517,4.166977217593376,1.0910000355498812,0.24419298052310273,0.058601947592153036,0.1855910329309497,0.23763394766097407,1.1514692920511624,0.2918646545933864,0.7354092023786102,0.4380876575555625,,3.685649213040447,4.659170853585488,,,,,,,,,925.6005548477174,4.687959600071564,902.1901512145996,4.569391146456623,,,,,,,,,,,,,,,,,,,"Zack Wheeler","10310",554430
"Kevin Gausman","TOR",12.99209976196289,9.610799789428711,19.31290054321289,3.4424807182723773,32,32,0,0,,193.297607421875,797.4329833984375,167.19439697265625,80.21269989013672,73.93592071533203,23.732648849487305,51.72309875488281,,5.119500160217285,220.9351043701172,10.286810922554807,2.4082444423534284,4.271497835370126,1.1049999143507965,0.2770578957350789,0.06486200073447346,0.21219589500060543,0.2257582605387148,1.132541155823767,0.2892825192461838,0.7469624684302122,0.4085293257823956,,3.447396713744387,4.429284394330785,,,,,,,,,975.1276939392092,5.044696139518054,929.3060140609741,4.807643645752684,,,,,,,,,,,,,,,,,,,"Kevin Gausman","14107",592332
"Pablo López","MIN",12.734199523925781,9.87969970703125,19.06060028076172,3.5126498179280796,32,32,0,0,,193.26589965820312,801.2680053710938,171.68240356445312,82.0250015258789,75.43060302734375,22.118207931518555,53.560001373291016,,8.814000129699707,213.5178985595703,9.943094412592451,2.494180366076593,3.9865177947147354,1.0299999727614533,0.2664750085218779,0.06684405344312432,0.19963095507875356,0.23235051667180595,1.1654534262696754,0.2971919495202457,0.7371817916282061,0.44068823071846125,,3.5014517056465744,4.200110350056312,,,,,,,,,951.6532432556153,4.924061849186247,918.7065877914429,4.753588653850496,,,,,,,,,,,,,,,,,,,"Pablo Lopez","17085",641154
"Logan Webb","SFG",12.535400390625,10.57229995727539,20.4153995513916,3.5025004489510456,32,32,0,0,,201.37680053710938,842.22900390625,201.57510375976562,86.86750030517578,78.36914825439453,17.452655792236328,44.7046012878418,,8.103099822998047,180.38600158691406,8.061872122072252,1.9979531431498405,4.03506566193161,0.7799999886341508,0.21417690527194566,0.05307891450009711,0.16109799077184855,0.2553454068771269,1.2229795308632059,0.31123706787911914,0.7185715051345086,0.5625752497097151,,3.376879744134837,4.177488623645489,,,,,,,,,953.7742877960205,4.736266964477175,982.3483772277832,4.878160615362233,,,,,,,,,,,,,,,,,,,"Logan Webb","17995",657277
"Aaron Nola","PHI",12.453499794006348,10.284099578857422,18.275800704956055,3.8207194174048857,32,32,0,0,,195.10670471191406,808.5650024414062,182.90960693359375,89.40630340576172,82.82755279541016,27.74850845336914,44.563201904296875,,6.816199779510498,200.48280334472656,9.247991927118832,2.055638312024553,4.498841976734073,1.279999969499112,0.24794890050816268,0.055113938606965875,0.1928349619011968,0.24156508886405698,1.1658892459578307,0.29333555227511116,0.7319633178106164,0.422084421205797,,3.8388399189430276,4.159603707583688,,,,,,,,,873.7453845024108,4.478295022165152,861.6303153038025,4.416200440554043,,,,,,,,,,,,,,,,,,,"Aaron Nola","16149",605400
"Framber Valdez","HOU",13.877900123596191,8.365500450134277,20.300800323486328,3.392789466897865,30.780000686645508,30.780000686645508,0,0,,195.4971923828125,811.1920166015625,179.69949340820312,81.61830139160156,73.69786834716797,16.769315719604492,62.923301696777344,,9.871399879455566,197.20799255371094,9.07875919521103,2.896766487377873,3.134101155467674,0.7720000458160502,0.24310889224465165,0.07756893609529163,0.16553995614936,0.24336422919148726,1.2410551381724657,0.3106864261295135,0.7346913706409879,0.5704028314921913,,3.4697197800278436,4.138874329815414,,,,,,,,,949.2298377990722,4.855465320137895,935.5167379379272,4.785320579469227,,,,,,,,,,,,,,,,,,,"Framber Valdez","17295",664285
"Tarik Skubal","DET",11.39229965209961,8.931099891662598,17.155500411987305,3.3293908769118747,29.15999984741211,29.15999984741211,0,0,,171.18479919433594,702.4409790039062,147.9971923828125,68.92050170898438,63.32678985595703,19.43898582458496,46.648399353027344,,6.382400035858154,197.5959014892578,10.388557405640032,2.452528473048776,4.235855982836299,1.0220000446573139,0.28129893812496237,0.06640899484420304,0.21488994328075933,0.22789478364898325,1.1370495082035308,0.2973301408459719,0.7509068292627257,0.432117414330651,,3.3520548782271593,4.111447851662032,,,,,,,,,878.9746930122374,5.13465387785039,839.3165850639343,4.902985481269911,,,,,,,,,,,,,,,,,,,"Tarik Skubal","22267",669373
"Tyler Glasnow","LAD",11.131099700927734,6.95419979095459,15.00979995727539,3.4804396222671254,25.920000076293945,25.920000076293945,0,0,,153.33889770507812,629.72802734375,127.58489990234375,64.302001953125,59.29853057861328,18.605119705200195,48.23590087890625,,4.1921000480651855,190.68179321289062,11.191786067333796,2.8311349201500056,3.9531094006430494,1.092000006866206,0.30280023269284,0.07659798958348679,0.22620224310935322,0.22100276124053828,1.1466157864223863,0.2961301546052982,0.7445823169936633,0.4428998036269243,,3.3710381447227467,3.785352039218014,,,,,,,,,798.2237145423887,5.205617925320158,748.907516002655,4.884002214774323,,,,,,,,,,,,,,,,,,,"Tyler Glasnow","14374",607192
"Zac Gallen","ARI",12.488800048828125,10.318900108337402,18.481700897216797,3.817790376115223,32,32,0,0,,196.30990600585938,824.1389770507812,185.49440002441406,90.10150146484375,83.27445220947266,23.666248321533203,54.337100982666016,,8.193599700927734,202.4208984375,9.280163813450779,2.491132102265882,3.725279685091664,1.0849999331538644,0.24561500435505718,0.0659319635349778,0.17968304082007938,0.24355617681731084,1.2216984149537604,0.3021881728948622,0.7243875306963177,0.4284566670078969,,3.715595484784606,3.6344973590332716,,,,,,,,,896.5627048492432,4.567078264621466,891.137996673584,4.539444874712465,,,,,,,,,,,,,,,,,,,"Zac Gallen","19291",668678
"Zach Eflin","TBR",11.92020034790039,9.732600212097168,17.589500427246094,3.639848978161146,30.780000686645508,30.780000686645508,0,0,,183.96609497070312,759.56298828125,176.72239685058594,80.95040130615234,74.4009780883789,23.261491775512695,34.82210159301758,,6.489699840545654,177.2165985107422,8.669800741547935,1.7035688798366213,5.089198824986402,1.1380000538303219,0.23331389396914987,0.04584491626140648,0.1874689777077434,0.24604539482377757,1.149910251001916,0.296386401870275,0.729663969906652,0.4509098028812159,,3.6458819456726146,3.4530862312496073,,,,,,,,,846.2523148536679,4.600044997359078,847.9288744926453,4.609158413824456,,,,,,,,,,,,,,,,,,,"Zach Eflin","13774",621107
"Jesús Luzardo","MIA",11.234800338745117,10.261899948120117,16.649499893188477,3.7642911554967897,30.780000686645508,30.780000686645508,0,0,,180.77720642089844,762.4509887695312,160.48289489746094,81.62409973144531,75.61089324951172,23.05913543701172,63.10279846191406,,7.440000057220459,204.58779907226562,10.185411247938896,3.1415751874987077,3.2421351201364765,1.1479999223459294,0.2683291150326085,0.08276308823961454,0.18556602679299394,0.23194247034333168,1.2368024585953983,0.29600522929933926,0.7420775683324744,0.40411159947518716,,3.8204963708928052,3.443194168471181,,,,,,,,,834.4156374931335,4.615712644382762,801.6644740104675,4.434543988604265,,,,,,,,,,,,,,,,,,,"Jesus Luzardo","19959",666200
"Max Fried","ATL",13.517200469970703,8.09280014038086,17.843000411987305,3.594359584574487,30.780000686645508,30.780000686645508,0,0,,184.57960510253906,773.27001953125,181.11619567871094,80.86289978027344,73.7161636352539,20.36528205871582,46.660701751708984,,6.96019983291626,175.993896484375,8.58136557112824,2.2751501474504137,3.771779889228286,0.9929999494073091,0.227596948076509,0.06034205461630896,0.16725489346020003,0.251672921097284,1.2340306899231015,0.3071928227842966,0.7372776309567011,0.4965599868847129,,3.6539120469055004,3.4295714104491757,,,,,,,,,835.6190878868105,4.527147446342195,849.2744469642639,4.6011283125915705,,,,,,,,,,,,,,,,,,,"Max Fried","13743",608331
"George Kirby","SEA",12.320099830627441,10.207900047302246,18.366600036621094,3.6275110883416843,32,32,0,0,,191.48240661621094,787.02197265625,182.1782989501953,83.73829650878906,77.17828369140625,25.105470657348633,32.74800109863281,,7.8292999267578125,183.3029022216797,8.615549329822613,1.5392119573597591,5.597376819110109,1.1799999796796412,0.23290696904308852,0.04161002136713692,0.1912969476759516,0.24406135628534337,1.122433668173003,0.2919372329659424,0.7297196302993573,0.4297224920324417,,3.6806523967516993,3.3403357604271275,,,,,,,,,879.3828439712524,4.592499433819022,875.91481590271,4.574387962745371,,,,,,,,,,,,,,,,,,,"George Kirby","25436",669923
"Corbin Burnes","BAL",12.480199813842773,10.379500389099121,18.770999908447266,3.7754805781060483,32,32,0,0,,197.1739044189453,831.6069946289062,181.2136993408203,89.90760040283203,82.71402740478516,24.383838653564453,61.38420104980469,,9.235799789428711,207.87510681152344,9.48845622759778,2.801880964300465,3.3864594351054906,1.1129999607645542,0.24996796341796643,0.07381395472412614,0.1761540086938403,0.23812982458265966,1.2303752928438494,0.29661725188253746,0.7324662501614325,0.4549544542459057,,3.828644111597463,3.317740421836042,,,,,,,,,891.9002700805664,4.52341942869631,872.7698307037354,4.426396247899607,,,,,,,,,,,,,,,,,,,"Corbin Burnes","19361",669203
"Freddy Peralta","MIL",10.853500366210938,9.312000274658203,15.467900276184082,3.698689878239822,29.15999984741211,29.15999984741211,0,0,,168.09080505371094,701.2550048828125,140.1929931640625,74.2926025390625,69.07952880859375,22.636228561401367,58.690799713134766,,7.664000034332275,199.9158935546875,10.703994435729342,3.142451469903002,3.4062560832672917,1.212000007897604,0.2850830185348847,0.08369394771441617,0.20138907082046853,0.22081106925170504,1.1831925774503067,0.2850910903766012,0.7451934950629532,0.3804780768017696,,3.8113086419969147,3.2616182661110633,,,,,,,,,801.7119517326357,4.769516996937819,746.9504418373108,4.443731717500156,,,,,,,,,,,,,,,,,,,"Freddy Peralta","18679",642547
"Justin Steele","CHC",11.551400184631348,9.949299812316895,16.902700424194336,3.7055288689381674,30.780000686645508,30.780000686645508,0,0,,181.1103057861328,756.5170288085938,171.264892578125,81.40299987792969,74.56771850585938,20.123367309570312,55.31880187988281,,7.507699966430664,173.43240356445312,8.618458377091383,2.7489833599356994,3.135143887263462,1,0.22925115623317083,0.07312300949391981,0.15612814673925102,0.24688947869607797,1.2510811766039036,0.30220160352519737,0.7317170371101822,0.4843390644807742,,3.824960845172444,3.2603478014140115,,,,,,,,,805.7954257965088,4.449196981358123,802.3330554962158,4.4300795143246265,,,,,,,,,,,,,,,,,,,"Justin Steele","17312",657006
"Yoshinobu Yamamoto","LAD",11.86929988861084,8.73840045928955,16.04210090637207,3.938289152147989,29.15999984741211,29.15999984741211,0,0,,176.34860229492188,736.9349975585938,162.6739959716797,82.86070251464844,77.16797637939453,26.00162124633789,48.29209899902344,,6.702400207519531,193.1573028564453,9.857836711405946,2.464600713218845,3.9997702907954227,1.3269999771570613,0.26210901028769146,0.06553101584130387,0.19657799444638757,0.23854573289721162,1.196301485950468,0.2953280388205908,0.7338599064859346,0.4013874580859949,,3.916740915047723,3.245859449657845,,,,,,,,,783.5384342193604,4.443122451909125,765.0530433654785,4.338299444449348,,,,,,,,,,,,,,,,,,,"Yoshinobu Yamamoto","33825",808967
"Carlos Rodón","NYY",11.49470043182373,8.530699729919434,14.940999984741211,3.7710399384349795,29.15999984741211,29.15999984741211,0,0,,166.27650451660156,695.718017578125,140.59539794921875,74.48889923095703,69.67059326171875,23.832965850830078,52.957298278808594,,7.013500213623047,197.4154052734375,10.685446224806478,2.8664042818009237,3.7278224473251744,1.2900000110121073,0.2837577873297912,0.07611891160036229,0.2076388757294289,0.2211498434101175,1.1640411661931613,0.281695432140875,0.7432821384152531,0.3341265276393879,,3.8258374259084276,3.1939469173395887,,,,,,,,,786.6710338592529,4.731101583752077,736.4723815917969,4.429202933588643,,,,,,,,,,,,,,,,,,,"Carlos Rodon","16137",607074
"Luis Castillo","SEA",12.389800071716309,10.339900016784668,18.84910011291504,3.649300495248503,32,32,0,0,,194.9217987060547,815.9140014648438,175.6638946533203,85.9032974243164,79.03646850585938,24.278593063354492,59.09170150756836,,7.494999885559082,204.2501983642578,9.430714253003762,2.7284034782077744,3.456495466425143,1.1210000062625276,0.2503329983277148,0.07242393365168218,0.1779090646760326,0.23442879318090765,1.2043578384729765,0.290679214854314,0.7414234512273475,0.4351289549777232,,3.8033700895938773,3.1778913222697684,,,,,,,,,895.8087821960448,4.595734228509452,867.7275762557983,4.451670269903193,,,,,,,,,,,,,,,,,,,"Luis Castillo","15689",622491
"Shota Imanaga","CHC",10.98550033569336,9.75730037689209,16.593900680541992,3.8436798560762275,29.15999984741211,29.15999984741211,0,0,,177.87600708007812,742.697021484375,167.10690307617188,81.95259857177734,75.96649169921875,24.448068618774414,47.912899017333984,,6.355999946594238,180.28750610351562,9.122014720069394,2.424251017518492,3.762817733869349,1.2369999820712925,0.2427470433948799,0.06451203873360624,0.17823500466127368,0.2427368923633835,1.2088184664315405,0.29493701134491845,0.7360216772574233,0.4086948301310764,,3.9299856694329542,3.1140574201221405,,,,,,,,,778.8615756988524,4.378676969897442,769.3234586715698,4.325054690064116,,,,,,,,,,,,,,,,,,,"Shota Imanaga","33829",684007
"Blake Snell","SFG",10.882599830627441,9.225099563598633,15.848600387573242,3.5320702598868694,29.15999984741211,29.15999984741211,0,0,,167.14590454101562,708.5460205078125,135.4438018798828,71.33660125732422,65.59678649902344,17.97747039794922,75.19020080566406,,4.979700088500977,210.87669372558594,11.354691870805327,4.048629304494383,2.804576812750055,0.9679999879496889,0.29761890917748907,0.10611900798169116,0.1914999011957979,0.21554574983396801,1.2601804588868033,0.29401721198984454,0.7510688957501017,0.4212860406864803,,3.568918408431193,3.0936797950127826,,,,,,,,,844.8466075897218,5.054545667210209,783.266092300415,4.686121951065878,,,,,,,,,,,,,,,,,,,"Blake Snell","13543",605483
"Sonny Gray","STL",11.722999572753906,9.711299896240234,16.31760025024414,3.8316497683345783,30.780000686645508,30.780000686645508,0,0,,180.1392059326172,763.948974609375,170.52520751953125,83.54340362548828,76.6922607421875,20.255651473999023,59.582698822021484,,7.866399765014648,171.20480346679688,8.553625088019647,2.976832758987406,2.873397930130691,1.0119999270685285,0.2241050242319363,0.07799303461659532,0.14611198961534097,0.24483164088038112,1.277389367574024,0.29754025086542685,0.7264659572388402,0.462433468205563,,3.9392953907733212,3.034526895046175,,,,,,,,,780.5823823928833,4.333217626621868,777.434871673584,4.315744968723749,,,,,,,,,,,,,,,,,,,"Sonny Gray","12768",543243
"Grayson Rodriguez","BAL",11.677499771118164,9.446700096130371,16.06399917602539,3.6551990071322673,30.780000686645508,30.780000686645508,0,0,,174.90469360351562,732.4320068359375,153.7519989013672,77.21420288085938,71.03460693359375,21.474411010742188,60.534698486328125,,6.199999809265137,190.5054931640625,9.802764026237085,3.114909469564985,3.1470462053608563,1.1050000724096916,0.26009990195135635,0.08264889835690606,0.1774510035944503,0.23096382834789414,1.225162646998217,0.2915417980837582,0.7440593747119656,0.4419557392445021,,3.8174063524947917,2.9597195718986096,,,,,,,,,811.2111715316772,4.6380183105353305,776.1630163192749,4.437634007002279,,,,,,,,,,,,,,,,,,,"Grayson Rodriguez","24492",680570
"Shane Bieber","CLE",11.401399612426758,10.802300453186035,17.985000610351562,3.9457194704450558,30.780000686645508,30.780000686645508,0,0,,192.76809692382812,814.0540161132812,190.01919555664062,91.87239837646484,84.51209259033203,25.188365936279297,51.380699157714844,,6.3993000984191895,181.55369567871094,8.476419527833297,2.3988735677675974,3.53349990667557,1.1760000593671462,0.22302413855230768,0.06311706366001744,0.15990707489229022,0.2512570725969201,1.2522813606949914,0.29994767009996154,0.725382097380421,0.4694367505192648,,3.9692735017011747,2.903121705680679,,,,,,,,,812.384501361847,4.214309910850336,826.1591210365295,4.285766857795895,,,,,,,,,,,,,,,,,,,"Shane Bieber","19427",669456
"Chris Sale","ATL",11.152400016784668,7.31689977645874,12.961299896240234,3.764700871898192,27.540000915527344,27.540000915527344,0,0,,149.85110473632812,623.3410034179688,132.18800354003906,67.40270233154297,62.68273162841797,20.529600143432617,43.74729919433594,,7.880300045013428,172.154296875,10.339521184052936,2.6274460468063086,3.9351982875616973,1.2329999276014745,0.2761799655903037,0.07018196934656337,0.20599799624374035,0.23121375600761637,1.1740674387682597,0.29459026615945494,0.7373446048273913,0.3978462760182108,,3.7719468312175546,2.8751973130345974,,,,,,,,,702.1210801124573,4.685458150928422,671.7965178489685,4.4830935282795155,,,,,,,,,,,,,,,,,,,"Chris Sale","10603",519242
"Jordan Montgomery","ARI",10.706299781799316,9.515399932861328,14.762100219726562,3.9601706075749346,29.15999984741211,29.15999984741211,0,0,,168.90890502929688,714.5050048828125,168.54220581054688,80.65229797363281,74.3231201171875,19.85618019104004,46.71500015258789,,5.943999767303467,152.17379760742188,8.10830061463751,2.4891227688698088,3.2574932486432164,1.058000001174386,0.2129779309696791,0.06538092782184181,0.1475970031478373,0.25465471506470627,1.274398208465083,0.30355483972267905,0.7180515657238044,0.4510826007334869,,3.9166972864007548,2.8597077099633665,,,,,,,,,713.8557412147522,4.226276531074165,732.7847781181335,4.338343073096316,,,,,,,,,,,,,,,,,,,"Jordan Montgomery","16511",656756
"Dylan Cease","SDP",11.145999908447266,10.21720027923584,15.782299995422363,3.9095504583343805,30.780000686645508,30.780000686645508,0,0,,178.46749877929688,763.0079956054688,153.535400390625,83.50810241699219,77.52529907226562,23.220603942871094,74.54969787597656,,7.626299858093262,203.09359741210938,10.241878152668004,3.7594928234721374,2.7242712338014146,1.1709999687073733,0.2661749268445723,0.09770500218260392,0.16846992466196836,0.22551143434892731,1.278020366882962,0.2867099978186367,0.7392359441355338,0.38381013108326195,,4.051872559242181,2.8295426421018908,,,,,,,,,795.5132230758667,4.457468326261712,750.1288442611694,4.20316780025489,,,,,,,,,,,,,,,,,,,"Dylan Cease","18525",656302
"Joe Ryan","MIN",11.0826997756958,10.289299964904785,15.371500015258789,4.035248916845359,30.780000686645508,30.780000686645508,0,0,,178.56080627441406,746.4910278320312,161.0323944091797,85.0624008178711,80.05970001220703,28.093564987182617,47.88370132446289,,7.942699909210205,196.5854949951172,9.908498353423782,2.413482112406418,4.105478264160112,1.4159999059148136,0.2633460921372937,0.06414504600748833,0.19920104612980538,0.23315569989778087,1.1699997333825778,0.28528529410768205,0.7303335696681373,0.3126565660798526,,4.036424367865268,2.791011775133945,,,,,,,,,782.8066779136657,4.383978176658994,753.2794728279114,4.218615991631802,,,,,,,,,,,,,,,,,,,"Joe Ryan","21390",657746
