Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA",143.5970001220703,634,510.3630065917969,157.40499877929688,84.16819763183594,31.596500396728516,3.395400047302246,38.24480056762695,111.2509994506836,105.98200225830078,107.73799896240234,13.947999954223633,124.01100158691406,8.87600040435791,4.6778998374938965,2.345099925994873,,19.987499237060547,8.525300025939941,0.30841772766887465,0.1699337523066283,0.19560094887525878,0.8687777502296306,0.4338112403333926,0.6084426120760663,0.42920049442815694,1.042253852409459,0.30002488440719166,5.237043213380563,0.33776992499906605,2.8399999141693115,-0.08221547493973214,135.21562866235226,57.94971097374409,175.2272129593327,2.7577844392295794,,61.60272026732376,0.05428004264831543,8.223084658037722,,,,,,,,1205.5371499061584,8.395280882479048,1205.5371499061584,8.395280882479048,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Kris Bryant","CHC",146.27000427246094,645,541.385986328125,154.38499450683594,87.04959869384766,31.78860092163086,2.995300054550171,32.55189895629883,101.73999786376953,94.10379791259766,84.05590057373047,3.869999885559082,137.73500061035156,12.255000114440918,4.711699962615967,2.591599941253662,,7.908299922943115,4.585100173950195,0.2851662185678847,0.13031922569570614,0.21354263660519623,0.6102726264293725,0.3902436864581274,0.5353302520658523,0.38996032966310207,0.9255739385239796,0.25016403349796756,4.471102992185907,0.3241873300459134,3.746999979019165,-0.812636300602791,116.20304363704889,37.5965500894901,140.54837140573588,2.934363678416374,,36.54913190523033,4.344219923019409,6.275487592307177,,,,,,,,1029.5381775140763,7.038614530948729,1029.5381775140763,7.038614530948729,,,,,,,,,,,,,,,,,,,"Kris Bryant","15429",592178
"Josh Donaldson","TOR",139.28799438476562,615.2999877929688,517.7760009765625,142.0760040283203,77.23159790039062,28.812700271606445,1.6095999479293823,34.422000885009766,95.42169952392578,94.61430358886719,84.44029998779297,1.8459999561309814,125.19300079345703,6.1529998779296875,4.5447998046875,2.3856000900268555,,3.8340001106262207,2.064500093460083,0.2743966575514408,0.13723435992689273,0.2034666069838782,0.6744809969616614,0.37961160242266356,0.5357023139432572,0.38545977946709425,0.9153139163659207,0.26130565639181635,3.43410146061799,0.2968080560322215,0.5720000267028809,-0.5269843671700639,108.51542578775712,33.5284885470424,143.20470309782908,0.04501565953281694,,32.84418121387798,6.6918100118637085,5.959913930850952,,,,,,,,967.4318799376488,6.945551080771825,967.4318799376488,6.945551080771825,,,,,,,,,,,,,,,,,,,"Josh Donaldson","5038",518626
"Francisco Lindor","CLE",146.74000549316406,658.4000244140625,588.3779907226562,172.61199951171875,109.20500183105469,35.00709915161133,3.079200029373169,25.32029914855957,97.32859802246094,87.46240234375,57.33409881591797,3.950000047683716,82.00199890136719,3.950000047683716,4.543300151824951,4.1946001052856445,,14.375499725341797,7.339799880981445,0.2933692324210048,0.08708094879999732,0.12454738131934939,0.699179283237717,0.35752701222618005,0.49243513759033336,0.3592912051045419,0.8499621498165134,0.19906590516932854,4.869045523275749,0.3033196166788082,0.6779999732971191,-0.651705458875508,101.57703882136495,21.337477161184253,120.91005852030807,0.026294514421611126,,17.0122487645851,20.13397979736328,5.8639172751819455,,,,,,,,925.946352648735,6.310115292260027,925.946352648735,6.310115292260027,,,,,,,,,,,,,,,,,,,"Francisco Lindor","12916",596019
"Bryce Harper","WSN",136.12899780273438,593.2999877929688,486.7760009765625,146.6199951171875,81.59559631347656,28.428499221801758,1.3731000423431396,35.22249984741211,96.72879791259766,98.839599609375,97.36100006103516,14.23900032043457,111.5739974975586,3.559999942779541,4.43779993057251,1.1648999452590942,,9.163800239562988,5.498300075531006,0.30120629370190954,0.16410079565855165,0.1880566320464719,0.8726137114802718,0.4180483814499353,0.5823251222432516,0.4128846729467589,1.000373503693187,0.28111882854134207,3.7987323907770163,0.32343756866347195,1.4600000381469727,-0.9194423204660704,118.36644413654605,46.06065861373256,153.22651287324362,0.5405577176809022,,41.12871592157438,-3.321429967880249,5.791559040707923,,,,,,,,1060.4357684850693,7.789932972413088,1060.4357684850693,7.789932972413088,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Giancarlo Stanton","NYY",135.01100158691406,582.7999877929688,500.3080139160156,143.30299377441406,66.4437026977539,23.176799774169922,0.5999000072479248,53.082801818847656,102.53900146484375,124.51399993896484,71.92449951171875,9.324999809265137,152.22500610351562,5.244999885559082,4.209400177001953,1.1129000186920166,,2.5179998874664307,1.5042999982833862,0.2864295389809,0.12341197841148357,0.2611959665270126,0.4724880711307632,0.37902261174966273,0.6534538733135465,0.419327424992252,1.0324764850632093,0.36702433433264653,2.650038341972989,0.30152839379130525,0.0989999994635582,-0.47292794663462256,119.44028112998832,48.4141361998095,166.39077800166015,-0.37392794717106437,,47.36494431357325,-9.221320450305939,5.714374600245411,,,,,,,,1103.8798956871033,8.176221809423987,1103.8798956871033,8.176221809423987,,,,,,,,,,,,,,,,,,,"Giancarlo Stanton","4949",519317
"Mookie Betts","BOS",145.28199768066406,652.7000122070312,576.5380249023438,172.4530029296875,103.25,39.89580154418945,2.6284000873565674,26.6781005859375,103.30899810791016,90.043701171875,64.19519805908203,5.2220001220703125,72.98570251464844,3.2639999389648438,4.393099784851074,4.310400009155273,,21.26759910583496,8.067000389099121,0.299118176912786,0.09835329685687186,0.11182120598995478,0.8795585415677526,0.37001200131143647,0.5162525155988,0.3728421730492523,0.8862645169102366,0.217134338686014,5.220399804367655,0.30289798580790683,3.680999994277954,0.4217525009668819,108.16155440147811,28.6166562649765,129.82241638738378,4.102752495244836,,28.118787831453822,6.398920059204102,5.583550320278723,,,,,,,,990.8510731935501,6.820191689348066,990.8510731935501,6.820191689348066,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Manny Machado","BAL",146.0749969482422,644.5,581.3989868164062,169.06700134277344,97.22480010986328,33.89789962768555,1.2410000562667847,36.70370101928711,96.5438003540039,103.6050033569336,52.8400993347168,3.867000102996826,102.2760009765625,3.2230000495910645,4.77810001373291,2.2599000930786133,,7.712200164794922,4.7067999839782715,0.2907934227208437,0.08198618981336973,0.15869045923438713,0.5166422115665785,0.35053879461212867,0.5427570580043511,0.3726100149701588,0.8932958526164798,0.25196363528350746,3.6639721498658284,0.29598406612447875,-0.3869999945163727,-0.827169262689464,106.67643054422355,28.130872262980706,132.40230365440678,-1.2141692572058367,,24.551633199199095,9.324769973754883,5.492736162891039,,,,,,,,985.4320580363274,6.746069338515811,985.4320580363274,6.746069338515811,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Carlos Correa","HOU",138.7689971923828,597.7000122070312,522.4459838867188,151.81700134277344,90.81120300292969,31.566999435424805,1.9536999464035034,27.485300064086914,86.64600372314453,93.69129943847656,66.19499969482422,4.7820000648498535,108.95500183105469,3.5859999656677246,4.250500202178955,1.222100019454956,,6.920000076293945,3.7098000049591064,0.2905888953597387,0.11074953713050219,0.18229044605291872,0.6075443860527486,0.37151109143353667,0.5163165385300894,0.3736845885983075,0.8878276299636261,0.2257276431703507,3.8094153034541067,0.3185899594973175,1.5180000066757202,-0.5800346881148415,99.47218732284152,26.63016848109297,138.2092235058488,0.9379653185608787,,29.115068357661098,4.983459830284119,5.360818405692983,,,,,,,,900.8749914050103,6.491903880778785,900.8749914050103,6.491903880778785,,,,,,,,,,,,,,,,,,,"Carlos Correa","14162",621043
"Corey Seager","LAD",137.6510009765625,609.5,538.2559814453125,155.3520050048828,95.90380096435547,33.86349868774414,1.4566999673843384,24.12849998474121,87.67680358886719,77.21269989013672,59.186798095703125,4.265999794006348,114.36000061035156,4.265999794006348,4.395899772644043,3.39520001411438,,3.988800048828125,2.4447999000549316,0.2886210471600059,0.09710713387317986,0.1876292052671888,0.5175480743250861,0.36100167254396776,0.491429556380762,0.36052272389477613,0.8524312289247298,0.2028085092207561,3.285793005530529,0.324679353230643,2.0169999599456787,-0.6293208127709171,94.6662387057363,20.386149066609054,125.10548238153407,1.3876791471747616,,21.054731374355868,11.453569889068604,5.319564065961249,,,,,,,,856.1221564888955,6.2195127562833,856.1221564888955,6.2195127562833,,,,,,,,,,,,,,,,,,,"Corey Seager","13624",608369
"Nolan Arenado","COL",146.72300720214844,637,571.1300048828125,168.5590057373047,89.5333023071289,36.24409866333008,4.776599884033203,38.004600524902344,97.08789825439453,112.33899688720703,56.46220016479492,8.281000137329102,100.47899627685547,3.822000026702881,4.779600143432617,0.8057000041007996,,3.4042000770568848,2.3559000492095947,0.29513246423096,0.08863767686780992,0.15773782775016557,0.5619303760680633,0.35970674981734363,0.5749473825191074,0.38533953087787876,0.934654132336451,0.27981491828814736,4.056394240079575,0.2984605459156917,0.19699999690055847,-0.6742996818944385,112.27783939786593,34.64631011136214,123.10739609752758,-0.47729968499388,,18.44123223003342,9.906389951705933,4.999499882026971,,,,,,,,1043.1022382259368,7.1093297371474735,1043.1022382259368,7.1093297371474735,,,,,,,,,,,,,,,,,,,"Nolan Arenado","9777",571448
"Anthony Rizzo","CHC",145.86500549316406,632.9000244140625,527.6909790039062,149.36199951171875,80.92539978027344,32.41659927368164,2.5901999473571777,33.4297981262207,96.99849700927734,100.83300018310547,81.73780059814453,8.861000061035156,93.39189910888672,17.72100067138672,4.678500175476074,1.0710999965667725,,7.455699920654297,4.64769983291626,0.2830482336341268,0.12914804462808674,0.14756185101327612,0.8752129614887204,0.39381080030868987,0.5443496328415816,0.3923218453666957,0.9381604331502714,0.26130139920745477,4.084056257143659,0.2858657020134509,-0.5130000114440918,-0.9094557313011755,115.28438519908836,38.15252212102045,142.09888665572237,-1.4224557427452673,,32.82298135796634,-6.107400417327881,4.823049066862271,,,,,,,,1031.2772723674775,7.070080098244045,1031.2772723674775,7.070080098244045,,,,,,,,,,,,,,,,,,,"Anthony Rizzo","3473",519203
"Buster Posey","SFG",124.31900024414062,537.7000122070312,471.6990051269531,140.1840057373047,95.64869689941406,28.17259979248047,0.8546000123023987,15.508399963378906,67.05339813232422,69.21089935302734,56.27730178833008,9.140999794006348,62.194400787353516,4.839000225067139,3.8882999420166016,0.9959999918937683,,3.6501998901367188,2.1714999675750732,0.29718953021657435,0.10466301006268448,0.11566747140672694,0.9048612266680668,0.3750679240726785,0.4591726800791204,0.35400318330458075,0.8342406041517989,0.16198314986254603,2.7248596638901663,0.3133462208777232,-1.3930000066757202,-0.5625135068506351,80.55613818633728,15.026351302501183,120.71240098364132,-1.9555135135263553,,12.358699716052584,14.688779830932617,4.530554452825821,,,,,,,,729.886232048273,5.87107546404737,729.886232048273,5.87107546404737,,,,,,,,,,,,,,,,,,,"Buster Posey","9166",457763
