Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Juan Soto","SDP",149.0399932861328,670.4331665039062,520.8529052734375,147.56289672851562,86.80500030517578,26.512699127197266,2.0495998859405518,32.195499420166016,112.89320373535156,93.73719787597656,136.43310546875,10.056500434875488,92.60769653320312,4.692999839782715,4.8643999099731445,3.589600086212158,,10.113100051879883,3.9328999519348145,0.28331011545581763,0.2034999344978782,0.13813113843415972,1.4732372208376214,0.43291872948714727,0.527521672848905,0.41197553669028475,0.9604404023360523,0.24421155739308742,4.102664106437563,0.28776088107728,-0.5099999904632568,-0.44124864893220117,131.11087352812498,54.44921959682093,172.63818896350344,-0.951248639395458,,55.62926222260062,-9.807000398635864,7.229657169580971,,,,,,,,1128.287643933296,7.570368322327855,1128.287643933296,7.570368322327855,,,,,,,,,,,,,,,,,,,"Juan Soto","20123",665742
"Aaron Judge","NYY",150,677.109619140625,567.3361206054688,157.8177032470703,88.04720306396484,24.96470069885254,0.5960999727249146,44.20970153808594,112.75509643554688,106.80049896240234,94.72760009765625,13.542200088500977,168.66900634765625,6.093999862670898,4.839900016784668,4.1118998527526855,,12.390700340270996,4.582900047302246,0.2781731984183294,0.1398999473938692,0.2491014771902485,0.5616182969763048,0.38430938728060626,0.5580531523258287,0.39756294968620765,0.942362539606435,0.27987995390749937,3.9410280865104035,0.316194966346153,0.27799999713897705,-0.06778586882923143,124.6637038491781,47.23862124653626,163.34888364016825,0.21021412830974562,,48.47887971226226,-3.700000047683716,6.94900452278083,,,,,,,,1120.9846243023871,7.473230828682581,1120.9846243023871,7.473230828682581,,,,,,,,,,,,,,,,,,,"Aaron Judge","15640",592450
"Mookie Betts","LAD",150,693.278076171875,602.8973999023438,164.2010955810547,94.84359741210938,35.9567985534668,2.581700086593628,30.819000244140625,108.43260192871094,84.96659851074219,70.50640106201172,0.6933000087738037,110.3302001953125,9.01259994506836,4.349400043487549,6.51230001449585,,17.651500701904297,4.579599857330322,0.2723532986004778,0.10170002988026412,0.15914277976959976,0.6390489724227588,0.35488094522174035,0.49391205834296176,0.3669463497572658,0.8487930035647021,0.22155875974248396,5.296289982406613,0.2861677371395448,1.2619999647140503,0.9925447041222571,110.77794168772681,31.504053388319633,139.8579314463042,2.2545446688363073,,34.35924261440527,-0.02500009536743164,6.10586648131324,,,,,,,,984.5897186994553,6.563931457996368,984.5897186994553,6.563931457996368,,,,,,,,,,,,,,,,,,,"Mookie Betts","13611",605141
"Ronald Acuña Jr.","ATL",147.4199981689453,682.0770874023438,579.85498046875,158.4501953125,95.49430084228516,31.82830047607422,1.024999976158142,30.10260009765625,112.34200286865234,80.58789825439453,79.87120056152344,4.774499893188477,154.9951934814453,11.59529972076416,4.2617998123168945,6.493800163269043,,42.50419998168945,11.98840045928955,0.27325831569888415,0.1170999613338558,0.22723999434101605,0.5153140479229437,0.3699272951017784,0.4874258420356279,0.37065834220219834,0.8573531371374064,0.21416752633674374,6.010487686491961,0.3216578646436916,2.236999988555908,2.985206486531918,110.99955693231452,33.00646195823757,139.4872190572903,5.222206475087827,,36.51442652999057,-4.933000087738037,5.776424930543277,,,,,,,,1010.1650849699972,6.85229343044988,1010.1650849699972,6.85229343044988,,,,,,,,,,,,,,,,,,,"Ronald Acuna Jr.","18401",660670
"Mike Trout","LAA",150,676.966796875,572.1790771484375,149.56280517578125,79.60659790039062,28.263900756835938,2.281399965286255,39.41080093383789,106.48419952392578,99.96060180664062,87.73490142822266,10.154500007629395,178.63429260253906,8.123600006103516,4.868899822235107,4.060299873352051,,3.4021999835968018,1.1401000022888184,0.26139160124686095,0.12960000672591726,0.2638745259400416,0.4911425468761064,0.36471829962438995,0.5253981053335232,0.37813678850806637,0.8901164049579131,0.2640065040866622,3.8096867791590165,0.3068276309878254,0.3109999895095825,-0.4566184548630763,114.18988197700507,36.78113059371225,147.8794957656715,-0.14561846535349376,,36.328455934856834,-2.8969998359680176,5.757092277393732,,,,,,,,1021.6508568763732,6.8110057125091545,1021.6508568763732,6.8110057125091545,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Yordan Alvarez","HOU",136.0800018310547,603.9461669921875,519.1785888671875,150.8217010498047,83.68280029296875,30.644699096679688,2.0429999828338623,34.45119857788086,95.93689727783203,97.77059936523438,70.66169738769531,7.247399806976318,124.08370208740234,7.247399806976318,4.321000099182129,2.5374999046325684,,1.9663000106811523,0.8751999735832214,0.2905006182533209,0.11699999312787984,0.20545490454119805,0.5694679978029868,0.38032506597889126,0.5564674640699773,0.397486432538805,0.9367925300488685,0.26596684581665636,3.1856059052939347,0.31885414179007143,0.19900000095367432,-0.5931959519090437,111.15675433333082,42.097652904131344,164.83692525506808,-0.3941959509553694,,43.67021650494904,-8.205000400543213,5.728267936320671,,,,,,,,984.7916326045988,7.236857872968226,984.7916326045988,7.236857872968226,,,,,,,,,,,,,,,,,,,"Yordan Alvarez","19556",670541
"José Ramírez","CLE",150,662.8413696289062,577.9716796875,155.65040588378906,87.6178970336914,35.27360153198242,3.519200086593628,29.239700317382812,92.6259994506836,97.87570190429688,72.31600189208984,15.245400428771973,89.29660034179688,6.628399848937988,5.076000213623047,0.8492000102996826,,24.168699264526367,6.737599849700928,0.2693045547974716,0.10910001277164727,0.1347179045143031,0.8098404823396288,0.35437705998367275,0.4942828717514875,0.3590880671780172,0.8486599317351602,0.22497831695401588,5.494824846692578,0.27213694048292525,1.4850000143051147,1.5313889090515875,101.77644644222443,25.982887548316796,137.4284619155987,3.0163889233567023,,30.934043521945554,2.2979999780654907,5.689271172905516,,,,,,,,954.765115427971,6.365100769519806,954.765115427971,6.365100769519806,,,,,,,,,,,,,,,,,,,"Jose Ramirez","13510",608070
"Fernando Tatis Jr.","SDP",123.12000274658203,545.3057250976562,475.2217102050781,134.1519012451172,71.21330261230469,25.877700805664062,1.5957000255584717,35.465301513671875,91.4800033569336,91.84020233154297,57.74789810180664,3.2718000411987305,124.08039855957031,5.453100204467773,3.805500030517578,3.0776000022888184,,24.293399810791016,8.054699897766113,0.2822932925080906,0.10590004000318325,0.2275428128640119,0.4654070971095583,0.3639664931525824,0.5673499433320179,0.39534356995841513,0.9313164364846003,0.28505665082392734,5.641687734955994,0.3088961225996927,1.4229999780654907,1.116706996116711,99.43562508791439,37.08185013643044,161.26567776977484,2.539706974182202,,41.35507118303117,-6.2850000858306885,5.6493379127004735,,,,,,,,906.7508883237839,7.364773132682183,906.7508883237839,7.364773132682183,,,,,,,,,,,,,,,,,,,"Fernando Tatis Jr.","19709",665487
"Julio Rodríguez","SEA",149.0399932861328,668.3855590820312,597.9357299804688,163.49769592285156,99.76190185546875,30.515199661254883,2.880000114440918,30.340599060058594,95.44090270996094,87.71659851074219,52.735599517822266,4.010300159454346,159.88800048828125,8.689000129699707,4.715400218963623,4.309800148010254,,27.767200469970703,10.218000411987305,0.27343690588316594,0.07889996844074544,0.23921522288403918,0.3298283758429229,0.33869976790479916,0.4863310272009239,0.3544552712782584,0.8250307951057231,0.21289412131775798,5.743676507269342,0.32286571893290483,0.5879999995231628,0.8444924017336641,100.16776550044824,23.740248213041923,139.26277207933265,1.432492401256827,,30.963302458396942,1.472999930381775,5.624122891390915,,,,,,,,916.1841567039489,6.147236969777788,916.1841567039489,6.147236969777788,,,,,,,,,,,,,,,,,,,"Julio Rodriguez","23697",677594
"Adley Rutschman","BAL",130.22000122070312,581.8709106445312,495.32769775390625,127.1417007446289,78.5988998413086,30.001100540161133,1.3705999851226807,17.17099952697754,76.31620025634766,63.12879943847656,72.44290161132812,0.5819000005722046,101.49259948730469,6.400599956512451,4.175099849700928,3.524600028991699,,4.444300174713135,1.9047000408172607,0.25668199319594026,0.1244999540036879,0.1744245976738768,0.7137752109737787,0.3561623937208013,0.4267819060866195,0.3447636392986079,0.7829442998074208,0.17009991289067922,3.432435534936224,0.2887588820294663,1.0180000066757202,-0.5169064348692163,82.7221782718652,16.187304084276967,128.219355530418,0.5010935718065039,,18.978502929487167,5.05100017786026,5.444930719143772,,,,,,,,712.5303483724593,5.471742756051957,712.5303483724593,5.471742756051957,,,,,,,,,,,,,,,,,,,"Adley Rutschman","26288",668939
