Name,Team,G,PA,AB,H,1B,2B,3B,HR,R,RBI,BB,IBB,SO,HBP,SF,SH,GDP,SB,CS,AVG,BB%,K%,BB/K,OBP,SLG,wOBA,OPS,ISO,Spd,BABIP,UBR,wSB,wRC,wRAA,wRC+,BsR,Fld,Off,Def,WAR,ADP,InterSD,InterSK,IntraSD,Vol,Skew,Dim,FPTS,FPTS/G,SPTS,SPTS/G,P10,P20,P30,P40,P50,P60,P70,P80,P90,TT10,TT20,TT30,TT40,TT50,TT60,TT70,TT80,TT90,NameASCII,PlayerId,MLBAMID
"Mike Trout","LAA",143.4510040283203,646.2000122070312,541.5670166015625,165.86099243164062,92.47850036621094,32.1776008605957,5.2916998863220215,35.91350173950195,103.46099853515625,104.01699829101562,89.31079864501953,10.985400199890137,137.9949951171875,8.40060043334961,4.807199954986572,2.1147000789642334,,14.53950023651123,6.054699897766113,0.30626125178828345,0.13820921844304437,0.2135484254261764,0.6472031726163359,0.40921949677480196,0.5841618839522648,0.4174992305193512,0.9933813807270667,0.2779006321639813,5.410805116622361,0.3488844310205325,3.2179999351501465,0.18246027313564683,126.50807980031293,53.849419450902744,172.38976840946518,3.4004602082857933,,57.5317628267735,4.362850069999695,8.810913871683528,,,,,,,,1152.12527718544,8.031489810681183,1152.12527718544,8.031489810681183,,,,,,,,,,,,,,,,,,,"Mike Trout","10155",545361
"Bryce Harper","WSN",138.36399841308594,614,509.1099853515625,153.01199340820312,88.29399871826172,29.72760009765625,1.6253000497817993,33.3650016784668,92.29319763183594,96.80989837646484,94.44380187988281,11.666000366210938,121.05899810791016,4.9120001792907715,4.599400043487549,0.9347000122070312,,6.919300079345703,4.098700046539307,0.3005480108635892,0.1538172669053466,0.19716449203242697,0.7801468982561465,0.41164920245323916,0.5619318300724992,0.41070846337315253,0.9735810325257384,0.2613838192089101,3.469393383255585,0.33301380051136725,1.9160000085830688,-0.568312867345971,116.8725527749586,47.834458358697894,162.64122636162338,1.3476871412370979,,46.16372310494407,-4.48321008682251,6.437252943204968,,,,,,,,1056.6001602768897,7.6363806510014856,1056.6001602768897,7.6363806510014856,,,,,,,,,,,,,,,,,,,"Bryce Harper","11579",547180
"Manny Machado","BAL",144.52000427246094,656.2000122070312,591.0079956054688,168.61099243164062,105.4739990234375,34.9635009765625,1.5953999757766724,26.57859992980957,90.49729919433594,85.60209655761719,53.1614990234375,1.9686000347137451,98.0447998046875,3.9372000694274902,4.689599990844727,3.4038000106811523,,13.940600395202637,7.978600025177002,0.2852939278070241,0.08101416951309814,0.14941298076927548,0.5422164064727466,0.3457582301872205,0.4847677235392037,0.3568571428658048,0.8305259537264242,0.1994737957321796,4.160727427582103,0.30150747748342904,0.2759999930858612,-0.655214105158502,96.66901260788379,22.88595332661267,126.21613932362146,-0.3792141120726408,,19.52794554402393,18.69406008720398,6.332934335390711,,,,,,,,888.9834920048713,6.151283322195915,888.9834920048713,6.151283322195915,,,,,,,,,,,,,,,,,,,"Manny Machado","11493",592518
"Josh Donaldson","TOR",144.86000061035156,655.0999755859375,574.9879760742188,155.7449951171875,90.40480041503906,33.161399841308594,1.9124000072479248,30.265899658203125,93.42479705810547,91.77330017089844,66.33660125732422,1.3101999759674072,125.0510025024414,5.895899772644043,4.7555999755859375,3.124000072479248,,4.3018999099731445,2.2760000228881836,0.2708665252107535,0.1012617977858893,0.1908884249165064,0.5304763650817522,0.34967156642967046,0.4931031787621504,0.36231196669462384,0.8427747451918208,0.22223665355139688,3.5787714719665558,0.2956437546895403,0.5040000081062317,-0.34836980001957285,99.36232147825899,25.702950197164448,129.99222156543053,0.15563020808665884,,22.891969836034352,11.90134048461914,5.965189567891525,,,,,,,,907.2505058050156,6.262946996979263,907.2505058050156,6.262946996979263,,,,,,,,,,,,,,,,,,,"Josh Donaldson","5038",518626
"Kris Bryant","CHC",143.56399536132812,631.7999877929688,548.27001953125,147.69500732421875,85.12850189208984,28.18470001220703,3.1178998947143555,31.263399124145508,85.87120056152344,95.22920227050781,69.68270111083984,1.2635999917984009,178.86599731445312,8.213399887084961,4.566699981689453,1.0674999952316284,,10.73799991607666,6.145699977874756,0.26938370157553454,0.11029234323707174,0.2831054143246752,0.389580480119623,0.35766508573222056,0.503228679790147,0.36986858007964035,0.8608937655223675,0.23384497821461242,4.5030547144378446,0.3397406485382183,2.2809998989105225,-0.5793184710344239,99.64316449420822,28.603641351792337,134.9438475126846,1.7016814278760986,,27.426667719026987,5.6176499128341675,5.5789506195020335,,,,,,,,909.0881755828858,6.332285287093418,909.0881755828858,6.332285287093418,,,,,,,,,,,,,,,,,,,"Kris Bryant","15429",592178
"Andrew McCutchen","PIT",146.3509979248047,653.0999755859375,554.2540283203125,164.3419952392578,104.16000366210938,33.80970001220703,3.202699899673462,23.16950035095215,87.88089752197266,86.3594970703125,83.81800079345703,9.796500205993652,123.2249984741211,9.143400192260742,4.992499828338623,0.8924000263214111,,11.636899948120117,6.238500118255615,0.29651024050705116,0.12833869840258158,0.1886770832651894,0.6802028957708605,0.3945112972890054,0.494476342589549,0.3807303727069516,0.8889876398785543,0.19796610208249782,4.196565602190362,0.34194453426716714,1.378000020980835,-0.486050503558197,108.67076896966869,35.23627747494635,144.59105937488079,0.891949517422638,,34.82573226629979,-3.899820327758789,5.423936929020145,,,,,,,,983.6844803094863,6.721406032467947,983.6844803094863,6.721406032467947,,,,,,,,,,,,,,,,,,,"Andrew McCutchen","9847",457705
"Giancarlo Stanton","MIA",127.51000213623047,564.9000244140625,484.2959899902344,133.6999969482422,67.22720336914062,26.642900466918945,1.6445000171661377,38.18550109863281,83.95590209960938,96.23860168457031,71.69129943847656,12.427800178527832,152.44400024414062,3.9542999267578125,4.192599773406982,0.7659000158309937,,6.571300029754639,3.7934999465942383,0.27607083211846994,0.12690971205539905,0.26986014100860023,0.4702795736379406,0.37109184365646,0.574418360875996,0.3946235839473721,0.9455102045324559,0.298347528757526,3.582145799923578,0.320670073745239,0.2879999876022339,-0.4289521887056602,100.2661306664782,36.74883226054003,155.2060491617509,-0.14095220110342632,,36.1972199990748,-4.042510271072388,5.265173309233305,,,,,,,,938.8062330007552,7.362608558328966,938.8062330007552,7.362608558328966,,,,,,,,,,,,,,,,,,,"Giancarlo Stanton","4949",519317
"Paul Goldschmidt","ARI",144.8280029296875,644.5999755859375,536.9199829101562,155.98899841308594,88.50330352783203,36.02109909057617,1.948799967765808,29.51609992980957,91.31739807128906,91.39559936523438,98.78130340576172,21.916400909423828,140.23500061035156,3.2230000495910645,4.875699996948242,0.7998999953269958,,13.535900115966797,6.697199821472168,0.29052559669619865,0.1532443486613075,0.2175535307504143,0.7043983525926558,0.40073517759161514,0.5297927258913712,0.38975603145053084,0.9305279034829863,0.2392671291951725,4.032889288008495,0.3399401697470159,1.1929999589920044,-0.24937518064174724,111.90524816962562,39.426495766985056,144.0319744512813,0.9436247783502572,,34.015838228037836,-4.63700008392334,5.231857158367447,,,,,,,,1042.618055808544,7.199008718740148,1042.618055808544,7.199008718740148,,,,,,,,,,,,,,,,,,,"Paul Goldschmidt","9218",502671
"Buster Posey","SFG",127.36399841308594,562.5999755859375,501.3559875488281,152.9770050048828,105.3280029296875,29.04129981994629,1.0717999935150146,17.534900665283203,68.04920196533203,73.83830261230469,51.71929931640625,7.313799858093262,57.827598571777344,4.500800132751465,4.037300109863281,0.9865999817848206,,1.5204999446868896,0.9803000092506409,0.3051265145008048,0.09192908204900214,0.10278635101530349,0.8943705184681102,0.37249308733779785,0.4722504788839264,0.36246514305627403,0.8447435662217242,0.1671239643831216,2.4029118901851962,0.3149590866196379,-1.3389999866485596,-0.38269562120569134,85.40123894305073,22.14255778166974,134.47943716620512,-1.721695607854251,,20.881232004532844,10.516529560089111,5.177287710596148,,,,,,,,779.2767443895339,6.118500942959306,779.2767443895339,6.118500942959306,,,,,,,,,,,,,,,,,,,"Buster Posey","9166",457763
"Anthony Rizzo","CHC",145.2169952392578,643.5,551.4650268554688,153.19200134277344,86.814697265625,32.48590087890625,2.0889999866485596,31.802200317382812,91.18250274658203,97.92990112304688,72.1626968383789,7.078499794006348,107.27400207519531,14.156999588012695,4.71019983291626,1.0053999423980713,,10.359199523925781,6.651000022888184,0.27779096385548835,0.11214094302778385,0.16670396592881945,0.6726951119787196,0.37278379820968355,0.517280854380776,0.37953042011937616,0.8900646525904595,0.23948989052528763,3.9794346779364984,0.2910335291009957,0.08399999886751175,-0.8616291042231334,106.45640697113033,34.10133570587988,141.56948900215897,-0.7776291053556217,,30.39174305618532,-2.793400764465332,5.039264729091167,,,,,,,,971.4860444307326,6.689892204628829,971.4860444307326,6.689892204628829,,,,,,,,,,,,,,,,,,,"Anthony Rizzo","3473",519203
